epoch,subset,metric,score
0,train,auroc,0.48523537046921716
0,valid,auroc,0.4789395791360943
1,train,auroc,0.5160648565288266
1,valid,auroc,0.4936349699306024
2,train,auroc,0.49390883867605345
2,valid,auroc,0.4911758394059473
3,train,auroc,0.48330187512240064
3,valid,auroc,0.4962003248456696
4,train,auroc,0.5031497376978646
4,valid,auroc,0.4999626779168823
5,train,auroc,0.49504472901746865
5,valid,auroc,0.4917864502177241
6,train,auroc,0.4867360354668852
6,valid,auroc,0.48422513972454867
7,train,auroc,0.4990959876523763
7,valid,auroc,0.49231057427919933
8,train,auroc,0.4978692974505058
8,valid,auroc,0.4919793407915296
9,train,auroc,0.509190492159997
9,valid,auroc,0.49078449583248696
10,train,auroc,0.4868027570495989
10,valid,auroc,0.48863632285611547
11,train,auroc,0.5115244777392625
11,valid,auroc,0.49570383348034885
12,train,auroc,0.5542562358238738
12,valid,auroc,0.49778687224435625
13,train,auroc,0.5528608208680292
13,valid,auroc,0.4936328167334995
14,train,auroc,0.5537858414326144
14,valid,auroc,0.48823457216332433
15,train,auroc,0.5840772471012519
15,valid,auroc,0.4882674084191443
16,train,auroc,0.5757751276598781
16,valid,auroc,0.4774321617309408
17,train,auroc,0.5932676910403989
17,valid,auroc,0.48186415910116936
18,train,auroc,0.6064360657752967
18,valid,auroc,0.4845872357040273
19,train,auroc,0.6074834065625876
19,valid,auroc,0.4761339633109568
20,train,auroc,0.6258130356773852
20,valid,auroc,0.46310155841228995
21,train,auroc,0.633138522171111
21,valid,auroc,0.47051232454135106
22,train,auroc,0.5918763909304168
22,valid,auroc,0.46253813850368597
23,train,auroc,0.5341619164843169
23,valid,auroc,0.4644291838593474
24,train,auroc,0.5772459600250439
24,valid,auroc,0.50991152513104
25,train,auroc,0.5567633985489253
25,valid,auroc,0.4782577333868283
26,train,auroc,0.5764013879117915
26,valid,auroc,0.47691682989096934
27,train,auroc,0.5746669321599507
27,valid,auroc,0.4716861758286399
28,train,auroc,0.5810216204288724
28,valid,auroc,0.4757203700340995
29,train,auroc,0.5654063268841268
29,valid,auroc,0.49192012787119865
30,train,auroc,0.5515867295706582
30,valid,auroc,0.5232157711639537
31,train,auroc,0.5307718139230696
31,valid,auroc,0.5122891930319671
32,train,auroc,0.5268624531759474
32,valid,auroc,0.48276904018368205
33,train,auroc,0.5167286004547675
33,valid,auroc,0.49000862714305915
34,train,auroc,0.5214452746717477
34,valid,auroc,0.48825484810271036
35,train,auroc,0.5046073575501442
35,valid,auroc,0.4959135907647941
36,train,auroc,0.5329472654213171
36,valid,auroc,0.49505913038110866
37,train,auroc,0.4945409175771942
37,valid,auroc,0.4934833489679367
38,train,auroc,0.5021985653589901
38,valid,auroc,0.497734298348426
39,train,auroc,0.4885773486222146
39,valid,auroc,0.4957149583320474
40,train,auroc,0.5232949782549685
40,valid,auroc,0.4960835139028348
41,train,auroc,0.5042261878049085
41,valid,auroc,0.49551219893818665
42,train,auroc,0.502500620763075
42,valid,auroc,0.49933896848939585
43,train,auroc,0.49343756023587837
43,valid,auroc,0.49974359011165764
44,train,auroc,0.4877314745460136
44,valid,auroc,0.49467514356441683
45,train,auroc,0.4989123305085345
45,valid,auroc,0.49351672352303244
46,train,auroc,0.4942696431489938
46,valid,auroc,0.4936026719740583
47,train,auroc,0.5101610814277847
47,valid,auroc,0.5165352977189749
48,train,auroc,0.49882024475874726
48,valid,auroc,0.5138947603383964
49,train,auroc,0.5089951977177007
49,valid,auroc,0.5195634105780833
50,train,auroc,0.49421214782223716
50,valid,auroc,0.5108582141239681
51,train,auroc,0.49777912446109984
51,valid,auroc,0.514844858560071
52,train,auroc,0.49730350614442925
52,valid,auroc,0.5076298539342858
53,train,auroc,0.5040749511458495
53,valid,auroc,0.5084983100991403
54,train,auroc,0.493502819119477
54,valid,auroc,0.5042688926896806
55,train,auroc,0.4965240161049923
55,valid,auroc,0.5041838414041142
56,train,auroc,0.5057561550057293
