epoch,subset,metric,score
0,train,auroc,0.49500335552821184
0,valid,auroc,0.4979289832531506
1,train,auroc,0.5005607441904485
1,valid,auroc,0.4848754052496381
2,train,auroc,0.49597728810826264
2,valid,auroc,0.49294558799147625
3,train,auroc,0.5135215603135461
3,valid,auroc,0.48589279088077963
4,train,auroc,0.5608806554537974
4,valid,auroc,0.47400588684087946
5,train,auroc,0.5927499277008723
5,valid,auroc,0.4772340675974699
6,train,auroc,0.6087337892754001
6,valid,auroc,0.469904225792861
7,train,auroc,0.6415894350818127
7,valid,auroc,0.4714547071400734
8,train,auroc,0.6377337119934512
8,valid,auroc,0.47219092111618866
9,train,auroc,0.6353740407747792
9,valid,auroc,0.47434483595150134
10,train,auroc,0.625265873693006
10,valid,auroc,0.4483064028186785
11,train,auroc,0.6599800957190302
11,valid,auroc,0.45537893756948544
12,train,auroc,0.6749567362534252
12,valid,auroc,0.45148864870373945
13,train,auroc,0.6691421857984068
13,valid,auroc,0.4326745507174812
14,train,auroc,0.6663512112241678
14,valid,auroc,0.41492000513896377
15,train,auroc,0.6740740375214791
15,valid,auroc,0.4049306060460339
16,train,auroc,0.706267177070433
16,valid,auroc,0.4719504807730265
17,train,auroc,0.6994103811646016
17,valid,auroc,0.367592912249323
18,train,auroc,0.7116303482226889
18,valid,auroc,0.40736784573347584
19,train,auroc,0.7190123656261721
19,valid,auroc,0.4510965873979116
20,train,auroc,0.7196006439219419
20,valid,auroc,0.41808699921121206
21,train,auroc,0.7339963678769927
21,valid,auroc,0.3904541236236585
22,train,auroc,0.7201187287338016
22,valid,auroc,0.4289705134011399
23,train,auroc,0.7294626435647219
23,valid,auroc,0.4024630421660589
24,train,auroc,0.7233060786946269
24,valid,auroc,0.4099504262253666
25,train,auroc,0.7353643290955993
25,valid,auroc,0.4186764369181434
26,train,auroc,0.7475813707554562
26,valid,auroc,0.42635150799159105
27,train,auroc,0.7525939924021943
27,valid,auroc,0.40576407275796555
28,train,auroc,0.7495298788602237
28,valid,auroc,0.40441204441040796
29,train,auroc,0.7517467681421948
29,valid,auroc,0.4022365976040658
30,train,auroc,0.745183042488741
30,valid,auroc,0.4324037861817859
31,train,auroc,0.7582462154026653
31,valid,auroc,0.38814607576239324
32,train,auroc,0.7654380658475637
32,valid,auroc,0.39752791440610874
33,train,auroc,0.7644186288587771
33,valid,auroc,0.4193986551130895
34,train,auroc,0.7624832850460457
34,valid,auroc,0.3913292188129137
35,train,auroc,0.7646638318807714
35,valid,auroc,0.3776334497734478
36,train,auroc,0.771974627088879
36,valid,auroc,0.402315907030691
37,train,auroc,0.7615448430115579
37,valid,auroc,0.44174848217547547
38,train,auroc,0.7667495443772625
38,valid,auroc,0.4292786000199529
39,train,auroc,0.785168526727017
39,valid,auroc,0.405473391149068
40,train,auroc,0.7585419699490235
40,valid,auroc,0.45629081654258274
41,train,auroc,0.776396189704167
41,valid,auroc,0.3979944404450802
42,train,auroc,0.7865378863502719
42,valid,auroc,0.4090848409899826
43,train,auroc,0.7749743979434
43,valid,auroc,0.39081281037439075
44,train,auroc,0.7983432987613412
44,valid,auroc,0.3979510176368375
45,train,auroc,0.7806432732107204
45,valid,auroc,0.4305983304109664
46,train,auroc,0.7859668068243175
46,valid,auroc,0.45462783064674145
47,train,auroc,0.7867545426290959
47,valid,auroc,0.41513065958886863
48,train,auroc,0.797207328051843
48,valid,auroc,0.4009837957563356
49,train,auroc,0.8029963857508546
49,valid,auroc,0.39504958454061895
50,train,auroc,0.7894453624979891
50,valid,auroc,0.39711988355510064
51,train,auroc,0.7958409099004349
51,valid,auroc,0.4084814075018822
52,train,auroc,0.812238008085415
52,valid,auroc,0.43665276179826407
53,train,auroc,0.8052334474217212
53,valid,auroc,0.4210000954584049
54,train,auroc,0.782533016173016
54,valid,auroc,0.4247990528803677
55,train,auroc,0.7976837018284961
55,valid,auroc,0.4784341161161779
56,train,auroc,0.790603675534631
56,valid,auroc,0.46337662934219115
57,train,auroc,0.7883152747321847
57,valid,auroc,0.40931379761526254
58,train,auroc,0.7958766094030144
58,valid,auroc,0.4257749894672775
59,train,auroc,0.817816212081213
59,valid,auroc,0.449809693262718
60,train,auroc,0.8115894215799748
60,valid,auroc,0.41903458536959987
61,train,auroc,0.8038742302505723
61,valid,auroc,0.45793191160121066
62,train,auroc,0.811521189077296
62,valid,auroc,0.4572418119297168
63,train,auroc,0.811691151499752
63,valid,auroc,0.4324667671970469
64,train,auroc,0.8134971509193015
64,valid,auroc,0.43801376180041723
65,train,auroc,0.8100449077560858
65,valid,auroc,0.421563156500825
66,train,auroc,0.8107563581762438
66,valid,auroc,0.4285075760240068
67,train,auroc,0.8175811675849416
67,valid,auroc,0.4019922097328815
68,train,auroc,0.8007102834755893
68,valid,auroc,0.4428891383407606
69,train,auroc,0.823718797734623
69,valid,auroc,0.4346694878333598
70,train,auroc,0.8106742862896293
70,valid,auroc,0.4523951446840794
71,train,auroc,0.806489777372694
71,valid,auroc,0.42564813027129567
72,train,auroc,0.8163926843698481
72,valid,auroc,0.44324603076057384
73,train,auroc,0.8147723995170713
73,valid,auroc,0.4495159612912579
74,train,auroc,0.7703596626032135
74,valid,auroc,0.4406307934459551
75,train,auroc,0.7878631881902896
75,valid,auroc,0.42809721254280375
76,train,auroc,0.7864200828138448
76,valid,auroc,0.4202249445013447
77,train,auroc,0.8273046447994328
77,valid,auroc,0.46039983434736964
78,train,auroc,0.8255004616985646
78,valid,auroc,0.4675084351496508
79,train,auroc,0.831687212820728
79,valid,auroc,0.46333392426631603
80,train,auroc,0.8299737331386153
80,valid,auroc,0.44875660044628596
81,train,auroc,0.8246469205072215
81,valid,auroc,0.4416261088067915
82,train,auroc,0.8264052134325542
82,valid,auroc,0.4471024067719484
83,train,auroc,0.826629183206954
83,valid,auroc,0.4230461710054785
84,train,auroc,0.8319564298259973
84,valid,auroc,0.463180867838915
85,train,auroc,0.8152485482630913
85,valid,auroc,0.4437340887705747
86,train,auroc,0.8151116814173175
86,valid,auroc,0.468359127438406
87,train,auroc,0.825931781127748
87,valid,auroc,0.4626938864274656
88,train,auroc,0.8276155567662917
88,valid,auroc,0.47142366521517254
89,train,auroc,0.8337630400429796
89,valid,auroc,0.4486168220676865
90,train,auroc,0.8398299945002513
90,valid,auroc,0.4476751572013318
91,train,auroc,0.8350930835999089
91,valid,auroc,0.4849640451970426
92,train,auroc,0.8324361790621468
92,valid,auroc,0.4287245106321284
93,train,auroc,0.8268382045178693
93,valid,auroc,0.4652226369917827
94,train,auroc,0.8401025065969338
94,valid,auroc,0.449275162081912
95,train,auroc,0.8389769998118743
95,valid,auroc,0.4403643353044656
96,train,auroc,0.8349488068168593
96,valid,auroc,0.41663502663145946
97,train,auroc,0.8399572653968853
97,valid,auroc,0.4642772040304979
98,train,auroc,0.8406361667433271
98,valid,auroc,0.45177681824935034
99,train,auroc,0.8117282333333634
99,valid,auroc,0.4454024576591733
100,train,auroc,0.8299273286073471
100,valid,auroc,0.4573936123254744
101,train,auroc,0.8296485960210211
101,valid,auroc,0.45562476090540505
102,train,auroc,0.8404526060411853
102,valid,auroc,0.44497289483713576
103,train,auroc,0.835276997921617
103,valid,auroc,0.45409814415941696
104,train,auroc,0.8349934271766796
104,valid,auroc,0.4353443356920411
105,train,auroc,0.8480855486741901
105,valid,auroc,0.4543360724392924
106,train,auroc,0.8417927599029875
106,valid,auroc,0.4671535164938487
107,train,auroc,0.8259379533965417
107,valid,auroc,0.4380900208644799
108,train,auroc,0.8495189455861785
108,valid,auroc,0.448993272694518
109,train,auroc,0.8480260280717355
109,valid,auroc,0.4717340844641804
110,train,auroc,0.8339878295718285
110,valid,auroc,0.45041976577521914
111,train,auroc,0.8349682398193892
111,valid,auroc,0.46766149157705184
112,train,auroc,0.8073960239530322
112,valid,auroc,0.47931782409384494
113,train,auroc,0.8051778809289624
113,valid,auroc,0.4728131950789398
114,train,auroc,0.8362684668174329
114,valid,auroc,0.4474086990598423
115,train,auroc,0.8385328375629877
115,valid,auroc,0.4232930709399495
116,train,auroc,0.8393066375421305
116,valid,auroc,0.45606419254749775
117,train,auroc,0.8301876729762256
117,valid,auroc,0.45578876275141267
118,train,auroc,0.798701611823701
118,valid,auroc,0.4502491249048107
119,train,auroc,0.8120701834539732
119,valid,auroc,0.4208587021819782
120,train,auroc,0.8252653689814432
120,valid,auroc,0.4283494954700322
121,train,auroc,0.8421530339465781
121,valid,auroc,0.45991069973881715
122,train,auroc,0.8482233638633465
122,valid,auroc,0.4383042639762229
123,train,auroc,0.8532306972902067
123,valid,auroc,0.44838696827694713
124,train,auroc,0.8406141458885166
124,valid,auroc,0.4408367826354702
125,train,auroc,0.8478753218420261
125,valid,auroc,0.4192746668465782
126,train,auroc,0.8485254192674314
126,valid,auroc,0.41771880250660853
127,train,auroc,0.8460263094243214
127,valid,auroc,0.4417418431510748
128,train,auroc,0.8353124563199468
128,valid,auroc,0.4493874871974489
129,train,auroc,0.8258020188205335
129,valid,auroc,0.4653143273017497
130,train,auroc,0.8449610947753158
130,valid,auroc,0.42017470323560924
131,train,auroc,0.84775679499285
131,valid,auroc,0.42455663877319444
132,train,auroc,0.8421039611949461
132,valid,auroc,0.4237253252583657
133,train,auroc,0.8458786411081589
133,valid,auroc,0.4356603173668983
134,train,auroc,0.8585655145826923
134,valid,auroc,0.4496038835062949
135,train,auroc,0.8556324653108849
135,valid,auroc,0.45012083024409355
136,train,auroc,0.8674042356423062
136,valid,auroc,0.41370129557869684
137,train,auroc,0.864680223755031
137,valid,auroc,0.42186191259885863
138,train,auroc,0.8608472609078456
138,valid,auroc,0.4226166081834409
139,train,auroc,0.8532941720023574
139,valid,auroc,0.4244069915745397
140,train,auroc,0.8347596203488901
140,valid,auroc,0.4182885025734294
141,train,auroc,0.8584271528905699
141,valid,auroc,0.45874815273631875
142,train,auroc,0.8537681829573629
142,valid,auroc,0.4466846865339771
143,train,auroc,0.8155882480773703
143,valid,auroc,0.4660022737761407
144,train,auroc,0.8200469085998864
144,valid,auroc,0.469755296326574
145,train,auroc,0.8446816710234741
145,valid,auroc,0.43871032106322005
146,train,auroc,0.8442246498812674
146,valid,auroc,0.4460921984644834
147,train,auroc,0.828208866104073
147,valid,auroc,0.4284305992275764
148,train,auroc,0.8250439870593241
148,valid,auroc,0.41619972195048077
149,train,auroc,0.8454608074433447
149,valid,auroc,0.4446544010989918
150,train,auroc,0.8356070535659061
150,valid,auroc,0.45859168708017145
151,train,auroc,0.8158963471613159
151,valid,auroc,0.4347175759019922
152,train,auroc,0.8530187345074446
152,valid,auroc,0.4389789324018124
153,train,auroc,0.8334485436596075
153,valid,auroc,0.430333666600396
154,train,auroc,0.8480518101528421
154,valid,auroc,0.4285237250022788
155,train,auroc,0.8522192810361284
155,valid,auroc,0.44171474875419614
156,train,auroc,0.8416113852127098
156,valid,auroc,0.42080236019111783
157,train,auroc,0.8588296362514833
157,valid,auroc,0.4459027171194242
158,train,auroc,0.8521650647271685
158,valid,auroc,0.4418128986554719
159,train,auroc,0.8578378137361012
159,valid,auroc,0.4436398863973209
160,train,auroc,0.8518596981580535
160,valid,auroc,0.43045245130724186
161,train,auroc,0.8501205006893009
161,valid,auroc,0.43146158301615545
162,train,auroc,0.8467576589818919
162,valid,auroc,0.4171571769289237
163,train,auroc,0.835842355240044
163,valid,auroc,0.41789159657411995
164,train,auroc,0.8322290705116129
164,valid,auroc,0.4438437223897329
165,train,auroc,0.8489678777129532
165,valid,auroc,0.42935557681638326
166,train,auroc,0.8461931214179143
166,valid,auroc,0.4201633989508189
167,train,auroc,0.8612702863508377
167,valid,auroc,0.41721387778596797
168,train,auroc,0.8586779656047749
168,valid,auroc,0.42386671853479246
169,train,auroc,0.8633134359104399
169,valid,auroc,0.4663623959916082
170,train,auroc,0.8488439501285825
170,valid,auroc,0.4325049864456242
171,train,auroc,0.8642734326648551
171,valid,auroc,0.42391319170559766
172,train,auroc,0.8623097992868201
172,valid,auroc,0.41655069307826087
173,train,auroc,0.8710849491925836
173,valid,auroc,0.4287422745082277
174,train,auroc,0.8629639151163877
174,valid,auroc,0.4630859477332935
175,train,auroc,0.8676263890980245
175,valid,auroc,0.42198141503807207
176,train,auroc,0.849972253722939
176,valid,auroc,0.4399812456532334
177,train,auroc,0.8607402909890405
177,valid,auroc,0.41929835201471066
178,train,auroc,0.8656869947338974
178,valid,auroc,0.4271036915128865
179,train,auroc,0.8337257331787351
179,valid,auroc,0.3919837907322091
180,train,auroc,0.8630931309206363
180,valid,auroc,0.4556965341421699
181,train,auroc,0.8753673625085335
181,valid,auroc,0.4365982141383229
182,train,auroc,0.8645207734778638
