epoch,subset,metric,score
0,train,auroc,0.5167164648741969
0,valid,auroc,0.49273834277031775
1,train,auroc,0.485899902002374
1,valid,auroc,0.49390178693827574
2,train,auroc,0.5167211262230255
2,valid,auroc,0.48547955647010604
3,train,auroc,0.5538587995785884
3,valid,auroc,0.4990472102819468
4,train,auroc,0.5627500492174142
4,valid,auroc,0.49179075661193
5,train,auroc,0.581349120368114
5,valid,auroc,0.48706574500260896
6,train,auroc,0.5856747877864688
6,valid,auroc,0.4947470962342736
7,train,auroc,0.6001623724606739
7,valid,auroc,0.45343926584591576
8,train,auroc,0.62757573277368
8,valid,auroc,0.4894547171883265
9,train,auroc,0.6100295638816319
9,valid,auroc,0.48413380828076547
10,train,auroc,0.6406911770889497
10,valid,auroc,0.4752920632437053
11,train,auroc,0.6236355267562066
11,valid,auroc,0.45682606545575644
12,train,auroc,0.6333224043455858
12,valid,auroc,0.4411888303618017
13,train,auroc,0.6551727663041444
13,valid,auroc,0.423475733827516
14,train,auroc,0.6552562044481741
14,valid,auroc,0.39766536015451337
15,train,auroc,0.6560038205057943
15,valid,auroc,0.4254999185373763
16,train,auroc,0.6537629172405484
16,valid,auroc,0.46612823580666296
17,train,auroc,0.6581135952064103
17,valid,auroc,0.44292053913184526
18,train,auroc,0.682963953050123
18,valid,auroc,0.3998887155963961
19,train,auroc,0.6947915952730194
19,valid,auroc,0.4092788081623395
20,train,auroc,0.6981095594427419
20,valid,auroc,0.3832913340276198
21,train,auroc,0.7059625177404507
21,valid,auroc,0.3852358504446711
22,train,auroc,0.693354855048768
22,valid,auroc,0.42796443205478885
23,train,auroc,0.6779831571643518
23,valid,auroc,0.43911476325238985
24,train,auroc,0.6497932000629056
24,valid,auroc,0.45862021694178545
25,train,auroc,0.6667151339787383
25,valid,auroc,0.4620621025108431
26,train,auroc,0.6464881430073531
26,valid,auroc,0.4657964640197175
27,train,auroc,0.6446935076347751
27,valid,auroc,0.46430968142013396
28,train,auroc,0.6918055352135007
28,valid,auroc,0.3853307705502926
29,train,auroc,0.7048723889856378
29,valid,auroc,0.4387499757765326
30,train,auroc,0.7231149312454264
30,valid,auroc,0.3912741328536967
31,train,auroc,0.7208095567037975
31,valid,auroc,0.4203543157606133
32,train,auroc,0.7159001919704184
32,valid,auroc,0.36552512529812803
33,train,auroc,0.7267300805133887
33,valid,auroc,0.36399850855214
34,train,auroc,0.7138980140596569
34,valid,auroc,0.37759989578526015
35,train,auroc,0.713924214054796
35,valid,auroc,0.3848378678468101
36,train,auroc,0.7209804835432526
36,valid,auroc,0.4151299418565009
37,train,auroc,0.7125289116142682
37,valid,auroc,0.4342619952816274
38,train,auroc,0.7243251620638472
38,valid,auroc,0.4000686869875839
39,train,auroc,0.7207378201526891
39,valid,auroc,0.38376719058737063
40,train,auroc,0.7108217970843489
40,valid,auroc,0.4465955082872968
41,train,auroc,0.6773740796086369
41,valid,auroc,0.4506571557558188
42,train,auroc,0.6500623367000916
42,valid,auroc,0.45685531304973814
43,train,auroc,0.6643760209157615
43,valid,auroc,0.44110198474531626
44,train,auroc,0.667267696698312
44,valid,auroc,0.4156011331558621
45,train,auroc,0.6981881594281598
45,valid,auroc,0.42139969295409313
46,train,auroc,0.7171645908769496
46,valid,auroc,0.39365861921211653
47,train,auroc,0.7156874737276736
47,valid,auroc,0.436538642351808
48,train,auroc,0.7228636523963384
48,valid,auroc,0.4483869682769471
49,train,auroc,0.7101409669039089
49,valid,auroc,0.4113317021669058
50,train,auroc,0.7071258296718705
50,valid,auroc,0.39645436621719876
51,train,auroc,0.6996917980449081
51,valid,auroc,0.37787263408496663
52,train,auroc,0.670929234423926
52,valid,auroc,0.3828513640862513
53,train,auroc,0.6827844268257603
53,valid,auroc,0.4283179152458556
54,train,auroc,0.6901906832431517
54,valid,auroc,0.3698306223385587
55,train,auroc,0.7090576212153223
55,valid,auroc,0.3690554713814984
56,train,auroc,0.7129882634308891
56,valid,auroc,0.4739233476185999
57,train,auroc,0.6678397888621153
57,valid,auroc,0.41637466921509514
58,train,auroc,0.6577591237384302
58,valid,auroc,0.37514399505625945
59,train,auroc,0.6649622417886001
59,valid,auroc,0.37481545306496844
60,train,auroc,0.6748717228949638
60,valid,auroc,0.3745306927481039
61,train,auroc,0.6836910913201313
61,valid,auroc,0.38570793890949173
62,train,auroc,0.6711870713086071
62,valid,auroc,0.4177789125923991
63,train,auroc,0.6739874489485862
63,valid,auroc,0.3622214032098427
64,train,auroc,0.6983244315501178
64,valid,auroc,0.37839980850900434
65,train,auroc,0.6954362437423803
65,valid,auroc,0.3413592559124998
66,train,auroc,0.7097216544663629
66,valid,auroc,0.36634477566198254
67,train,auroc,0.7026960212912412
67,valid,auroc,0.35180746542144886
68,train,auroc,0.693285529540157
68,valid,auroc,0.3728825997988914
69,train,auroc,0.7016592890909392
69,valid,auroc,0.3654237456011977
70,train,auroc,0.6970604184103861
70,valid,auroc,0.40994450493333345
71,train,auroc,0.6981847678950468
71,valid,auroc,0.36730940796410194
72,train,auroc,0.7026676674314708
72,valid,auroc,0.38059858161729504
73,train,auroc,0.7090552583936748
73,valid,auroc,0.3833485731839397
74,train,auroc,0.7140312161208345
74,valid,auroc,0.3838633667246355
75,train,auroc,0.7181267093487627
75,valid,auroc,0.38606662566022404
76,train,auroc,0.7185221524655836
76,valid,auroc,0.40747765878572606
77,train,auroc,0.6878537240448062
77,valid,auroc,0.4189170566943975
78,train,auroc,0.6739382315344042
78,valid,auroc,0.43653415652451016
79,train,auroc,0.679920799504264
79,valid,auroc,0.42340019249582106
80,train,auroc,0.670219487807133
80,valid,auroc,0.40186373563907246
81,train,auroc,0.6593995327592523
81,valid,auroc,0.5462725646084734
82,train,auroc,0.6100589786001012
82,valid,auroc,0.429872523554182
83,train,auroc,0.6137925261283068
83,valid,auroc,0.4815551753168968
84,train,auroc,0.6508304948397904
84,valid,auroc,0.4906667877241927
85,train,auroc,0.6082207998000185
85,valid,auroc,0.5016224340170692
86,train,auroc,0.6173966006743975
86,valid,auroc,0.4534930957734894
87,train,auroc,0.6331050408276293
87,valid,auroc,0.47864620603081803
88,train,auroc,0.6178031506603234
88,valid,auroc,0.5035043282850431
89,train,auroc,0.6181074242235061
89,valid,auroc,0.5058651294753305
90,train,auroc,0.6299899417736452
90,valid,auroc,0.4952439464657782
91,train,auroc,0.6194249946539151
91,valid,auroc,0.510246347280548
92,train,auroc,0.6049786548800336
92,valid,auroc,0.5086804346874312
93,train,auroc,0.5968720066907394
93,valid,auroc,0.5207372618653721
94,train,auroc,0.5966137840392587
94,valid,auroc,0.5145430520994748
95,train,auroc,0.5992295883392469
95,valid,auroc,0.5045229699478281
96,train,auroc,0.5933704978924916
96,valid,auroc,0.50028153052121
97,train,auroc,0.6203157141205693
97,valid,auroc,0.4850539411760906
98,train,auroc,0.608041996888405
98,valid,auroc,0.5030891201103584
99,train,auroc,0.6159678972584711
99,valid,auroc,0.5488251797740148
100,train,auroc,0.6103285974457866
100,valid,auroc,0.48287472627481826
101,train,auroc,0.6408458052811218
101,valid,auroc,0.46821199230303806
102,train,auroc,0.6180158367558349
102,valid,auroc,0.4688220648155392
103,train,auroc,0.6072776642694689
103,valid,auroc,0.5139554087234627
104,train,auroc,0.5923279470429625
104,valid,auroc,0.5064258578875558
105,train,auroc,0.5970906239507947
105,valid,auroc,0.47264075987761234
106,train,auroc,0.6188900807654232
106,valid,auroc,0.5030238064649025
107,train,auroc,0.578116812501519
107,valid,auroc,0.5077328485290433
108,train,auroc,0.5508993252810086
108,valid,auroc,0.5405710781129668
109,train,auroc,0.6126850378675119
109,valid,auroc,0.5089176452349389
110,train,auroc,0.6069635858001298
110,valid,auroc,0.4883348752617031
111,train,auroc,0.6144178701840712
111,valid,auroc,0.5218798917946683
112,train,auroc,0.5865114356067128
112,valid,auroc,0.5201017098538194
113,train,auroc,0.5748010343436609
113,valid,auroc,0.5006414733035857
114,train,auroc,0.54531838877038
114,valid,auroc,0.5027971824698176
115,train,auroc,0.5259100913894408
115,valid,auroc,0.4779640014153682
116,train,auroc,0.507188748236885
116,valid,auroc,0.4984717683561847
117,train,auroc,0.5231333258923203
117,valid,auroc,0.4903581628061039
118,train,auroc,0.5386128938180742
118,valid,auroc,0.46025000771562297
119,train,auroc,0.5509373876052356
119,valid,auroc,0.49008452734093794
120,train,auroc,0.5209168063035323
120,valid,auroc,0.47221873324543506
121,train,auroc,0.5483024717750506
121,valid,auroc,0.4644412058765055
122,train,auroc,0.535376455032
122,valid,auroc,0.4573415767288199
123,train,auroc,0.5567216714401022
123,valid,auroc,0.44809556893568175
124,train,auroc,0.5212845385052488
124,valid,auroc,0.5012447273585942
125,train,auroc,0.5211547922716508
125,valid,auroc,0.5130313283001154
126,train,auroc,0.5186370852540769
126,valid,auroc,0.513236240891079
127,train,auroc,0.5324300968056066
127,valid,auroc,0.513875202131378
128,train,auroc,0.5370594430633279
128,valid,auroc,0.4743887970590199
129,train,auroc,0.5273380232717679
129,valid,auroc,0.5197143138083813
130,train,auroc,0.5410496219549659
130,valid,auroc,0.5222812836212756
131,train,auroc,0.5383106937514394
131,valid,auroc,0.4824982756479867
132,train,auroc,0.5327256906157982
132,valid,auroc,0.5194528797934653
133,train,auroc,0.503878981611654
133,valid,auroc,0.47489479837821197
134,train,auroc,0.5327280534374458
134,valid,auroc,0.51790024524915
135,train,auroc,0.5296590856632469
135,valid,auroc,0.5235593855349654
136,train,auroc,0.5455988251600707
136,valid,auroc,0.5054630199163554
137,train,auroc,0.5300457525853769
137,valid,auroc,0.5158665505854184
138,train,auroc,0.5272157191226788
138,valid,auroc,0.47534858466765756
139,train,auroc,0.5238647558179741
139,valid,auroc,0.5270289038001775
140,train,auroc,0.5435049954871713
140,valid,auroc,0.4593239535282647
141,train,auroc,0.5162294825105549
141,valid,auroc,0.5089427658678066
142,train,auroc,0.5091069415006508
142,valid,auroc,0.5218454406410211
143,train,auroc,0.518224105821491
143,valid,auroc,0.5273473975383215
144,train,auroc,0.5137044298501721
144,valid,auroc,0.5329528873296552
145,train,auroc,0.5258401390097802
145,valid,auroc,0.5222471913338123
146,train,auroc,0.49476887360852306
146,valid,auroc,0.5183604911299045
147,train,auroc,0.5137851354793712
147,valid,auroc,0.47283670081398027
148,train,auroc,0.49619203162670533
148,valid,auroc,0.5116669190692159
149,train,auroc,0.5060102306641142
149,valid,auroc,0.4618568310536957
150,train,auroc,0.5048570933320338
150,valid,auroc,0.526682956798971
151,train,auroc,0.5024788410125145
151,valid,auroc,0.5141134892774373
152,train,auroc,0.5106357031802229
152,valid,auroc,0.51676568980899
153,train,auroc,0.48128400936178867
153,valid,auroc,0.5178370848007969
154,train,auroc,0.5013355728810569
154,valid,auroc,0.5232184626603325
155,train,auroc,0.5197355562159311
155,valid,auroc,0.5151098812368251
156,train,auroc,0.5126462232980258
156,valid,auroc,0.5227901558699383
157,train,auroc,0.4772859704716089
157,valid,auroc,0.5051398609178218
158,train,auroc,0.49968482852472873
158,valid,auroc,0.5234310908742481
159,train,auroc,0.5058444956028371
159,valid,auroc,0.5190733788040712
160,train,auroc,0.5105952137398818
160,valid,auroc,0.5133659710165315
161,train,auroc,0.4971461936582767
161,valid,auroc,0.5125081014040999
162,train,auroc,0.49984498604102834
162,valid,auroc,0.5140390245442938
163,train,auroc,0.4973159471237163
163,valid,auroc,0.5218077596917197
164,train,auroc,0.5147512723553468
164,valid,auroc,0.5211368593610602
165,train,auroc,0.49885875714424044
165,valid,auroc,0.5175431733962449
166,train,auroc,0.5103420221304127
166,valid,auroc,0.5238233316131681
167,train,auroc,0.47782352043323156
167,valid,auroc,0.5134151356837154
168,train,auroc,0.4936432382345305
168,valid,auroc,0.46127223804024614
169,train,auroc,0.508273042268854
169,valid,auroc,0.5139080383871979
170,train,auroc,0.5054831928477808
170,valid,auroc,0.5237246434126164
171,train,auroc,0.49095777087998166
171,valid,auroc,0.4684239027845863
172,train,auroc,0.4875040489440341
172,valid,auroc,0.4583603978246968
173,train,auroc,0.4914370539812484
173,valid,auroc,0.470079711356751
174,train,auroc,0.4950724399325731
174,valid,auroc,0.4973390072469437
175,train,auroc,0.5128541676766256
175,valid,auroc,0.514585577742258
176,train,auroc,0.499062393793578
176,valid,auroc,0.5124472735859414
177,train,auroc,0.4829024778958839
177,valid,auroc,0.5263370097977644
178,train,auroc,0.48669501559719464
178,valid,auroc,0.5232094910057368
179,train,auroc,0.5003250888967443
179,valid,auroc,0.5249096195516038
180,train,auroc,0.488096586748216
180,valid,auroc,0.48153418164514306
181,train,auroc,0.49211574637067385
181,valid,auroc,0.5252372643774353
182,train,auroc,0.4950042235035109
182,valid,auroc,0.47702987273887376
183,train,auroc,0.49392137609704045
183,valid,auroc,0.5241414664851283
184,train,auroc,0.4848235322634134
184,valid,auroc,0.5259440513264771
