epoch,subset,metric,score
0,train,auroc,0.4994499286910071
0,valid,auroc,0.47400373364377657
1,train,auroc,0.510169600444609
1,valid,auroc,0.46435938438659363
2,train,auroc,0.48519809575220607
2,valid,auroc,0.4737356606044599
3,train,auroc,0.4968435596039924
3,valid,auroc,0.4763611256053175
4,train,auroc,0.5286155864703354
4,valid,auroc,0.476464299633167
5,train,auroc,0.5172185725111066
5,valid,auroc,0.47590464781949315
6,train,auroc,0.5177992319125843
6,valid,auroc,0.47747827603556214
7,train,auroc,0.5301753220091918
7,valid,auroc,0.47712371624594396
8,train,auroc,0.5142028405552521
8,valid,auroc,0.4736113134717648
9,train,auroc,0.5334536004194057
9,valid,auroc,0.4705979141261931
10,train,auroc,0.5826174573107246
10,valid,auroc,0.4719323580307433
11,train,auroc,0.5726414153578134
11,valid,auroc,0.4748630387209435
12,train,auroc,0.5666007894846143
12,valid,auroc,0.4683557182096596
13,train,auroc,0.5747760237961537
13,valid,auroc,0.4743432210536741
14,train,auroc,0.5826535265064869
14,valid,auroc,0.4719300254005485
15,train,auroc,0.5978403777994292
15,valid,auroc,0.4781777062278355
16,train,auroc,0.6224231902940045
16,valid,auroc,0.4735704027268087
17,train,auroc,0.6257079463717282
17,valid,auroc,0.47030382328854914
18,train,auroc,0.6384290887969593
18,valid,auroc,0.4626536934148773
19,train,auroc,0.6426047411511204
19,valid,auroc,0.4560437371750197
20,train,auroc,0.6448394078531061
20,valid,auroc,0.4578059495706884
21,train,auroc,0.6427496126579859
21,valid,auroc,0.4615729679022908
22,train,auroc,0.6562322748192393
22,valid,auroc,0.44283746161029003
23,train,auroc,0.651167365697539
23,valid,auroc,0.4435607564037876
24,train,auroc,0.6573042403872378
24,valid,auroc,0.4502234659726674
25,train,auroc,0.6605705118058143
25,valid,auroc,0.4520332281376926
26,train,auroc,0.6676987428760124
26,valid,auroc,0.436310044592712
27,train,auroc,0.6821568967581315
27,valid,auroc,0.4424489889663003
28,train,auroc,0.6662476006912427
28,valid,auroc,0.44012030629946525
29,train,auroc,0.6896466716876359
29,valid,auroc,0.43878855389129373
30,train,auroc,0.6759932594967106
30,valid,auroc,0.4360769610063182
31,train,auroc,0.6871708525150516
31,valid,auroc,0.44742090051009237
32,train,auroc,0.7062263340105255
32,valid,auroc,0.44141778698708156
33,train,auroc,0.7039569161493427
33,valid,auroc,0.43856085329765726
34,train,auroc,0.7085752519796588
34,valid,auroc,0.42527867753504867
35,train,auroc,0.7061776470256931
35,valid,auroc,0.41345134528166333
36,train,auroc,0.7117247003524236
36,valid,auroc,0.42350264879130284
37,train,auroc,0.726338720095197
37,valid,auroc,0.4256443621763655
38,train,auroc,0.7189813756932711
38,valid,auroc,0.4106442939917906
39,train,auroc,0.7155334081120843
39,valid,auroc,0.40186911863182984
40,train,auroc,0.7171195847503298
40,valid,auroc,0.39597886852363173
41,train,auroc,0.7222735095610372
41,valid,auroc,0.3631332821829399
42,train,auroc,0.738841872131422
42,valid,auroc,0.3764531388948501
43,train,auroc,0.7288587738608017
43,valid,auroc,0.38960235473635174
44,train,auroc,0.7490785156310779
44,valid,auroc,0.3891216534831193
45,train,auroc,0.7486757268714479
45,valid,auroc,0.3717882373713196
46,train,auroc,0.7619794414585379
46,valid,auroc,0.36855377645651227
47,train,auroc,0.748175564142153
47,valid,auroc,0.3556200597583969
48,train,auroc,0.7608074819213604
48,valid,auroc,0.36821967203937195
49,train,auroc,0.7751148170584535
49,valid,auroc,0.3805951723885487
50,train,auroc,0.7507931686872059
50,valid,auroc,0.3923123327235001
51,train,auroc,0.7711237058970498
51,valid,auroc,0.3603522486913945
52,train,auroc,0.7807130648542143
52,valid,auroc,0.3894699331145206
53,train,auroc,0.781596872665709
53,valid,auroc,0.3580608881076771
54,train,auroc,0.7751577175412921
54,valid,auroc,0.3855414250001974
55,train,auroc,0.7932588762690281
55,valid,auroc,0.3748866880024575
56,train,auroc,0.7834743996793506
56,valid,auroc,0.3955480496699508
57,train,auroc,0.7869820968200085
57,valid,auroc,0.3978578918621351
58,train,auroc,0.795019499868775
58,valid,auroc,0.35741564670916126
59,train,auroc,0.7961493947511797
59,valid,auroc,0.39474598374910375
60,train,auroc,0.789027850305508
60,valid,auroc,0.36766091739115764
61,train,auroc,0.7878638793558054
61,valid,auroc,0.3542816683258247
62,train,auroc,0.8010946679441548
62,valid,auroc,0.3700592200976547
63,train,auroc,0.8001870551064015
63,valid,auroc,0.37923291635475215
64,train,auroc,0.8070075407122206
64,valid,auroc,0.37342969129613135
65,train,auroc,0.8123544614380435
65,valid,auroc,0.3529459683896311
66,train,auroc,0.8085940709700324
66,valid,auroc,0.36550251672854717
67,train,auroc,0.8087354062812351
67,valid,auroc,0.3869270073359425
68,train,auroc,0.8085220933146742
68,valid,auroc,0.3728809849010642
69,train,auroc,0.8155769001040156
69,valid,auroc,0.37842492914187204
70,train,auroc,0.809534039998102
70,valid,auroc,0.3759467787094741
71,train,auroc,0.8153928089725243
71,valid,auroc,0.37039117131769206
72,train,auroc,0.8091412329544119
72,valid,auroc,0.39274781683757076
73,train,auroc,0.8197424421533039
73,valid,auroc,0.38033571213764383
74,train,auroc,0.8224771108484182
74,valid,auroc,0.36808527665352975
75,train,auroc,0.8234830459992188
75,valid,auroc,0.36863559794642414
76,train,auroc,0.8234746073504777
76,valid,auroc,0.37117314073224494
77,train,auroc,0.8241989005903387
77,valid,auroc,0.38083884252736533
78,train,auroc,0.8262216848776456
78,valid,auroc,0.3887050098436994
79,train,auroc,0.8265851414973333
79,valid,auroc,0.3830876774682996
80,train,auroc,0.8364078411474043
80,valid,auroc,0.3739191847708675
81,train,auroc,0.8377167478984389
81,valid,auroc,0.37300658806540266
82,train,auroc,0.8375989925828617
82,valid,auroc,0.37754732188933005
83,train,auroc,0.8405431005029242
83,valid,auroc,0.384009425261452
84,train,auroc,0.8360805180179456
84,valid,auroc,0.3828283966504866
85,train,auroc,0.8407328013266263
85,valid,auroc,0.39270582949406324
86,train,auroc,0.8429420717143052
86,valid,auroc,0.39060825664961096
87,train,auroc,0.8554316093972277
87,valid,auroc,0.382792868898288
88,train,auroc,0.8533678695346971
88,valid,auroc,0.38831097477386045
89,train,auroc,0.8475201109876801
89,valid,auroc,0.38924384741871143
