epoch,subset,metric,score
0,train,auroc,0.5095048760280525
0,valid,auroc,0.5028960501034612
1,train,auroc,0.5101474188536321
1,valid,auroc,0.5066239520210266
2,train,auroc,0.5107501634043868
2,valid,auroc,0.49529275226677827
3,train,auroc,0.4910367727058159
3,valid,auroc,0.4989314759376635
4,train,auroc,0.5004861304619597
4,valid,auroc,0.5005381198426444
5,train,auroc,0.4957984048285659
5,valid,auroc,0.4935303604380177
6,train,auroc,0.5230367073826379
6,valid,auroc,0.486922557395263
7,train,auroc,0.5190432976940532
7,valid,auroc,0.4794159739951208
8,train,auroc,0.5643919852318182
8,valid,auroc,0.4695823228259707
9,train,auroc,0.5669050469741802
9,valid,auroc,0.4764569428763985
10,train,auroc,0.6131976576497107
10,valid,auroc,0.4932335781039951
11,train,auroc,0.5960613820558516
11,valid,auroc,0.4934192913541241
12,train,auroc,0.625382953916684
12,valid,auroc,0.4762577721443762
13,train,auroc,0.6344364827892071
13,valid,auroc,0.453708236050692
14,train,auroc,0.6288421087350591
14,valid,auroc,0.46863060970646897
15,train,auroc,0.6334951635773389
15,valid,auroc,0.46372114087866234
16,train,auroc,0.6235093006446549
16,valid,auroc,0.46371468128735344
17,train,auroc,0.6290761084462484
17,valid,auroc,0.4621956007312257
18,train,auroc,0.6347900702082716
18,valid,auroc,0.4412745993797357
19,train,auroc,0.6525341053212801
19,valid,auroc,0.4287955661365256
20,train,auroc,0.6325747561407323
20,valid,auroc,0.47430087484398287
21,train,auroc,0.6617442715880566
21,valid,auroc,0.4011289571276925
22,train,auroc,0.6405756077852369
22,valid,auroc,0.46028822696420024
23,train,auroc,0.6650384789523704
23,valid,auroc,0.4103893195681835
24,train,auroc,0.66619258070145
24,valid,auroc,0.43978386925213003
25,train,auroc,0.670038691767055
25,valid,auroc,0.43897193451122785
26,train,auroc,0.6818476725210207
26,valid,auroc,0.41044297006266517
27,train,auroc,0.704978201604044
27,valid,auroc,0.3943505132145295
28,train,auroc,0.6877372063977109
28,valid,auroc,0.4113062226678542
29,train,auroc,0.6813933999672612
29,valid,auroc,0.3984566600898457
30,train,auroc,0.6743772984468128
30,valid,auroc,0.42882122506866904
31,train,auroc,0.6461057034464021
31,valid,auroc,0.46010071938315206
32,train,auroc,0.6155231081385351
32,valid,auroc,0.46553682433572086
33,train,auroc,0.645016217636255
33,valid,auroc,0.46841528999617443
34,train,auroc,0.6495814301635432
34,valid,auroc,0.45321102695300364
35,train,auroc,0.6551883255650615
35,valid,auroc,0.4529372120547458
36,train,auroc,0.6843842660381582
36,valid,auroc,0.4296125250040014
37,train,auroc,0.6852535433002015
37,valid,auroc,0.3775279431154035
38,train,auroc,0.7161567429657674
38,valid,auroc,0.396053871556051
39,train,auroc,0.6861447931962052
39,valid,auroc,0.38299867865471116
40,train,auroc,0.6766699748312881
40,valid,auroc,0.4376801956825528
41,train,auroc,0.6468185040503586
41,valid,auroc,0.4493499856812393
42,train,auroc,0.6423640708890215
42,valid,auroc,0.452830449365058
43,train,auroc,0.6624890104682963
43,valid,auroc,0.44971549088946416
44,train,auroc,0.6627306451473944
44,valid,auroc,0.4486424809998299
45,train,auroc,0.6565400202836184
45,valid,auroc,0.4444738914085282
46,train,auroc,0.6589653843735385
46,valid,auroc,0.4425080224535394
47,train,auroc,0.6589725049857145
47,valid,auroc,0.4494409582588387
48,train,auroc,0.6565236091210187
48,valid,auroc,0.4563073243870386
49,train,auroc,0.6650438957611815
49,valid,auroc,0.4450660206118381
50,train,auroc,0.6566337133950706
50,valid,auroc,0.4663952322474282
51,train,auroc,0.6422680631767717
51,valid,auroc,0.4280467918439764
52,train,auroc,0.6451322691484673
52,valid,auroc,0.43232160582569007
53,train,auroc,0.6832982039083577
53,valid,auroc,0.4311954837408498
54,train,auroc,0.6645877586678908
54,valid,auroc,0.44581999846405274
55,train,auroc,0.644873435699554
55,valid,auroc,0.4520642700625934
56,train,auroc,0.6732782327611426
56,valid,auroc,0.4207720359985846
57,train,auroc,0.6945023505414044
57,valid,auroc,0.39304388143922564
58,train,auroc,0.685148020006895
58,valid,auroc,0.4402735421599582
59,train,auroc,0.6531968205357555
59,valid,auroc,0.4472900937860884
60,train,auroc,0.6485147206681892
60,valid,auroc,0.4428417680044958
61,train,auroc,0.6402232741082712
61,valid,auroc,0.4643841461532775
62,train,auroc,0.6713189874804528
62,valid,auroc,0.4607147394236753
63,train,auroc,0.6904580678561228
63,valid,auroc,0.37660458042442385
64,train,auroc,0.691076403815028
64,valid,auroc,0.37657084700314436
65,train,auroc,0.6366000237375171
65,valid,auroc,0.4726509875638513
66,train,auroc,0.6195747525402422
66,valid,auroc,0.509907398169926
67,train,auroc,0.6198187339673711
67,valid,auroc,0.550582009176926
68,train,auroc,0.6060770133265713
68,valid,auroc,0.5005670085704421
69,train,auroc,0.635133884868413
69,valid,auroc,0.48480219654813794
70,train,auroc,0.6489106942143595
70,valid,auroc,0.47886960023024855
71,train,auroc,0.6285667516082296
71,valid,auroc,0.5125947675874933
72,train,auroc,0.6027625532052785
72,valid,auroc,0.4777707519753789
73,train,auroc,0.622064829010795
73,valid,auroc,0.4663213058135604
74,train,auroc,0.6377889087930271
74,valid,auroc,0.45279438331358374
75,train,auroc,0.6444001319836811
75,valid,auroc,0.46640851029622965
76,train,auroc,0.6020268155503625
76,valid,auroc,0.47290057899470095
77,train,auroc,0.6182178338962742
77,valid,auroc,0.4648503133260651
78,train,auroc,0.6215180045723653
78,valid,auroc,0.4613402431820808
79,train,auroc,0.618638946578885
79,valid,auroc,0.4708912872314694
80,train,auroc,0.6325628938116448
80,valid,auroc,0.4642510067990787
81,train,auroc,0.6473935537596254
81,valid,auroc,0.45759744831788657
82,train,auroc,0.6485607715798912
82,valid,auroc,0.45601143921847553
83,train,auroc,0.6561720951985022
83,valid,auroc,0.4507215722358152
84,train,auroc,0.6024805094539227
84,valid,auroc,0.48446701553244614
85,train,auroc,0.5968033402004109
85,valid,auroc,0.4708708318589914
86,train,auroc,0.6230956461201698
86,valid,auroc,0.47780394709738266
87,train,auroc,0.6147441485284475
