epoch,subset,metric,score
0,train,auroc,0.5003808964937527
0,valid,auroc,0.4922707401327949
1,train,auroc,0.5069317954011197
1,valid,auroc,0.48900236636361605
2,train,auroc,0.4984489442141345
2,valid,auroc,0.48526244242889244
3,train,auroc,0.5200283210695924
3,valid,auroc,0.4952231322271163
4,train,auroc,0.5254516236217356
4,valid,auroc,0.4932203000551936
5,train,auroc,0.5341133420148008
5,valid,auroc,0.4859721003074048
6,train,auroc,0.5438353565301768
6,valid,auroc,0.4871021699202671
7,train,auroc,0.5505451913589781
7,valid,auroc,0.4823032318770783
8,train,auroc,0.5657264811805596
8,valid,auroc,0.47955108711333067
9,train,auroc,0.5803206821540036
9,valid,auroc,0.48334645587345515
10,train,auroc,0.5963433615127408
10,valid,auroc,0.4804895221840309
11,train,auroc,0.5947086586258292
11,valid,auroc,0.47588383358083136
12,train,auroc,0.6098082944748293
12,valid,auroc,0.46951503541650363
13,train,auroc,0.6260022864398213
13,valid,auroc,0.45563785952111463
14,train,auroc,0.6241820457959198
14,valid,auroc,0.4580571558993653
15,train,auroc,0.6334914666455095
15,valid,auroc,0.45417996564932894
16,train,auroc,0.6358319620395182
16,valid,auroc,0.45439690025745066
17,train,auroc,0.6446676451855853
17,valid,auroc,0.43941423708279115
18,train,auroc,0.6448060068777077
18,valid,auroc,0.4417791652341925
19,train,auroc,0.6600407896955001
19,valid,auroc,0.44269732436550663
20,train,auroc,0.6690619302304739
20,valid,auroc,0.4414567239680265
21,train,auroc,0.6790758255505953
21,valid,auroc,0.4509740345961356
22,train,auroc,0.6672185435785967
22,valid,auroc,0.45266196169175255
23,train,auroc,0.6774652652358919
23,valid,auroc,0.43628905092095827
24,train,auroc,0.684212889137437
24,valid,auroc,0.4431771284532796
25,train,auroc,0.6779957910270384
25,valid,auroc,0.4375974770271812
26,train,auroc,0.6834019269565995
26,valid,auroc,0.42514392328302264
27,train,auroc,0.701746070547232
27,valid,auroc,0.4506544642594401
28,train,auroc,0.7126371674224052
28,valid,auroc,0.41738541582183586
29,train,auroc,0.717588291411841
29,valid,auroc,0.4321432493323294
30,train,auroc,0.7081077829866296
30,valid,auroc,0.422136804095668
31,train,auroc,0.7156642473516146
31,valid,auroc,0.4563945288697079
32,train,auroc,0.7102870439320232
32,valid,auroc,0.45413959320364866
33,train,auroc,0.7383531698907984
33,valid,auroc,0.44291964196638567
34,train,auroc,0.7476156557797704
34,valid,auroc,0.43548375520445687
35,train,auroc,0.7390716927022823
35,valid,auroc,0.40530974816924414
36,train,auroc,0.7490876293717184
36,valid,auroc,0.4033203734792148
37,train,auroc,0.7538306964672377
37,valid,auroc,0.39621231097620935
38,train,auroc,0.7570521064217443
38,valid,auroc,0.38531569817057204
39,train,auroc,0.7630995153611696
39,valid,auroc,0.40450911771313247
40,train,auroc,0.7729750811364021
40,valid,auroc,0.38957777240275987
41,train,auroc,0.7708249134371449
