epoch,subset,metric,score
0,train,auroc,0.49792626234791304
0,valid,auroc,0.5480862743015208
1,train,auroc,0.4835173901744424
1,valid,auroc,0.5438877193838699
2,train,auroc,0.5264053195184242
2,valid,auroc,0.5302669533768231
3,train,auroc,0.5199953380082268
3,valid,auroc,0.5205196095248827
4,train,auroc,0.5485864765076377
4,valid,auroc,0.5129491479440198
5,train,auroc,0.5755313391161492
5,valid,auroc,0.5051403992170975
6,train,auroc,0.5724085407997899
6,valid,auroc,0.5019739434441248
7,train,auroc,0.6006640139627007
7,valid,auroc,0.502396149509394
8,train,auroc,0.6024406468846308
8,valid,auroc,0.5037591232755583
9,train,auroc,0.6063673832113519
9,valid,auroc,0.5010520162178805
10,train,auroc,0.6315347770698672
10,valid,auroc,0.4945969107363431
11,train,auroc,0.6442233543477655
11,valid,auroc,0.49374047658864684
12,train,auroc,0.6458695337969651
12,valid,auroc,0.49467370809968153
13,train,auroc,0.6640815844059685
13,valid,auroc,0.4838210564015626
14,train,auroc,0.6588986145699748
14,valid,auroc,0.4836660262101506
15,train,auroc,0.67919599190867
15,valid,auroc,0.48528774249485207
16,train,auroc,0.674086398132683
16,valid,auroc,0.48124583266644033
17,train,auroc,0.6969796645603372
17,valid,auroc,0.4722282431993064
18,train,auroc,0.7000731124526938
18,valid,auroc,0.47692723701030015
19,train,auroc,0.7102301433290826
19,valid,auroc,0.467391624206816
20,train,auroc,0.7297166227814069
20,valid,auroc,0.4674036462239741
21,train,auroc,0.7391166827552853
21,valid,auroc,0.48071955540786226
22,train,auroc,0.7528786400794474
22,valid,auroc,0.4754625246810218
23,train,auroc,0.7457164293836515
23,valid,auroc,0.4656913162278571
24,train,auroc,0.7623671531657502
24,valid,auroc,0.46380457726640145
25,train,auroc,0.7704954685902886
25,valid,auroc,0.4638869370555891
26,train,auroc,0.7768995028623253
26,valid,auroc,0.47345897477673143
27,train,auroc,0.7776857438207553
27,valid,auroc,0.47632272692364835
28,train,auroc,0.8035505397584766
28,valid,auroc,0.4536804239214456
29,train,auroc,0.8066293445860652
29,valid,auroc,0.4673995192628601
30,train,auroc,0.8146700909470947
30,valid,auroc,0.4666028363347705
31,train,auroc,0.8253644146072399
31,valid,auroc,0.46935856976035634
32,train,auroc,0.831505773835984
32,valid,auroc,0.45864749077175615
33,train,auroc,0.84375875610267
33,valid,auroc,0.45797533440945337
34,train,auroc,0.8440325540886845
34,valid,auroc,0.45348035602396364
35,train,auroc,0.8548016200662516
35,valid,auroc,0.45403139504922563
36,train,auroc,0.8447813917411701
36,valid,auroc,0.4595817988813423
37,train,auroc,0.861113761471901
37,valid,auroc,0.4736976207889745
38,train,auroc,0.8705231762906696
38,valid,auroc,0.4670096111541352
39,train,auroc,0.882677884465158
39,valid,auroc,0.46822850014749395
40,train,auroc,0.887097389657515
40,valid,auroc,0.4798299261381621
41,train,auroc,0.89231744132712
41,valid,auroc,0.48084408197364914
42,train,auroc,0.8981830898094685
42,valid,auroc,0.4916181419775105
43,train,auroc,0.9045658908339107
43,valid,auroc,0.47452301301177013
44,train,auroc,0.8976643620529429
44,valid,auroc,0.47202458663998614
45,train,auroc,0.9135800393456418
45,valid,auroc,0.47152235341572424
46,train,auroc,0.9133365722742457
46,valid,auroc,0.47034832269534343
47,train,auroc,0.9116204082981525
47,valid,auroc,0.4650798082506207
48,train,auroc,0.9238090157301555
48,valid,auroc,0.48127579799278974
49,train,auroc,0.9266854376505053
49,valid,auroc,0.46558150317560687
50,train,auroc,0.9350323381878657
50,valid,auroc,0.4981094929436142
51,train,auroc,0.929511774181374
51,valid,auroc,0.5055696031729513
52,train,auroc,0.9399614252488744
52,valid,auroc,0.4900448726276254
53,train,auroc,0.9440713525845539
53,valid,auroc,0.5060102908466874
54,train,auroc,0.9376029274042177
54,valid,auroc,0.5125974590838721
55,train,auroc,0.9430057521687488
55,valid,auroc,0.5079278922999518
56,train,auroc,0.9552816071919277
56,valid,auroc,0.5154063047046639
57,train,auroc,0.9504235172956615
57,valid,auroc,0.5122328510411067
58,train,auroc,0.9545767308809795
58,valid,auroc,0.5038341263079775
59,train,auroc,0.9605367797139127
59,valid,auroc,0.5165972021356845
60,train,auroc,0.9634447862909795
60,valid,auroc,0.5262329386044555
61,train,auroc,0.966742915617756
61,valid,auroc,0.5046419340877657
62,train,auroc,0.966216633261405
62,valid,auroc,0.530459126218261
63,train,auroc,0.9714658746188463
63,valid,auroc,0.5125497298814234
64,train,auroc,0.9754453324081789
64,valid,auroc,0.518639150721644
65,train,auroc,0.9744936939344214
65,valid,auroc,0.5151524068796083
66,train,auroc,0.9762952248885424
66,valid,auroc,0.5240086859971133
67,train,auroc,0.9785631961242267
67,valid,auroc,0.5446178326348601
68,train,auroc,0.9805286779681766
68,valid,auroc,0.5314978643873401
69,train,auroc,0.9812145231170111
69,valid,auroc,0.5310291851512656
70,train,auroc,0.9834381311707417
70,valid,auroc,0.5388948141683241
71,train,auroc,0.9832759805259776
71,valid,auroc,0.5321859902948229
72,train,auroc,0.9862883852431855
