epoch,subset,metric,score
0,train,auroc,0.4907425451530395
0,valid,auroc,0.46602918873992755
1,train,auroc,0.47683039595490073
1,valid,auroc,0.4632924752220844
2,train,auroc,0.5000208314071783
2,valid,auroc,0.4695137793848603
3,train,auroc,0.4883418379910602
3,valid,auroc,0.4594127729087611
4,train,auroc,0.5039799078505987
4,valid,auroc,0.4596492657239013
5,train,auroc,0.50311262371702
5,valid,auroc,0.4571962359243711
6,train,auroc,0.49859018308363723
6,valid,auroc,0.4641887435161852
7,train,auroc,0.5089075322124922
7,valid,auroc,0.4736520447836288
8,train,auroc,0.4896367124747596
8,valid,auroc,0.4867948010338217
9,train,auroc,0.4948244079540485
9,valid,auroc,0.4817825170443494
10,train,auroc,0.5193432796015904
10,valid,auroc,0.48678511164685845
11,train,auroc,0.5189095973507594
11,valid,auroc,0.48651344994570356
12,train,auroc,0.5351610524952747
12,valid,auroc,0.47888144281431466
13,train,auroc,0.5492749898768363
13,valid,auroc,0.4781509706971406
14,train,auroc,0.5584668965150985
14,valid,auroc,0.48401107604589755
15,train,auroc,0.5556102290696114
15,valid,auroc,0.4858143786196141
16,train,auroc,0.5827270472290434
16,valid,auroc,0.48777145535309924
17,train,auroc,0.5810094527010684
17,valid,auroc,0.48420611981680595
18,train,auroc,0.5971569276194756
18,valid,auroc,0.4891564993895686
19,train,auroc,0.6122331924298667
19,valid,auroc,0.48456785693010074
20,train,auroc,0.6126050716246787
20,valid,auroc,0.47834439957022185
21,train,auroc,0.6176373995254297
21,valid,auroc,0.4808194996400572
22,train,auroc,0.6038295038048822
22,valid,auroc,0.47952758137829016
23,train,auroc,0.6149870369496442
23,valid,auroc,0.4788773158532008
24,train,auroc,0.6310643023105246
24,valid,auroc,0.4727385509127044
25,train,auroc,0.6460950787857964
25,valid,auroc,0.47317421445986696
26,train,auroc,0.6405409369941232
26,valid,auroc,0.47540797702108056
27,train,auroc,0.6539376856743827
27,valid,auroc,0.4658310946064566
28,train,auroc,0.6577606185847785
28,valid,auroc,0.46844848511817816
29,train,auroc,0.6524480471777365
29,valid,auroc,0.4726445279725424
30,train,auroc,0.6610366306150447
30,valid,auroc,0.4668291014636716
31,train,auroc,0.6586730213602934
31,valid,auroc,0.4614486207695957
32,train,auroc,0.6467978012321134
32,valid,auroc,0.4695083963921029
33,train,auroc,0.6618797561027987
33,valid,auroc,0.45847272294023367
34,train,auroc,0.6533213428439423
34,valid,auroc,0.46495169302299544
35,train,auroc,0.6626130505679838
35,valid,auroc,0.4673806787882093
36,train,auroc,0.6613670720261333
36,valid,auroc,0.469583758290706
37,train,auroc,0.6857731551056429
37,valid,auroc,0.4361124887585168
38,train,auroc,0.6730929200347859
38,valid,auroc,0.4464844392034032
39,train,auroc,0.6675617795885385
39,valid,auroc,0.4305407323884626
40,train,auroc,0.6858840469869106
40,valid,auroc,0.43944079318039414
41,train,auroc,0.6835408512253047
41,valid,auroc,0.4368883574479447
42,train,auroc,0.6868019790865532
42,valid,auroc,0.42548753765403435
43,train,auroc,0.6971105198734839
43,valid,auroc,0.4262138828100945
44,train,auroc,0.6926427938311774
44,valid,auroc,0.4264125152428412
45,train,auroc,0.7095606932692309
45,valid,auroc,0.4203914584106391
46,train,auroc,0.7024619894328186
46,valid,auroc,0.4103659932662349
47,train,auroc,0.7012482867132013
47,valid,auroc,0.39858459588437906
48,train,auroc,0.7139076100087968
48,valid,auroc,0.4086940357157981
49,train,auroc,0.7241383866383755
49,valid,auroc,0.41294014040280574
50,train,auroc,0.7197400503991465
50,valid,auroc,0.38902493904657875
51,train,auroc,0.7217129100331388
51,valid,auroc,0.4110973625488686
52,train,auroc,0.7281673993878395
52,valid,auroc,0.4238236545927335
53,train,auroc,0.7321611948432236
53,valid,auroc,0.4106448322910663
54,train,auroc,0.7457683150181973
54,valid,auroc,0.4026819505381916
55,train,auroc,0.7416702982324551
55,valid,auroc,0.4056635902264948
56,train,auroc,0.7359874389186494
56,valid,auroc,0.40561980855206825
57,train,auroc,0.7410808465626699
57,valid,auroc,0.40445439062009925
58,train,auroc,0.7396281130898519
58,valid,auroc,0.41060481871156984
59,train,auroc,0.746563750085351
59,valid,auroc,0.4030584011650232
60,train,auroc,0.7515688975003468
60,valid,auroc,0.4006595601592505
61,train,auroc,0.7437879650788463
61,valid,auroc,0.4068880416457029
62,train,auroc,0.7566108534974711
62,valid,auroc,0.4027838685343976
63,train,auroc,0.7432856967057702
63,valid,auroc,0.4091483603045195
64,train,auroc,0.7562010084201319
64,valid,auroc,0.3965437238969709
65,train,auroc,0.7609590721999856
65,valid,auroc,0.4075139042702922
66,train,auroc,0.7561681700213161
66,valid,auroc,0.42980075031741716
67,train,auroc,0.7534700688040804
67,valid,auroc,0.42814314741433324
68,train,auroc,0.7583280301114134
68,valid,auroc,0.4180019479256458
69,train,auroc,0.7674465285424354
69,valid,auroc,0.4275617841965381
70,train,auroc,0.7744402073676572
70,valid,auroc,0.4342153426777303
71,train,auroc,0.770591074462122
71,valid,auroc,0.39640071572271707
72,train,auroc,0.7586135457639656
72,valid,auroc,0.412678526954798
73,train,auroc,0.773214610171719
73,valid,auroc,0.42732618854685744
74,train,auroc,0.7620029732333133
74,valid,auroc,0.3988083489499935
75,train,auroc,0.7628089525929894
75,valid,auroc,0.41873547040538245
76,train,auroc,0.7721936140421173
76,valid,auroc,0.3997995373497158
77,train,auroc,0.7702229082727561
77,valid,auroc,0.41812629505834087
78,train,auroc,0.774384206887249
78,valid,auroc,0.4389913132851544
79,train,auroc,0.769528736990497
79,valid,auroc,0.38162547720230794
80,train,auroc,0.7683183454359094
80,valid,auroc,0.40986878416854655
81,train,auroc,0.7706465284395643
81,valid,auroc,0.4083667497561504
82,train,auroc,0.7804663991331049
82,valid,auroc,0.41336934435865946
83,train,auroc,0.7703765559743125
83,valid,auroc,0.4417224643771483
84,train,auroc,0.7866127572566272
84,valid,auroc,0.4106480620867208
85,train,auroc,0.7893751207932291
85,valid,auroc,0.39973494143662747
86,train,auroc,0.7902549584214114
86,valid,auroc,0.42712970931121375
87,train,auroc,0.7803730757148355
87,valid,auroc,0.4103871663710806
88,train,auroc,0.7796174549961237
88,valid,auroc,0.3800466454265735
89,train,auroc,0.7900014614132258
89,valid,auroc,0.4513996498901511
90,train,auroc,0.7989875775375194
90,valid,auroc,0.4158932502294949
91,train,auroc,0.7961637324172314
91,valid,auroc,0.4263439718017308
92,train,auroc,0.7905485269559052
92,valid,auroc,0.41960536203497223
93,train,auroc,0.7970043825680213
93,valid,auroc,0.4286087762878451
94,train,auroc,0.798377149798006
94,valid,auroc,0.3945911329907836
95,train,auroc,0.7963124133712431
95,valid,auroc,0.4198459818112263
96,train,auroc,0.8074694643075055
96,valid,auroc,0.42092509242598564
97,train,auroc,0.7909005070133046
97,valid,auroc,0.42920180265661456
98,train,auroc,0.8012241409262698
98,valid,auroc,0.40253337993808846
99,train,auroc,0.8141399669963645
99,valid,auroc,0.40503055027822893
100,train,auroc,0.7924906538348627
100,valid,auroc,0.40464512799680175
101,train,auroc,0.7935367408800549
101,valid,auroc,0.4287736752993124
102,train,auroc,0.8049987565450161
102,valid,auroc,0.42029653830501756
103,train,auroc,0.8080029154968824
103,valid,auroc,0.400078735240731
104,train,auroc,0.8107684937568145
104,valid,auroc,0.41246464270923877
105,train,auroc,0.8083494465982376
105,valid,auroc,0.4158738714555684
106,train,auroc,0.8158177632495144
106,valid,auroc,0.42285310099858103
107,train,auroc,0.81359777175953
107,valid,auroc,0.42999938275016386
108,train,auroc,0.8187124930192282
108,valid,auroc,0.39125457464667834
109,train,auroc,0.8198120248397813
109,valid,auroc,0.416793286618526
110,train,auroc,0.8118226497575648
110,valid,auroc,0.43003885803038444
111,train,auroc,0.8212080345194419
111,valid,auroc,0.4254805397634498
112,train,auroc,0.8195051152034682
112,valid,auroc,0.4254850255907476
113,train,auroc,0.8212513207690801
113,valid,auroc,0.4043557024195476
114,train,auroc,0.8213247771971701
114,valid,auroc,0.43972052937068506
115,train,auroc,0.8278272302239544
115,valid,auroc,0.4340917132774028
116,train,auroc,0.8278207847036777
116,valid,auroc,0.42191466592788085
117,train,auroc,0.8211867369773806
117,valid,auroc,0.41122691324122906
118,train,auroc,0.8378421703291582
118,valid,auroc,0.42598797654737713
119,train,auroc,0.8324337358724161
119,valid,auroc,0.43295769613651847
120,train,auroc,0.8310673659418579
120,valid,auroc,0.40594924770881885
121,train,auroc,0.8263124686644844
121,valid,auroc,0.4175113778523581
122,train,auroc,0.8299512461489221
122,valid,auroc,0.42699746712247455
123,train,auroc,0.83814068953758
123,valid,auroc,0.43032325948106515
124,train,auroc,0.8361917152979296
124,valid,auroc,0.4133718564219463
125,train,auroc,0.8234637255120059
125,valid,auroc,0.42779558551529956
126,train,auroc,0.8324450999193875
126,valid,auroc,0.399482658509399
127,train,auroc,0.8444125826071381
127,valid,auroc,0.40788622793600987
128,train,auroc,0.838950108651219
128,valid,auroc,0.41984974990615653
129,train,auroc,0.8403260584573006
129,valid,auroc,0.439657548355424
130,train,auroc,0.8370887195486941
130,valid,auroc,0.4165609207644998
131,train,auroc,0.8472619365570494
131,valid,auroc,0.42543621978974744
132,train,auroc,0.8448754063249554
132,valid,auroc,0.41037675925174955
133,train,auroc,0.8511150717931303
133,valid,auroc,0.4249370369280481
134,train,auroc,0.8441609822857171
134,valid,auroc,0.4265635979062311
135,train,auroc,0.8534719462025052
135,valid,auroc,0.43730392448881306
136,train,auroc,0.8508927897484787
136,valid,auroc,0.4228401818159634
137,train,auroc,0.8455303419089721
137,valid,auroc,0.40817224428451776
138,train,auroc,0.8490408197853104
138,valid,auroc,0.42747368254840923
139,train,auroc,0.855156863067831
139,valid,auroc,0.43381610404822585
140,train,auroc,0.8496238902292856
140,valid,auroc,0.4386771259412163
141,train,auroc,0.8472646529982631
141,valid,auroc,0.41918189993805965
142,train,auroc,0.8603879412384581
142,valid,auroc,0.41859802465697776
143,train,auroc,0.8568018530693987
143,valid,auroc,0.40620691362880457
144,train,auroc,0.8607951020218167
144,valid,auroc,0.42090786684916215
145,train,auroc,0.8608183605451092
145,valid,auroc,0.42972790048210086
146,train,auroc,0.8509548017615141
146,valid,auroc,0.42128234371198264
147,train,auroc,0.8617824399981534
147,valid,auroc,0.4321443259308809
148,train,auroc,0.8701945833454956
148,valid,auroc,0.41683042926855174
149,train,auroc,0.863266324140039
149,valid,auroc,0.42911388044157767
150,train,auroc,0.8577255555974184
