epoch,subset,metric,score
0,train,auroc,0.5125613224548811
0,valid,auroc,0.48414026787207426
1,train,auroc,0.4846564148711044
1,valid,auroc,0.48791284862952594
2,train,auroc,0.514773437872707
2,valid,auroc,0.4796515696448015
3,train,auroc,0.5518116959092902
3,valid,auroc,0.49229101607218095
4,train,auroc,0.5672436698561437
4,valid,auroc,0.48273458903003497
5,train,auroc,0.575344435101744
5,valid,auroc,0.48846711745044236
6,train,auroc,0.5847371976536635
6,valid,auroc,0.4790479567236091
7,train,auroc,0.6023665153646416
7,valid,auroc,0.47110230054755803
8,train,auroc,0.634252568467499
8,valid,auroc,0.4696874706178312
9,train,auroc,0.6205204598494558
9,valid,auroc,0.47639144979785075
10,train,auroc,0.6500178127819715
10,valid,auroc,0.477919502008574
11,train,auroc,0.6343380158136098
11,valid,auroc,0.45284444514622724
12,train,auroc,0.6189317596533963
12,valid,auroc,0.44276174084550307
13,train,auroc,0.6567759970496556
13,valid,auroc,0.4517206556915818
14,train,auroc,0.6609465701409554
14,valid,auroc,0.4085858375613751
15,train,auroc,0.6742495453416795
15,valid,auroc,0.4110286396746663
16,train,auroc,0.6644553602875456
16,valid,auroc,0.4315308441896335
17,train,auroc,0.6725590348577594
17,valid,auroc,0.39162510398147676
18,train,auroc,0.6553845683507402
18,valid,auroc,0.4188677125941216
19,train,auroc,0.6739052323994219
19,valid,auroc,0.4038444975406901
20,train,auroc,0.679488901424881
20,valid,auroc,0.4075641455360276
21,train,auroc,0.684873418340048
21,valid,auroc,0.3615460170518856
22,train,auroc,0.6900036988606634
22,valid,auroc,0.3761926020453937
23,train,auroc,0.6916823148682625
23,valid,auroc,0.4401822107161749
24,train,auroc,0.7010182250380913
24,valid,auroc,0.42965863930862275
25,train,auroc,0.6968182693755554
25,valid,auroc,0.4462626599017998
26,train,auroc,0.7030154683485413
26,valid,auroc,0.4204239358002752
27,train,auroc,0.6963287473804827
27,valid,auroc,0.40382709253077453
28,train,auroc,0.7189658003587375
28,valid,auroc,0.40513946616501956
29,train,auroc,0.6870473106974806
29,valid,auroc,0.4056607192970242
30,train,auroc,0.7098053176410257
30,valid,auroc,0.3827609298079276
31,train,auroc,0.7093891717059597
31,valid,auroc,0.4257810901924025
32,train,auroc,0.7018696927328865
32,valid,auroc,0.38289299256357495
33,train,auroc,0.6625271049397568
33,valid,auroc,0.4473545102660849
34,train,auroc,0.6598172217615166
34,valid,auroc,0.4472778923358384
35,train,auroc,0.6619196186720905
35,valid,auroc,0.43395839449011214
36,train,auroc,0.6456836745676422
36,valid,auroc,0.4505686952415062
37,train,auroc,0.6604606807832456
37,valid,auroc,0.45023907665166363
38,train,auroc,0.6606315915490839
38,valid,auroc,0.45349148087566216
39,train,auroc,0.6594293171709047
39,valid,auroc,0.4532845945206876
40,train,auroc,0.6727105608419179
40,valid,auroc,0.44880773887748093
41,train,auroc,0.6695933722177695
41,valid,auroc,0.4463654750634654
42,train,auroc,0.6730034864317459
42,valid,auroc,0.4596713359942064
43,train,auroc,0.6711434957338692
43,valid,auroc,0.4614118369857537
44,train,auroc,0.6631905273933647
44,valid,auroc,0.45459930078512745
45,train,auroc,0.6625895027195916
45,valid,auroc,0.4524139851587301
46,train,auroc,0.6379968692452433
46,valid,auroc,0.5181509132785512
47,train,auroc,0.5738764959875753
47,valid,auroc,0.43847221335025277
48,train,auroc,0.639531481721276
48,valid,auroc,0.4516600073065155
49,train,auroc,0.6491609764992152
49,valid,auroc,0.4651070820805913
50,train,auroc,0.6588887614429684
50,valid,auroc,0.4789374259389913
51,train,auroc,0.6544345693858811
51,valid,auroc,0.46595131477803764
52,train,auroc,0.66443509145695
52,valid,auroc,0.45115974784626467
53,train,auroc,0.6693484263736416
53,valid,auroc,0.46425118623217065
54,train,auroc,0.651154281773586
54,valid,auroc,0.4185922827980365
55,train,auroc,0.6624361443431349
55,valid,auroc,0.44401974625289875
56,train,auroc,0.6715678392134267
56,valid,auroc,0.4328814370724558
57,train,auroc,0.6605988978128181
57,valid,auroc,0.4120133684830798
58,train,auroc,0.6428588650303553
58,valid,auroc,0.4337430747798177
59,train,auroc,0.652748929207806
59,valid,auroc,0.44781637104466665
60,train,auroc,0.6834363084226136
60,valid,auroc,0.4362901275195097
61,train,auroc,0.680149848541525
61,valid,auroc,0.43029742111582986
62,train,auroc,0.6778221638199863
62,valid,auroc,0.44677296761519786
63,train,auroc,0.6439934212615886
63,valid,auroc,0.43986228151329565
64,train,auroc,0.6810131464181745
64,valid,auroc,0.44130671790318793
65,train,auroc,0.7038717099074816
65,valid,auroc,0.43369803707374777
66,train,auroc,0.7008678081334815
66,valid,auroc,0.44636834599293607
67,train,auroc,0.7122873251560202
67,valid,auroc,0.4185964097591506
68,train,auroc,0.7198783477968023
68,valid,auroc,0.43618569746001695
69,train,auroc,0.6824954071247785
69,valid,auroc,0.417340198682674
70,train,auroc,0.6751593763385304
70,valid,auroc,0.4309805228967391
71,train,auroc,0.6819738021908726
71,valid,auroc,0.4201659110141056
72,train,auroc,0.6902459282635774
72,valid,auroc,0.4446303570646756
73,train,auroc,0.6930038072611342
73,valid,auroc,0.44796870973970004
74,train,auroc,0.6896292800344207
74,valid,auroc,0.45520560520269837
75,train,auroc,0.6957065859008151
75,valid,auroc,0.42438205037476395
76,train,auroc,0.7027716155103457
76,valid,auroc,0.4601732103522846
77,train,auroc,0.6921131520889464
77,valid,auroc,0.42513243956514024
78,train,auroc,0.6225335356723061
78,valid,auroc,0.4644011922970091
79,train,auroc,0.6529082669696564
79,valid,auroc,0.4249271681079929
80,train,auroc,0.6764074765977787
80,valid,auroc,0.4291291322543902
81,train,auroc,0.6662308198354603
81,valid,auroc,0.44215758962503504
82,train,auroc,0.6783666575840016
82,valid,auroc,0.43486524933663584
83,train,auroc,0.6315938154638222
83,valid,auroc,0.44920015904949273
84,train,auroc,0.6524082810501447
