epoch,subset,metric,score
0,train,auroc,0.4869969263387297
0,valid,auroc,0.4693668236825843
1,train,auroc,0.50218278106744
1,valid,auroc,0.4689636375250579
2,train,auroc,0.501259721484086
2,valid,auroc,0.4821189540916846
3,train,auroc,0.480663037329753
3,valid,auroc,0.4853792533717272
4,train,auroc,0.5008286753063856
4,valid,auroc,0.474094526788284
5,train,auroc,0.4989559543041224
5,valid,auroc,0.45273696472417185
6,train,auroc,0.4864779896251877
6,valid,auroc,0.4797138329276949
7,train,auroc,0.4964799904689883
7,valid,auroc,0.4970237433044542
8,train,auroc,0.4939432201420676
8,valid,auroc,0.5071215199848988
9,train,auroc,0.5030239134267291
9,valid,auroc,0.48768855726463584
10,train,auroc,0.49272813509141833
10,valid,auroc,0.4903936905583025
11,train,auroc,0.5054194931049971
11,valid,auroc,0.5046501880099937
12,train,auroc,0.5011140302227713
12,valid,auroc,0.49069836794836924
13,train,auroc,0.4889508994731583
13,valid,auroc,0.48913730004873407
14,train,auroc,0.48995476112741115
14,valid,auroc,0.4828833390632301
15,train,auroc,0.5130821558551877
15,valid,auroc,0.4764985713537222
16,train,auroc,0.4919092968384225
16,valid,auroc,0.4758526122228387
17,train,auroc,0.5141083116157341
17,valid,auroc,0.4832594308238778
18,train,auroc,0.48857935782429585
18,valid,auroc,0.48293537465988456
19,train,auroc,0.5029644088978913
19,valid,auroc,0.47704853378043277
20,train,auroc,0.5192674764254693
20,valid,auroc,0.4799743697771513
21,train,auroc,0.5156465245818963
21,valid,auroc,0.47528668025094795
22,train,auroc,0.5014356311447026
22,valid,auroc,0.4742289221741262
23,train,auroc,0.48309629356544836
23,valid,auroc,0.4729750437278445
24,train,auroc,0.5268431487623508
24,valid,auroc,0.47233177609333965
25,train,auroc,0.5087954348099758
25,valid,auroc,0.4742034426750747
26,train,auroc,0.5346362649852721
26,valid,auroc,0.4983779248491147
27,train,auroc,0.5342230926692864
27,valid,auroc,0.5101634491920846
28,train,auroc,0.5160938854804963
28,valid,auroc,0.50929499302723
29,train,auroc,0.5241186546665759
29,valid,auroc,0.5057831285523267
30,train,auroc,0.5332294216879895
30,valid,auroc,0.4989479837821194
31,train,auroc,0.5292780766541777
31,valid,auroc,0.5059327757509813
32,train,auroc,0.5450130061276484
32,valid,auroc,0.5028117165502625
33,train,auroc,0.5406962756401511
33,valid,auroc,0.5012447273585943
34,train,auroc,0.5368339784425797
34,valid,auroc,0.5210751343774425
35,train,auroc,0.5199104693123153
35,valid,auroc,0.5217298857298298
36,train,auroc,0.4910208116044826
36,valid,auroc,0.5250781072249093
37,train,auroc,0.4954427278393369
37,valid,auroc,0.5273267627327516
38,train,auroc,0.4971700951262351
38,valid,auroc,0.5287722757211955
39,train,auroc,0.4986786683432949
39,valid,auroc,0.5228913561337767
40,train,auroc,0.5165300430682914
40,valid,auroc,0.5121445699598859
41,train,auroc,0.5139799155659347
41,valid,auroc,0.5174588398430463
42,train,auroc,0.4957017380980334
42,valid,auroc,0.5049419462174428
43,train,auroc,0.5064970683652064
43,valid,auroc,0.5132462891442261
44,train,auroc,0.48865292676770233
44,valid,auroc,0.5052058922956454
45,train,auroc,0.5011269534105579
45,valid,auroc,0.5195081451857743
46,train,auroc,0.4945990558486169
46,valid,auroc,0.5047140661907143
47,train,auroc,0.5004589499762047
47,valid,auroc,0.5039096676396725
48,train,auroc,0.5011765244443062
48,valid,auroc,0.5037018841192383
49,train,auroc,0.5047698778880914
49,valid,auroc,0.503545239029999
50,train,auroc,0.4895656992364003
50,valid,auroc,0.5034095876125135
51,train,auroc,0.5018306242002573
51,valid,auroc,0.503190140941105
52,train,auroc,0.4892029337822288
52,valid,auroc,0.5030128610462958
53,train,auroc,0.5089944261841015
53,valid,auroc,0.5025427463454862
54,train,auroc,0.4969737237516233
54,valid,auroc,0.5015689629556793
55,train,auroc,0.48520851145579524
55,valid,auroc,0.5014110618347967
56,train,auroc,0.5002733479247483
56,valid,auroc,0.500540990772115
57,train,auroc,0.4804018892800422
57,valid,auroc,0.5007721005944977
58,train,auroc,0.47661345035097713
58,valid,auroc,0.49947300500905417
59,train,auroc,0.524906679796454
59,valid,auroc,0.5017943309191208
60,train,auroc,0.4983534830048507
60,valid,auroc,0.5413980852335896
61,train,auroc,0.530648159590182
61,valid,auroc,0.5059055019210108
62,train,auroc,0.5500255152590701
62,valid,auroc,0.5008652263692001
63,train,auroc,0.5248744843423042
63,valid,auroc,0.5292082981345417
64,train,auroc,0.48991131414160644
64,valid,auroc,0.5318965647175687
65,train,auroc,0.4839163212660763
65,valid,auroc,0.5373879350624463
66,train,auroc,0.49431421528796404
66,valid,auroc,0.5370936647917105
67,train,auroc,0.5060175441596899
67,valid,auroc,0.5372813518058506
68,train,auroc,0.48932854909634765
68,valid,auroc,0.4787633758398366
69,train,auroc,0.47977490571537945
69,valid,auroc,0.5354382150857295
70,train,auroc,0.5127359462261656
70,valid,auroc,0.47537603793072014
71,train,auroc,0.5084978639449362
71,valid,auroc,0.5142889748413273
72,train,auroc,0.4976484941785861
72,valid,auroc,0.480427976633505
73,train,auroc,0.49541623851909783
73,valid,auroc,0.525603307884936
74,train,auroc,0.48201894333587214
74,valid,auroc,0.49979759947232316
75,train,auroc,0.5014120350754605
75,valid,auroc,0.4977407579397349
76,train,auroc,0.507250406630354
76,valid,auroc,0.4989533667748767
77,train,auroc,0.4966663479804272
77,valid,auroc,0.5216288648990832
78,train,auroc,0.5052911131288144
78,valid,auroc,0.496183099268846
79,train,auroc,0.506186590385997
79,valid,auroc,0.49873033144163
80,train,auroc,0.47295810096777313
80,valid,auroc,0.4907084162015163
81,train,auroc,0.4943928474206153
81,valid,auroc,0.4845174362312735
82,train,auroc,0.5051112332848853
82,valid,auroc,0.5025730705380194
83,train,auroc,0.5060855998525856
83,valid,auroc,0.5092524673844468
84,train,auroc,0.4663519731135971
84,valid,auroc,0.5102594458962576
85,train,auroc,0.49046236594121506
85,valid,auroc,0.5096341215709439
86,train,auroc,0.503485242298198
86,valid,auroc,0.47374014643175766
87,train,auroc,0.483880525321797
87,valid,auroc,0.4961177856233901
88,train,auroc,0.47082273706945055
88,valid,auroc,0.4880321716356474
89,train,auroc,0.5067745150622004
89,valid,auroc,0.5228021778870964
90,train,auroc,0.5006976753306889
90,valid,auroc,0.526640251723096
91,train,auroc,0.49742274023273825
91,valid,auroc,0.5175846224404766
92,train,auroc,0.5030267584568763
92,valid,auroc,0.4836834312200661
93,train,auroc,0.5123321126814535
93,valid,auroc,0.4719022132713021
94,train,auroc,0.5038631330256371
94,valid,auroc,0.47295028196116057
95,train,auroc,0.5110452589324624
95,valid,auroc,0.475962245841997
96,train,auroc,0.47261046078686914
96,valid,auroc,0.528797396354063
97,train,auroc,0.49045540606520566
97,valid,auroc,0.47429244148866306
98,train,auroc,0.5158353895775326
98,valid,auroc,0.48460176978447217
99,train,auroc,0.4912668986753925
99,valid,auroc,0.4998144661829629
100,train,auroc,0.48595075892545436
100,valid,auroc,0.5021291530686288
101,train,auroc,0.49383763255429447
101,valid,auroc,0.46880412150634804
102,train,auroc,0.5170535125417288
102,valid,auroc,0.49481635740775165
103,train,auroc,0.5121172566476943
103,valid,auroc,0.474698678008752
104,train,auroc,0.5301015601823854
104,valid,auroc,0.4865120144809682
105,train,auroc,0.48971124583516523
105,valid,auroc,0.48893454065487335
106,train,auroc,0.5062065538178762
106,valid,auroc,0.4567806688835027
107,train,auroc,0.5055561831409878
107,valid,auroc,0.49725826235558335
108,train,auroc,0.5092951153307712
108,valid,auroc,0.47700259890890323
109,train,auroc,0.5000082779125747
109,valid,auroc,0.4661973175470492
110,train,auroc,0.4793976097117564
110,valid,auroc,0.5115032760893922
111,train,auroc,0.502302834910198
111,valid,auroc,0.48203731203486455
112,train,auroc,0.5036510095067084
112,valid,auroc,0.4975790887239221
113,train,auroc,0.5024361334130756
113,valid,auroc,0.45946588510396713
114,train,auroc,0.5024962005184963
114,valid,auroc,0.4930828543067889
115,train,auroc,0.4828068077295836
115,valid,auroc,0.4827984672107557
116,train,auroc,0.47990876679483985
116,valid,auroc,0.5033516307238259
117,train,auroc,0.49656032640500447
117,valid,auroc,0.5214431516489543
118,train,auroc,0.5004072732986752
118,valid,auroc,0.501345389323157
119,train,auroc,0.5104744365843745
119,valid,auroc,0.49327538601441057
120,train,auroc,0.4974124370444657
120,valid,auroc,0.4794245867835326
121,train,auroc,0.5093883423073406
121,valid,auroc,0.4985968332212474
122,train,auroc,0.4847850359515369
122,valid,auroc,0.536769967493901
123,train,auroc,0.5011144963576541
123,valid,auroc,0.5185155213213165
124,train,auroc,0.4990665568602903
124,valid,auroc,0.4984846875388024
125,train,auroc,0.5113108433003687
125,valid,auroc,0.5136200482746791
126,train,auroc,0.49450139255385206
126,valid,auroc,0.5014376179323998
127,train,auroc,0.49019890329070653
127,valid,auroc,0.4808263180975499
128,train,auroc,0.48560141494118536
128,valid,auroc,0.5080784366640662
129,train,auroc,0.4981428864795037
129,valid,auroc,0.4731033383885616
130,train,auroc,0.5141363600767882
130,valid,auroc,0.519900565357786
131,train,auroc,0.5119972510257861
131,valid,auroc,0.5052306540623293
132,train,auroc,0.48710503748431694
132,valid,auroc,0.48402848105581303
133,train,auroc,0.4962354946861266
133,valid,auroc,0.5335362243114614
134,train,auroc,0.460842724933227
134,valid,auroc,0.49479859353165234
135,train,auroc,0.5024614332856826
135,valid,auroc,0.49688181172875173
136,train,auroc,0.4794085236974617
136,valid,auroc,0.4931835162713516
137,train,auroc,0.5141612420353623
137,valid,auroc,0.5245125341192024
138,train,auroc,0.48096282635389037
138,valid,auroc,0.5017363740304334
139,train,auroc,0.48737740491844955
139,valid,auroc,0.5268806920662582
140,train,auroc,0.4904018809217615
140,valid,auroc,0.5041763052142539
141,train,auroc,0.5052487912961752
141,valid,auroc,0.4704884599401268
142,train,auroc,0.4931733742726206
142,valid,auroc,0.4845527845503802
143,train,auroc,0.5072925195059768
143,valid,auroc,0.5132401884191011
144,train,auroc,0.49863030283079535
144,valid,auroc,0.48668911494268546
145,train,auroc,0.49394789756451274
145,valid,auroc,0.5229582846770598
146,train,auroc,0.5069692147806806
146,valid,auroc,0.49708636545353146
147,train,auroc,0.5146237442808465
147,valid,auroc,0.48848075436542765
148,train,auroc,0.5087962063435749
148,valid,auroc,0.5121361366045661
149,train,auroc,0.4904394771111056
149,valid,auroc,0.501606285038797
150,train,auroc,0.515702139295505
150,valid,auroc,0.5149051480789534
151,train,auroc,0.5050520984492304
151,valid,auroc,0.4956652553655877
152,train,auroc,0.5015826565161992
152,valid,auroc,0.4755669547405146
153,train,auroc,0.5032522552248576
153,valid,auroc,0.4847187601603987
154,train,auroc,0.5113825316306272
154,valid,auroc,0.5067430955940564
155,train,auroc,0.4867610138671592
155,valid,auroc,0.4880400666916916
156,train,auroc,0.514155005472102
156,valid,auroc,0.4744408326556744
157,train,auroc,0.49572366251114386
157,valid,auroc,0.5016387624284331
158,train,auroc,0.5003928874117736
158,valid,auroc,0.4697242544016732
159,train,auroc,0.5153543062312012
159,valid,auroc,0.5183421889545295
160,train,auroc,0.484312648431813
160,valid,auroc,0.47976353589415466
161,train,auroc,0.5068653952907389
161,valid,auroc,0.5235134506634359
162,train,auroc,0.4890705514755001
162,valid,auroc,0.5322030364385545
163,train,auroc,0.5012273009993032
163,valid,auroc,0.5146316920468793
164,train,auroc,0.5029900784636812
164,valid,auroc,0.47524523120671625
165,train,auroc,0.49973838581540625
165,valid,auroc,0.5021259232729745
166,train,auroc,0.5051678445627262
166,valid,auroc,0.49166676834541867
167,train,auroc,0.4986803399994265
167,valid,auroc,0.48889596254011225
168,train,auroc,0.4951033494973909
168,valid,auroc,0.4693312959303857
169,train,auroc,0.48143876614289394
169,valid,auroc,0.49294899722022256
170,train,auroc,0.4874860143461529
170,valid,auroc,0.536376291290246
171,train,auroc,0.506867918848553
171,valid,auroc,0.4752421808441537
172,train,auroc,0.5065522812383989
172,valid,auroc,0.45672217369553936
173,train,auroc,0.4895031889412489
173,valid,auroc,0.4925045414515563
174,train,auroc,0.5040553895543866
174,valid,auroc,0.48764656992112837
175,train,auroc,0.478878271157798
175,valid,auroc,0.4968252903047994
176,train,auroc,0.5057168228657869
176,valid,auroc,0.4887041485648582
177,train,auroc,0.4904412612825538
177,valid,auroc,0.49541243413908365
178,train,auroc,0.48323486421458717
178,valid,auroc,0.5093423633634948
179,train,auroc,0.5034976993511017
179,valid,auroc,0.5563308660086975
180,train,auroc,0.5074190349426281
180,valid,auroc,0.5060032929561028
181,train,auroc,0.5046702536120953
181,valid,auroc,0.5028248151659721
182,train,auroc,0.4864792112200531
182,valid,auroc,0.5056316870227529
183,train,auroc,0.48611826208456294
183,valid,auroc,0.5310135744722694
184,train,auroc,0.4899814594046667
184,valid,auroc,0.4810193881044473
185,train,auroc,0.5137485519278759
185,valid,auroc,0.4941447393447247
186,train,auroc,0.4996222539351107
186,valid,auroc,0.4879033386756546
187,train,auroc,0.5148581619060686
187,valid,auroc,0.5081369318520295
188,train,auroc,0.511604476129329
188,valid,auroc,0.4704136363407994
189,train,auroc,0.49096685247338884
189,valid,auroc,0.4825399041253103
190,train,auroc,0.48983920789731505
190,valid,auroc,0.5032890085747486
191,train,auroc,0.4781984053943572
191,valid,auroc,0.4759957998301846
192,train,auroc,0.4916336503864933
192,valid,auroc,0.501902349640452
193,train,auroc,0.48306239430793374
193,valid,auroc,0.47691126746512
194,train,auroc,0.504247694303986
194,valid,auroc,0.5266592716308387
195,train,auroc,0.49379312470979086
195,valid,auroc,0.47335239152013564
196,train,auroc,0.4962981817910612
196,valid,auroc,0.4936270748745583
197,train,auroc,0.5031385504606762
197,valid,auroc,0.5079485271055216
198,train,auroc,0.5058080084930419
198,valid,auroc,0.46303445043591474
199,train,auroc,0.48834198265361006
199,valid,auroc,0.5105133437213132
0,train,auprc,0.009662513017848083
0,valid,auprc,0.007741241011779004
1,train,auprc,0.010169926007538549
1,valid,auprc,0.007814472854208044
2,train,auprc,0.010254385857943043
2,valid,auprc,0.00894162907963132
3,train,auprc,0.009482744219176973
3,valid,auprc,0.008070944969967388
4,train,auprc,0.010002018404028713
4,valid,auprc,0.00751957740235315
5,train,auprc,0.01025184638422186
5,valid,auprc,0.008148472119581507
6,train,auprc,0.009691706281368109
6,valid,auprc,0.008194528095423134
7,train,auprc,0.01045206521337911
7,valid,auprc,0.008248947645347556
8,train,auprc,0.009781259527045276
8,valid,auprc,0.008510013455187128
9,train,auprc,0.010220289909615002
9,valid,auprc,0.007742157220250789
10,train,auprc,0.010455715349745844
10,valid,auprc,0.007990853304763674
11,train,auprc,0.010258355373771979
11,valid,auprc,0.008318493633072521
12,train,auprc,0.010066456883006645
12,valid,auprc,0.007839803849016218
13,train,auprc,0.0098587536497456
13,valid,auprc,0.007948320759994576
14,train,auprc,0.009864584629964443
14,valid,auprc,0.007916780070431416
15,train,auprc,0.010876454941048955
15,valid,auprc,0.007803820150826447
16,train,auprc,0.009600522295030162
16,valid,auprc,0.008032283682887054
17,train,auprc,0.010919741217561597
17,valid,auprc,0.008028379532625677
18,train,auprc,0.010093552833992788
18,valid,auprc,0.008016138861639903
19,train,auprc,0.010761362208981938
19,valid,auprc,0.00809388629972596
20,train,auprc,0.011201135746824738
20,valid,auprc,0.008124972730820168
21,train,auprc,0.010921029410728197
21,valid,auprc,0.008034157335759611
22,train,auprc,0.009961773709796182
22,valid,auprc,0.00806857508677543
23,train,auprc,0.00990966262782168
23,valid,auprc,0.007934085885828494
24,train,auprc,0.011047558811781386
24,valid,auprc,0.007733895216655964
25,train,auprc,0.010683443472936635
25,valid,auprc,0.007674568104054962
26,train,auprc,0.011311923016579836
26,valid,auprc,0.00804723638252472
27,train,auprc,0.01114401927220717
27,valid,auprc,0.007936488111255536
28,train,auprc,0.011086597355090485
28,valid,auprc,0.009280142160456355
29,train,auprc,0.012350391381329491
29,valid,auprc,0.009532283259733232
30,train,auprc,0.012362018492731462
30,valid,auprc,0.008970877689976658
31,train,auprc,0.012711849937955166
31,valid,auprc,0.00946211214733211
32,train,auprc,0.013383065040875467
32,valid,auprc,0.009460547689800976
33,train,auprc,0.013104657840693916
33,valid,auprc,0.009586595921248353
34,train,auprc,0.013001584547582618
34,valid,auprc,0.010034411377870861
35,train,auprc,0.01253707906072239
35,valid,auprc,0.010808524124792945
36,train,auprc,0.00959313234012819
36,valid,auprc,0.01146154770955082
37,train,auprc,0.009901959587420281
37,valid,auprc,0.01146171016121085
38,train,auprc,0.01027911379265263
38,valid,auprc,0.010989502452667874
39,train,auprc,0.01060618073316284
39,valid,auprc,0.009526357403882479
40,train,auprc,0.010349239143125856
40,valid,auprc,0.008976431931696727
41,train,auprc,0.011115552531449285
41,valid,auprc,0.009478429903391459
42,train,auprc,0.010937916846387388
42,valid,auprc,0.010711754407181506
43,train,auprc,0.010876536927077239
43,valid,auprc,0.009503154913413097
44,train,auprc,0.009909364967120148
44,valid,auprc,0.008570050305588089
45,train,auprc,0.009949626527001008
45,valid,auprc,0.009124741134911149
46,train,auprc,0.010077495716224552
46,valid,auprc,0.008493793250191362
47,train,auprc,0.010360624910639772
47,valid,auprc,0.008459148445543175
48,train,auprc,0.009955683815425668
48,valid,auprc,0.008456668574404327
49,train,auprc,0.009997162256023612
49,valid,auprc,0.00845499073981444
50,train,auprc,0.01029918847672599
50,valid,auprc,0.008451279765780629
51,train,auprc,0.01035396561287008
51,valid,auprc,0.00844125663575146
52,train,auprc,0.009880018067539036
52,valid,auprc,0.008427103982356344
53,train,auprc,0.011123482803146744
53,valid,auprc,0.008410105821821693
54,train,auprc,0.010122782013772305
54,valid,auprc,0.008403110402331049
55,train,auprc,0.00971318438137538
55,valid,auprc,0.00841555580647561
56,train,auprc,0.010163388718938189
56,valid,auprc,0.008391166781721013
57,train,auprc,0.009577145561998861
57,valid,auprc,0.008385269206218002
58,train,auprc,0.009270626074580174
58,valid,auprc,0.008364489892668851
59,train,auprc,0.012113559522113682
59,valid,auprc,0.009674703494328186
60,train,auprc,0.01092097666918164
60,valid,auprc,0.009820245216115015
61,train,auprc,0.011429662569116707
61,valid,auprc,0.00874596756848229
62,train,auprc,0.013126339138965548
62,valid,auprc,0.008227674695871967
63,train,auprc,0.011028885380684252
63,valid,auprc,0.008652830110814861
64,train,auprc,0.010393340825928986
64,valid,auprc,0.008916139219795654
65,train,auprc,0.009839730033564337
65,valid,auprc,0.008884060981609598
66,train,auprc,0.010962831426507723
66,valid,auprc,0.008845537168697246
67,train,auprc,0.011702440062750601
67,valid,auprc,0.00905813280703007
68,train,auprc,0.010221210827773719
68,valid,auprc,0.008213684939106127
69,train,auprc,0.010351992277558624
69,valid,auprc,0.009168205433982135
70,train,auprc,0.011155334407235496
70,valid,auprc,0.007881214151203055
71,train,auprc,0.011539408746946573
71,valid,auprc,0.008755692235459392
72,train,auprc,0.01065761100943173
72,valid,auprc,0.007844405099119968
73,train,auprc,0.011030936539982437
73,valid,auprc,0.008979323651485795
74,train,auprc,0.01025279788771261
74,valid,auprc,0.008152514173203316
75,train,auprc,0.010061824340449301
75,valid,auprc,0.008110491972755736
76,train,auprc,0.010377626675385356
76,valid,auprc,0.00818064914550412
77,train,auprc,0.010132150104605381
77,valid,auprc,0.00854011174043104
78,train,auprc,0.011007309584020972
78,valid,auprc,0.008094967156999242
79,train,auprc,0.010426106333537782
79,valid,auprc,0.008167306729746504
80,train,auprc,0.009104760974447857
80,valid,auprc,0.00822539473568833
