epoch,subset,metric,score
0,train,auroc,0.5086596288229007
0,valid,auroc,0.45011652384988776
1,train,auroc,0.5058547666438764
1,valid,auroc,0.4493946645211253
2,train,auroc,0.5175806950206121
2,valid,auroc,0.4522422676897702
3,train,auroc,0.49801950539809914
3,valid,auroc,0.45112475839334176
4,train,auroc,0.4930989695011482
4,valid,auroc,0.4489222171901208
5,train,auroc,0.5218731704205848
5,valid,auroc,0.4458845943771411
6,train,auroc,0.5051900904481698
6,valid,auroc,0.44887520572003986
7,train,auroc,0.5243110397842586
7,valid,auroc,0.4516377576031184
8,train,auroc,0.517529966686465
8,valid,auroc,0.45798161456767034
9,train,auroc,0.5354999325551045
9,valid,auroc,0.4579651067232144
10,train,auroc,0.5115137405633403
10,valid,auroc,0.45785260217458557
11,train,auroc,0.5209893786827067
11,valid,auroc,0.464693309370642
12,train,auroc,0.5273729673143649
12,valid,auroc,0.4681337594749644
13,train,auroc,0.5513914994228286
13,valid,auroc,0.4732809771495546
14,train,auroc,0.5429972620844343
14,valid,auroc,0.46864765585020063
15,train,auroc,0.5447063858164349
15,valid,auroc,0.47290273219180395
16,train,auroc,0.5460265119518913
16,valid,auroc,0.4748070555962669
17,train,auroc,0.5498896449775285
17,valid,auroc,0.4756776649582244
18,train,auroc,0.5668006327604225
18,valid,auroc,0.47737922896882673
19,train,auroc,0.5564555887900797
19,valid,auroc,0.4798067792693054
20,train,auroc,0.5924045860471492
20,valid,auroc,0.47761464518541535
21,train,auroc,0.5816261652246918
21,valid,auroc,0.4803251614718394
22,train,auroc,0.5593753934017675
22,valid,auroc,0.4829680314826126
23,train,auroc,0.5848820530869123
23,valid,auroc,0.48203228790829106
24,train,auroc,0.5865091210059152
24,valid,auroc,0.4828792121021161
25,train,auroc,0.5976145756327316
25,valid,auroc,0.4789358110411641
26,train,auroc,0.6116333893509589
26,valid,auroc,0.4757370573116473
27,train,auroc,0.5998407233178928
27,valid,auroc,0.4767122761661895
28,train,auroc,0.6193386311116552
28,valid,auroc,0.4797981664808936
29,train,auroc,0.6232779691538296
29,valid,auroc,0.47584525546607026
30,train,auroc,0.6226786322098047
30,valid,auroc,0.4685631428639101
31,train,auroc,0.6264191878348697
31,valid,auroc,0.46779552809671016
32,train,auroc,0.6171999399746859
32,valid,auroc,0.46232174219484
33,train,auroc,0.632265692639788
33,valid,auroc,0.4621049870198102
34,train,auroc,0.6302799580388593
34,valid,auroc,0.462715597831587
35,train,auroc,0.6285028107611963
35,valid,auroc,0.4621022955234314
36,train,auroc,0.6204246450206058
36,valid,auroc,0.4610701963787531
37,train,auroc,0.6461649186501401
37,valid,auroc,0.4580314969672219
38,train,auroc,0.6285302484248178
38,valid,auroc,0.4594183353346104
39,train,auroc,0.6425039917219588
39,valid,auroc,0.4625289874159984
40,train,auroc,0.6461080180471996
40,valid,auroc,0.45963204014707776
41,train,auroc,0.6477079215540641
41,valid,auroc,0.45989598622528044
42,train,auroc,0.6437572516121516
42,valid,auroc,0.455888168684332
43,train,auroc,0.6486737369577067
43,valid,auroc,0.4590831543189186
44,train,auroc,0.6551018816547183
44,valid,auroc,0.4579643889908468
45,train,auroc,0.6560309527706993
45,valid,auroc,0.46130363883133074
46,train,auroc,0.659292852165547
46,valid,auroc,0.4596813842473535
47,train,auroc,0.6605260200349273
47,valid,auroc,0.45790948246472163
48,train,auroc,0.6448864553290404
48,valid,auroc,0.4560209491723469
49,train,auroc,0.6497780587160216
49,valid,auroc,0.4548209006536389
50,train,auroc,0.6559092272718097
50,valid,auroc,0.45389538476555635
51,train,auroc,0.6640485691973697
51,valid,auroc,0.44985275720477697
52,train,auroc,0.6597624910968238
52,valid,auroc,0.447454275065188
53,train,auroc,0.6740767700363097
53,valid,auroc,0.4329853288326728
54,train,auroc,0.6568396807188225
54,valid,auroc,0.44618837460174826
55,train,auroc,0.6675141856096382
55,valid,auroc,0.4316126656795454
56,train,auroc,0.6653328350940801
56,valid,auroc,0.4347410816370327
57,train,auroc,0.6504877249647313
57,valid,auroc,0.42783039553513047
58,train,auroc,0.6625316376996521
58,valid,auroc,0.42006542848263484
59,train,auroc,0.6834474152917187
59,valid,auroc,0.4097889364426457
60,train,auroc,0.6820596513773998
60,valid,auroc,0.410821035587324
61,train,auroc,0.6721668386115018
61,valid,auroc,0.4173541944638431
62,train,auroc,0.6855211690174224
62,valid,auroc,0.4099820064495431
63,train,auroc,0.6921174919654419
63,valid,auroc,0.40301677268769964
64,train,auroc,0.6920733859613546
64,valid,auroc,0.40654406840850743
65,train,auroc,0.6952432639008816
65,valid,auroc,0.4044938659003199
66,train,auroc,0.689092099765981
66,valid,auroc,0.40560204467596894
67,train,auroc,0.6861825179744825
67,valid,auroc,0.3999698193539404
68,train,auroc,0.7030832829371871
68,valid,auroc,0.40065973959234236
69,train,auroc,0.7058853322332979
69,valid,auroc,0.39620728684963574
70,train,auroc,0.7029581016107179
70,valid,auroc,0.396274215392919
71,train,auroc,0.7109375914186946
71,valid,auroc,0.4016782018220354
72,train,auroc,0.7064120003564486
72,valid,auroc,0.38661945901640515
73,train,auroc,0.7016698333834616
73,valid,auroc,0.38741973060633306
74,train,auroc,0.7169827982726391
74,valid,auroc,0.38517538149269664
75,train,auroc,0.7191085340745885
75,valid,auroc,0.39197912547181923
76,train,auroc,0.7201197735188836
76,valid,auroc,0.38670271597105244
77,train,auroc,0.7135304104468735
77,valid,auroc,0.3878611360124369
78,train,auroc,0.7190482580121514
78,valid,auroc,0.385580900280418
79,train,auroc,0.7311503411657282
79,valid,auroc,0.39193193456864645
80,train,auroc,0.7256257909023073
80,valid,auroc,0.38530116409012705
81,train,auroc,0.7270381956709506
81,valid,auroc,0.383121410889579
