epoch,subset,metric,score
0,train,auroc,0.5035602417934865
0,valid,auroc,0.49656977758191656
1,train,auroc,0.5014386529846327
1,valid,auroc,0.489988351203673
2,train,auroc,0.5204715349750968
2,valid,auroc,0.48648761158046816
3,train,auroc,0.5574162124155444
3,valid,auroc,0.4946825003211852
4,train,auroc,0.556733115855157
4,valid,auroc,0.4892350910838262
5,train,auroc,0.5772716295908339
5,valid,auroc,0.48090078283069343
6,train,auroc,0.5851104109586575
6,valid,auroc,0.47721361222499187
7,train,auroc,0.6032076959447809
7,valid,auroc,0.4693542633661505
8,train,auroc,0.6301121334074177
8,valid,auroc,0.4706565887472484
9,train,auroc,0.6425792805423469
9,valid,auroc,0.4694577962601837
10,train,auroc,0.655845350719243
10,valid,auroc,0.47122090582131193
11,train,auroc,0.6686142960803907
11,valid,auroc,0.46080104674088496
12,train,auroc,0.68567044469525
12,valid,auroc,0.45271668878478577
13,train,auroc,0.6887694058381174
13,valid,auroc,0.43796280280231425
14,train,auroc,0.6955959994182637
14,valid,auroc,0.45793496196377326
15,train,auroc,0.7244391079322783
15,valid,auroc,0.44339101269883874
16,train,auroc,0.7254412175623165
16,valid,auroc,0.47253632981811944
17,train,auroc,0.7421227383939164
17,valid,auroc,0.4618354785157582
18,train,auroc,0.7484016395603339
18,valid,auroc,0.46127008484314314
19,train,auroc,0.7701743980977067
19,valid,auroc,0.46280639097609444
20,train,auroc,0.7903767642883843
20,valid,auroc,0.45910486572304
21,train,auroc,0.8032819978451066
21,valid,auroc,0.4699514166960339
22,train,auroc,0.8079197345307192
22,valid,auroc,0.4706721994262447
23,train,auroc,0.8200770305574884
23,valid,auroc,0.4535831711856293
24,train,auroc,0.845542927550809
24,valid,auroc,0.44855097012295475
25,train,auroc,0.8609050777069353
25,valid,auroc,0.45477173598645493
26,train,auroc,0.8661330536695488
26,valid,auroc,0.45608877488108973
27,train,auroc,0.8678043240343389
27,valid,auroc,0.47161458202496703
28,train,auroc,0.8753194470573002
28,valid,auroc,0.4550448331523451
29,train,auroc,0.8881499382966003
29,valid,auroc,0.4535874775798352
30,train,auroc,0.9010540467001572
30,valid,auroc,0.4368801035257167
31,train,auroc,0.9070390257125146
31,valid,auroc,0.45809017158827714
32,train,auroc,0.9076088354227535
32,valid,auroc,0.4679981080574789
