epoch,subset,metric,score
0,train,auroc,0.503292551781799
0,valid,auroc,0.5292727146145383
1,train,auroc,0.5198842371699428
1,valid,auroc,0.515628442872451
2,train,auroc,0.4881505458793098
2,valid,auroc,0.5169357923801225
3,train,auroc,0.4990379779698868
3,valid,auroc,0.5153092314019394
4,train,auroc,0.4921263067368127
4,valid,auroc,0.5137966104371205
5,train,auroc,0.5174738536907403
5,valid,auroc,0.5104989890739602
6,train,auroc,0.5067023605970591
6,valid,auroc,0.49957079604414634
7,train,auroc,0.5339612695276761
7,valid,auroc,0.49644471271685386
8,train,auroc,0.5295622903437813
8,valid,auroc,0.5084857497827066
9,train,auroc,0.5511051640158272
9,valid,auroc,0.4966691835148359
10,train,auroc,0.5466500718362075
10,valid,auroc,0.4761068689140781
11,train,auroc,0.5892300306851771
11,valid,auroc,0.4774190631152312
12,train,auroc,0.5782830940657622
12,valid,auroc,0.4859241916718643
13,train,auroc,0.5970867180619488
13,valid,auroc,0.46447224780140633
14,train,auroc,0.5985489188949736
14,valid,auroc,0.4571492244542902
15,train,auroc,0.6091304539870863
15,valid,auroc,0.4650040874858338
16,train,auroc,0.603516759445725
16,valid,auroc,0.4477336523892951
17,train,auroc,0.6267243293733514
17,valid,auroc,0.45967976934952637
18,train,auroc,0.6316208030661774
18,valid,auroc,0.45655081509276335
19,train,auroc,0.6413931762225175
19,valid,auroc,0.45745246637962156
20,train,auroc,0.6427393094697134
20,valid,auroc,0.46182237990004854
21,train,auroc,0.6419273507246437
21,valid,auroc,0.4611505824039297
22,train,auroc,0.6450780689131239
22,valid,auroc,0.4563012236619136
23,train,auroc,0.6659815501884536
23,valid,auroc,0.45623375681935474
24,train,auroc,0.6638317682559959
24,valid,auroc,0.4575432595241291
25,train,auroc,0.6636582696378768
25,valid,auroc,0.4626057847793367
26,train,auroc,0.6778044346208214
26,valid,auroc,0.46113156249618703
27,train,auroc,0.6823468869069333
27,valid,auroc,0.4603415185924981
28,train,auroc,0.6791822489664343
28,valid,auroc,0.45892489433185213
29,train,auroc,0.6803552693623107
29,valid,auroc,0.4503740103367816
30,train,auroc,0.6847336743168938
30,valid,auroc,0.4540193730320676
31,train,auroc,0.6922371278941672
31,valid,auroc,0.4587565860916386
32,train,auroc,0.6754971794660447
32,valid,auroc,0.429068304436232
33,train,auroc,0.6869444234773046
33,valid,auroc,0.44920984843645595
34,train,auroc,0.6892334672244169
34,valid,auroc,0.44570031659174736
35,train,auroc,0.7044500386345449
35,valid,auroc,0.4262268019927122
36,train,auroc,0.7026786939324927
36,valid,auroc,0.43823643826748016
37,train,auroc,0.705832755433236
37,valid,auroc,0.44627378475349844
