epoch,subset,metric,score
0,train,auroc,0.5151946952178675
0,valid,auroc,0.5172966323279578
1,train,auroc,0.5048645836373925
1,valid,auroc,0.5095128248008114
2,train,auroc,0.5056682644698876
2,valid,auroc,0.49967648213528254
3,train,auroc,0.4965316028520511
3,valid,auroc,0.5035495454242049
4,train,auroc,0.4946708406205753
4,valid,auroc,0.5201560780806688
5,train,auroc,0.4929945874346238
5,valid,auroc,0.507162071863671
6,train,auroc,0.5140164830438132
6,valid,auroc,0.5063022284872283
7,train,auroc,0.5022291534514748
7,valid,auroc,0.5031122669792153
8,train,auroc,0.501568383144614
8,valid,auroc,0.4999547828608381
9,train,auroc,0.5231014358368871
9,valid,auroc,0.4942445041438278
10,train,auroc,0.5199087655089505
10,valid,auroc,0.4929558156777152
11,train,auroc,0.5412814999487573
11,valid,auroc,0.48386501750908106
12,train,auroc,0.5655778645210146
12,valid,auroc,0.4750525200660027
13,train,auroc,0.5739925635734042
13,valid,auroc,0.4691870317244884
14,train,auroc,0.5955312741787379
14,valid,auroc,0.4784355515809132
15,train,auroc,0.5934349370216412
15,valid,auroc,0.47541605151021654
16,train,auroc,0.5960285597306525
16,valid,auroc,0.46668986138434776
17,train,auroc,0.6016642590532074
17,valid,auroc,0.4860300571960924
18,train,auroc,0.6098228732451307
18,valid,auroc,0.48003770965859627
19,train,auroc,0.5982042362595331
19,valid,auroc,0.4657704462213903
20,train,auroc,0.6324525645069599
20,valid,auroc,0.45375470922149724
21,train,auroc,0.6498601306026359
21,valid,auroc,0.4553999312412392
22,train,auroc,0.6283028549700715
22,valid,auroc,0.45932251806352936
23,train,auroc,0.6219118564011379
23,valid,auroc,0.450217903546818
24,train,auroc,0.6323141385203708
24,valid,auroc,0.4486085681454585
25,train,auroc,0.6344220165342223
25,valid,auroc,0.4567481914938666
26,train,auroc,0.6428195168167964
26,valid,auroc,0.45796420955775485
27,train,auroc,0.6194251071692316
27,valid,auroc,0.46439114404386206
28,train,auroc,0.6417614549272002
28,valid,auroc,0.4447681616792641
29,train,auroc,0.6401801485947995
29,valid,auroc,0.4498378642581482
30,train,auroc,0.6544836421375133
30,valid,auroc,0.45317496090152926
31,train,auroc,0.6548647315146657
31,valid,auroc,0.45932503012681614
32,train,auroc,0.6210515482171852
32,valid,auroc,0.4283588259908116
33,train,auroc,0.49085023838459385
33,valid,auroc,0.5223485710307427
34,train,auroc,0.5328794829799045
34,valid,auroc,0.5450531373158388
35,train,auroc,0.5489579699356502
35,valid,auroc,0.5341902579314809
36,train,auroc,0.5358470262330425
36,valid,auroc,0.5581336302831383
37,train,auroc,0.5408181779488239
37,valid,auroc,0.5650285262729522
38,train,auroc,0.585222508361174
38,valid,auroc,0.49829233526427263
39,train,auroc,0.5269723645665993
39,valid,auroc,0.4807821775569395
40,train,auroc,0.5741517405990881
40,valid,auroc,0.47710110767636305
41,train,auroc,0.550920928221786
41,valid,auroc,0.48551508422230466
42,train,auroc,0.5839942590184883
42,valid,auroc,0.4899775852181583
43,train,auroc,0.5889499800622859
43,valid,auroc,0.5002002473305739
44,train,auroc,0.5889673717155011
44,valid,auroc,0.5051746709376528
45,train,auroc,0.5960853638918933
45,valid,auroc,0.512821929881854
46,train,auroc,0.5695204172865189
46,valid,auroc,0.5090518611876892
47,train,auroc,0.5819540509307332
47,valid,auroc,0.4701938308032071
48,train,auroc,0.552257738771325
48,valid,auroc,0.526719920015905
49,train,auroc,0.585844380515742
49,valid,auroc,0.5212240638437295
50,train,auroc,0.5260954362630307
50,valid,auroc,0.4993976431104511
51,train,auroc,0.5023602337952549
51,valid,auroc,0.5001833806199342
52,train,auroc,0.48852473967491944
52,valid,auroc,0.4939559757320332
53,train,auroc,0.48672177816891676
53,valid,auroc,0.5027979002021852
54,train,auroc,0.4977790601666333
54,valid,auroc,0.49851608832988703
55,train,auroc,0.51324287594807
55,valid,auroc,0.49353215476893686
56,train,auroc,0.5253712716121027
56,valid,auroc,0.4974882955794146
57,train,auroc,0.5029344958973058
57,valid,auroc,0.5053173202457228
58,train,auroc,0.4980642543468525
58,valid,auroc,0.5075828424642049
59,train,auroc,0.48623760868818844
59,valid,auroc,0.5028253534652478
60,train,auroc,0.49492236057391303
60,valid,auroc,0.49769374646965386
61,train,auroc,0.5234474365088928
61,valid,auroc,0.49251620460253065
62,train,auroc,0.48748559643212
62,valid,auroc,0.4897017965558894
63,train,auroc,0.5141817037493575
63,valid,auroc,0.4937799518688675
64,train,auroc,0.5069381766269297
64,valid,auroc,0.49192963782507
65,train,auroc,0.5087194548240718
65,valid,auroc,0.5061644238726398
66,train,auroc,0.5017568623734507
66,valid,auroc,0.5010003394874099
67,train,auroc,0.5266459576332898
67,valid,auroc,0.4900839890416622
68,train,auroc,0.5130655678828051
68,valid,auroc,0.5012912005293995
69,train,auroc,0.4967519721363212
69,valid,auroc,0.4910758951737523
70,train,auroc,0.5050363623785301
70,valid,auroc,0.493709255230654
71,train,auroc,0.4818166407967165
71,valid,auroc,0.5020356684277426
72,train,auroc,0.5000189025731803
72,valid,auroc,0.5026669140450893
73,train,auroc,0.49533534000649887
73,valid,auroc,0.49552314435679334
74,train,auroc,0.4795114752121042
74,valid,auroc,0.4929588660402777
75,train,auroc,0.5000340921409144
75,valid,auroc,0.4926776943852515
76,train,auroc,0.49363073296077686
76,valid,auroc,0.49998546591955506
77,train,auroc,0.5011246388097603
77,valid,auroc,0.5029376785807848
78,train,auroc,0.4933302045502737
78,valid,auroc,0.5004519919585265
79,train,auroc,0.48369127455936106
79,valid,auroc,0.4818937655613349
80,train,auroc,0.4889834485468743
80,valid,auroc,0.49060003861400137
81,train,auroc,0.4882374077036858
81,valid,auroc,0.4889438711756528
82,train,auroc,0.4983687368670515
82,valid,auroc,0.4932045099431054
83,train,auroc,0.5021380803395366
83,valid,auroc,0.4974132925469953
84,train,auroc,0.48628750119426967
84,valid,auroc,0.4964497368434274
85,train,auroc,0.4749971035342797
85,valid,auroc,0.4979065541166616
86,train,auroc,0.48752264611849805
86,valid,auroc,0.5108359644205711
87,train,auroc,0.50770488814113
87,valid,auroc,0.5088980870279205
88,train,auroc,0.5110344574620737
88,valid,auroc,0.5065945249939531
89,train,auroc,0.493479817774051
89,valid,auroc,0.5124094132035482
90,train,auroc,0.5098771088424308
90,valid,auroc,0.4977421934044702
91,train,auroc,0.50395624748689
91,valid,auroc,0.4949450109346526
92,train,auroc,0.49087624549633335
92,valid,auroc,0.4956325985428598
93,train,auroc,0.4948869343228166
93,valid,auroc,0.4958714239881947
94,train,auroc,0.48022282919056225
94,valid,auroc,0.5077796805660325
95,train,auroc,0.49529428798957503
95,valid,auroc,0.4913238717067748
96,train,auroc,0.49677388047581506
96,valid,auroc,0.49545567751423447
97,train,auroc,0.48292112329119774
97,valid,auroc,0.5000154312459045
98,train,auroc,0.5027014927503488
98,valid,auroc,0.5048324920313764
99,train,auroc,0.48113388178227856
99,valid,auroc,0.49487431429643924
100,train,auroc,0.5100099412104255
100,valid,auroc,0.48565593919945566
101,train,auroc,0.4950395211656741
101,valid,auroc,0.49592991917615814
102,train,auroc,0.49459437842617177
102,valid,auroc,0.5020579181311399
103,train,auroc,0.4916174642545269
103,valid,auroc,0.49532576795569006
104,train,auroc,0.48289476255989194
104,valid,auroc,0.502561586820137
105,train,auroc,0.4994227482052521
105,valid,auroc,0.5036834025107714
106,train,auroc,0.5194223617955078
106,valid,auroc,0.5002499502970336
107,train,auroc,0.5169687242139005
107,valid,auroc,0.48908382898734426
108,train,auroc,0.5014590825513947
108,valid,auroc,0.47943248183957676
109,train,auroc,0.502198983273023
109,valid,auroc,0.5042322883389304
110,train,auroc,0.49686728426216764
110,valid,auroc,0.496336335129339
111,train,auroc,0.4836279445097605
111,valid,auroc,0.4957878081673637
112,train,auroc,0.4946245646782403
112,valid,auroc,0.49221744850449695
113,train,auroc,0.5035867311137254
113,valid,auroc,0.49948574475857993
114,train,auroc,0.4786305285043731
114,valid,auroc,0.4945570765899387
115,train,auroc,0.5060849729815363
115,valid,auroc,0.4926373219395712
116,train,auroc,0.49324343916759755
116,valid,auroc,0.49504495516684766
