epoch,subset,metric,score
0,train,auroc,0.46713814977756046
0,valid,auroc,0.5357543761936787
1,train,auroc,0.5024519016310092
1,valid,auroc,0.5293209821162626
2,train,auroc,0.5079096338700164
2,valid,auroc,0.5333517670929757
3,train,auroc,0.4882017403483397
3,valid,auroc,0.5270285449339938
4,train,auroc,0.48685218342079734
4,valid,auroc,0.5168656340411849
5,train,auroc,0.4883288344351905
5,valid,auroc,0.5161220633083012
6,train,auroc,0.4809757173944436
6,valid,auroc,0.5130033367377772
7,train,auroc,0.5053469046522061
7,valid,auroc,0.5126042775413647
8,train,auroc,0.5020241826919554
8,valid,auroc,0.5153609081324101
9,train,auroc,0.5021557773914681
9,valid,auroc,0.510125768242783
10,train,auroc,0.5054552569020432
10,valid,auroc,0.49670776162959707
11,train,auroc,0.4730506849996766
11,valid,auroc,0.4974086272866056
12,train,auroc,0.49846074224875553
12,valid,auroc,0.49941935451457253
13,train,auroc,0.5026332923949033
13,valid,auroc,0.5050756238709173
14,train,auroc,0.500814241198634
14,valid,auroc,0.5135613736536239
15,train,auroc,0.4919990036929456
15,valid,auroc,0.5059989865618969
16,train,auroc,0.5033609771678776
16,valid,auroc,0.5100322836018968
17,train,auroc,0.5017836088715563
17,valid,auroc,0.5041815087739193
18,train,auroc,0.5017895882569501
18,valid,auroc,0.5043397687609859
19,train,auroc,0.4946863677342591
19,valid,auroc,0.5012287578134139
20,train,auroc,0.4826159496054827
20,valid,auroc,0.5019631774586102
21,train,auroc,0.49761268216069016
21,valid,auroc,0.5009831139105864
22,train,auroc,0.5014568483186804
22,valid,auroc,0.5009533280173288
23,train,auroc,0.49155119273307935
23,valid,auroc,0.5022039766679561
24,train,auroc,0.48146406601550085
24,valid,auroc,0.5073459907828809
25,train,auroc,0.4944484782078406
25,valid,auroc,0.5060447420003344
26,train,auroc,0.49843619783613113
26,valid,auroc,0.5041788172775407
27,train,auroc,0.49391030137516867
27,valid,auroc,0.4992898038222119
28,train,auroc,0.4928670593601235
28,valid,auroc,0.4995481874745653
29,train,auroc,0.493214538804861
29,valid,auroc,0.49748327145284105
30,train,auroc,0.5194362333266767
30,valid,auroc,0.49536667870064605
31,train,auroc,0.4989355086637437
31,valid,auroc,0.49366672958787094
32,train,auroc,0.4840920058960598
32,valid,auroc,0.49346702055657277
33,train,auroc,0.47988378839456586
33,valid,auroc,0.49381960658218005
34,train,auroc,0.46223865424480426
34,valid,auroc,0.4925183577996335
35,train,auroc,0.5050448492481212
35,valid,auroc,0.49113654355881853
36,train,auroc,0.5016191596996111
36,valid,auroc,0.4890274869964838
37,train,auroc,0.491414759874955
37,valid,auroc,0.48605248633258136
38,train,auroc,0.5164375554780879
38,valid,auroc,0.5094094713398699
39,train,auroc,0.49150645985794267
39,valid,auroc,0.49451060341913344
40,train,auroc,0.5051787103275815
40,valid,auroc,0.49522510599112746
41,train,auroc,0.4977758293696866
41,valid,auroc,0.49409952220556286
42,train,auroc,0.4806492943875174
42,valid,auroc,0.49401411205381274
43,train,auroc,0.5035258924747056
43,valid,auroc,0.4916147327487642
44,train,auroc,0.47736113070306385
44,valid,auroc,0.48926667130800255
45,train,auroc,0.49735032858973044
45,valid,auroc,0.4885455297116079
46,train,auroc,0.4993316911669303
46,valid,auroc,0.48460284638302364
47,train,auroc,0.49063708615419943
47,valid,auroc,0.4755789767576727
48,train,auroc,0.49962818509965445
48,valid,auroc,0.4807676434764946
49,train,auroc,0.5118377686013857
49,valid,auroc,0.48293609239225227
50,train,auroc,0.4913497903164561
50,valid,auroc,0.48835568950036495
51,train,auroc,0.4998821643163396
51,valid,auroc,0.4854630486256502
52,train,auroc,0.5136514833569272
52,valid,auroc,0.4855656843542239
53,train,auroc,0.48668275142769074
53,valid,auroc,0.4828165899530387
54,train,auroc,0.4947253623282518
54,valid,auroc,0.49064112879204924
