epoch,subset,metric,score
0,train,auroc,0.49607152772268104
0,valid,auroc,0.5140691693037349
1,train,auroc,0.4920643590182441
1,valid,auroc,0.49811182557380906
2,train,auroc,0.48712374717409745
2,valid,auroc,0.5034607260437085
3,train,auroc,0.51361375857865
3,valid,auroc,0.49629650098293443
4,train,auroc,0.488784714350615
4,valid,auroc,0.49812941001681643
5,train,auroc,0.521281275561069
5,valid,auroc,0.4930710117227227
6,train,auroc,0.5224013173164672
6,valid,auroc,0.4967111708583433
7,train,auroc,0.5555269034408984
7,valid,auroc,0.4900123952379893
8,train,auroc,0.5998459793905373
8,valid,auroc,0.483036574923723
9,train,auroc,0.6022006677880479
9,valid,auroc,0.471483954734055
10,train,auroc,0.613506303236622
10,valid,auroc,0.4831811979958041
11,train,auroc,0.6089497061678582
11,valid,auroc,0.4827546855363291
12,train,auroc,0.6226097889096931
12,valid,auroc,0.47837920959005276
13,train,auroc,0.6365785815329061
13,valid,auroc,0.480413801419244
14,train,auroc,0.6387894432086334
14,valid,auroc,0.470141077474185
15,train,auroc,0.636434561927723
15,valid,auroc,0.4836575928548307
16,train,auroc,0.6494236354688911
16,valid,auroc,0.48357953945984894
17,train,auroc,0.6395692707940199
17,valid,auroc,0.48609931836957043
18,train,auroc,0.6532575788066921
18,valid,auroc,0.4810811130880651
19,train,auroc,0.6529354474554114
19,valid,auroc,0.4661634046926777
20,train,auroc,0.6749771015257204
20,valid,auroc,0.4750205809756423
21,train,auroc,0.6795351934408328
21,valid,auroc,0.4698182773418351
22,train,auroc,0.6591979696064626
22,valid,auroc,0.46816228933657844
23,train,auroc,0.6827334734609801
23,valid,auroc,0.4484318265499251
24,train,auroc,0.6727508413252427
24,valid,auroc,0.4605428425216235
25,train,auroc,0.6903599384264751
25,valid,auroc,0.4775906011510992
26,train,auroc,0.7002612862828141
26,valid,auroc,0.4668256922349252
27,train,auroc,0.7059496749207474
27,valid,auroc,0.4761619548732951
28,train,auroc,0.6951449898086841
28,valid,auroc,0.4723285462976852
29,train,auroc,0.6898247512865001
29,valid,auroc,0.4467325951695176
30,train,auroc,0.6904767614722866
30,valid,auroc,0.4578438099530819
31,train,auroc,0.6811454965776698
31,valid,auroc,0.4647751308605539
32,train,auroc,0.6926321209497218
32,valid,auroc,0.45489070012639266
33,train,auroc,0.6994017014116107
33,valid,auroc,0.4426795604894073
34,train,auroc,0.671137034139976
34,valid,auroc,0.45652892425555003
35,train,auroc,0.7065066257376664
35,valid,auroc,0.4874762879169038
36,train,auroc,0.7131502211922534
36,valid,auroc,0.46127259690642997
37,train,auroc,0.7143859929875311
37,valid,auroc,0.4232370878152729
38,train,auroc,0.7195005695846797
38,valid,auroc,0.44082494005140394
39,train,auroc,0.7193445429878589
39,valid,auroc,0.4402756953570611
40,train,auroc,0.7118768371340151
40,valid,auroc,0.4636059448336548
41,train,auroc,0.7275031411061659
41,valid,auroc,0.4793465333885509
42,train,auroc,0.7275141033127209
42,valid,auroc,0.48373223702106616
43,train,auroc,0.7264108906339551
43,valid,auroc,0.43441289851192544
44,train,auroc,0.7416115009427497
44,valid,auroc,0.4916631796835805
45,train,auroc,0.7239092250857978
45,valid,auroc,0.47121319019835967
46,train,auroc,0.7446694582895435
46,valid,auroc,0.5065848356069899
47,train,auroc,0.744364348898295
47,valid,auroc,0.5022484760747503
48,train,auroc,0.740789721217907
48,valid,auroc,0.5167149102439788
49,train,auroc,0.7378719579555337
49,valid,auroc,0.5009603259079135
50,train,auroc,0.735801193922527
50,valid,auroc,0.4980072160812243
51,train,auroc,0.748244937871614
51,valid,auroc,0.5001105307846179
52,train,auroc,0.730915409184773
52,valid,auroc,0.45501127916415757
53,train,auroc,0.7295900109030556
53,valid,auroc,0.47120816607178617
54,train,auroc,0.7435430674555683
54,valid,auroc,0.467497848597228
55,train,auroc,0.7307446430814846
55,valid,auroc,0.5187683425478207
56,train,auroc,0.7595616641156764
56,valid,auroc,0.5117128539407454
57,train,auroc,0.746172309299076
57,valid,auroc,0.5074003590097304
58,train,auroc,0.7445706055471466
58,valid,auroc,0.4971407336803809
59,train,auroc,0.7506376082252684
59,valid,auroc,0.5267836187635337
60,train,auroc,0.7579338407366911
60,valid,auroc,0.5019299823366065
61,train,auroc,0.7542066744342956
61,valid,auroc,0.4811528863248299
62,train,auroc,0.7640326048813131
62,valid,auroc,0.48583519285827587
63,train,auroc,0.7338743209057702
63,valid,auroc,0.49390447843465446
64,train,auroc,0.7672637875947427
