epoch,subset,metric,score
0,train,auroc,0.494959410260291
0,valid,auroc,0.5367344397417024
1,train,auroc,0.49878271286386966
1,valid,auroc,0.5366590778430995
2,train,auroc,0.5223011304638885
2,valid,auroc,0.5251102257483616
3,train,auroc,0.5184268744955296
3,valid,auroc,0.5128838342985638
4,train,auroc,0.5504476245059131
4,valid,auroc,0.5075266799064364
5,train,auroc,0.5554040527888432
5,valid,auroc,0.5035920710669881
6,train,auroc,0.5739737252946905
6,valid,auroc,0.50124526565787
7,train,auroc,0.5952730836744904
7,valid,auroc,0.5015250018481608
8,train,auroc,0.6050270043189165
8,valid,auroc,0.5026030358643687
9,train,auroc,0.6152890762801124
9,valid,auroc,0.5005183822025341
10,train,auroc,0.6277027464924475
10,valid,auroc,0.4963519458083353
11,train,auroc,0.6410955571366279
11,valid,auroc,0.491758279222294
12,train,auroc,0.6480181102081739
12,valid,auroc,0.49743303018710566
13,train,auroc,0.66910397881163
13,valid,auroc,0.4920410657751474
14,train,auroc,0.6608417380131646
14,valid,auroc,0.4873083385428741
15,train,auroc,0.6742021281725622
15,valid,auroc,0.4900303385471805
16,train,auroc,0.6805484742344425
16,valid,auroc,0.48343043056046997
17,train,auroc,0.7080243287689834
17,valid,auroc,0.4769930889550319
18,train,auroc,0.7106056712348743
18,valid,auroc,0.4805035179652
19,train,auroc,0.7224462366455571
19,valid,auroc,0.4727538027255169
20,train,auroc,0.7192786411595945
20,valid,auroc,0.4700418509743576
21,train,auroc,0.7305178443505544
21,valid,auroc,0.4844015224538982
22,train,auroc,0.7478877660360366
22,valid,auroc,0.4786406436049687
23,train,auroc,0.7517240079010183
23,valid,auroc,0.473198437927275
24,train,auroc,0.7657583648065464
24,valid,auroc,0.4785532596892076
25,train,auroc,0.7710890672531693
25,valid,auroc,0.47526981354030823
26,train,auroc,0.7888305305875138
26,valid,auroc,0.4833111075543485
27,train,auroc,0.7913580746584774
27,valid,auroc,0.4850435340567597
28,train,auroc,0.8030978102719155
28,valid,auroc,0.4724098294883214
29,train,auroc,0.811741236889233
29,valid,auroc,0.469708284856493
30,train,auroc,0.8154057803811607
30,valid,auroc,0.4762114784066629
31,train,auroc,0.8308297175196893
31,valid,auroc,0.4830468026099619
32,train,auroc,0.8282475713729658
32,valid,auroc,0.4816091846775623
33,train,auroc,0.8510919257851544
33,valid,auroc,0.4789864111730833
34,train,auroc,0.8471353086050813
34,valid,auroc,0.46983029935899323
35,train,auroc,0.8507773329600824
35,valid,auroc,0.48169997782206975
36,train,auroc,0.8549809855544478
36,valid,auroc,0.4688780479402158
37,train,auroc,0.8649110087428902
37,valid,auroc,0.5010324580108623
38,train,auroc,0.8851137285531341
38,valid,auroc,0.48047552640286173
39,train,auroc,0.8831759415506719
39,valid,auroc,0.4842043254858869
40,train,auroc,0.8917922680503179
40,valid,auroc,0.5030360079151526
41,train,auroc,0.8986133323063363
41,valid,auroc,0.4919956692028936
42,train,auroc,0.9114583219478549
42,valid,auroc,0.5256887180366863
43,train,auroc,0.9102632003290848
43,valid,auroc,0.5012947891912376
44,train,auroc,0.9113785164411881
44,valid,auroc,0.48564319944992995
45,train,auroc,0.9174676042685868
45,valid,auroc,0.4826134716929943
46,train,auroc,0.9175491939467016
46,valid,auroc,0.5011666739636124
47,train,auroc,0.9199077400122082
47,valid,auroc,0.4989643121934834
48,train,auroc,0.9319574392491229
48,valid,auroc,0.5114489078625428
49,train,auroc,0.9355815254479428
49,valid,auroc,0.497014053917491
50,train,auroc,0.9433377205734192
50,valid,auroc,0.5208957012855304
51,train,auroc,0.9410597515481786
51,valid,auroc,0.5092939164286785
52,train,auroc,0.9432912517476844
52,valid,auroc,0.49829646222538665
53,train,auroc,0.9507347828820868
53,valid,auroc,0.49570455121271656
54,train,auroc,0.9506956918463944
54,valid,auroc,0.5274450091403218
55,train,auroc,0.9555610148701529
55,valid,auroc,0.531928683241021
56,train,auroc,0.959250552835971
56,valid,auroc,0.5233510637152554
57,train,auroc,0.9633520897437595
57,valid,auroc,0.522223326732588
58,train,auroc,0.9680486719399274
58,valid,auroc,0.523160146905461
59,train,auroc,0.9681572974412473
59,valid,auroc,0.5292300095386632
60,train,auroc,0.96951923105361
60,valid,auroc,0.5379138534548407
61,train,auroc,0.9741398011166406
61,valid,auroc,0.5141140275767131
62,train,auroc,0.9713068261820956
62,valid,auroc,0.5180832670029003
63,train,auroc,0.9780926570704175
63,valid,auroc,0.5258101942399107
64,train,auroc,0.9801930769261433
64,valid,auroc,0.5377871736919506
65,train,auroc,0.9731173422879237
65,valid,auroc,0.5327047313635408
66,train,auroc,0.9813470983071396
66,valid,auroc,0.5126647464933392
67,train,auroc,0.9810607468265216
67,valid,auroc,0.5348740774447579
68,train,auroc,0.9837637826440689
68,valid,auroc,0.5383904277469591
69,train,auroc,0.985404288106591
69,valid,auroc,0.5422202476607307
70,train,auroc,0.9851001109851082
70,valid,auroc,0.5397254099507851
71,train,auroc,0.9880625749753849
71,valid,auroc,0.5349754571416883
72,train,auroc,0.9880255735098568
72,valid,auroc,0.5371516216803981
73,train,auroc,0.9895261742130583
73,valid,auroc,0.527897539398124
74,train,auroc,0.9897463184666953
74,valid,auroc,0.5322805515342606
75,train,auroc,0.9901080391357846
75,valid,auroc,0.5347088195671069
76,train,auroc,0.9907475761950508
76,valid,auroc,0.538921549699019
77,train,auroc,0.9899069903387278
77,valid,auroc,0.5507029470808747
78,train,auroc,0.9926383157215787
78,valid,auroc,0.5447461272955773
79,train,auroc,0.991306680876601
79,valid,auroc,0.5543872467571057
80,train,auroc,0.9930945492565695
80,valid,auroc,0.5502965311276939
81,train,auroc,0.9915693719935105
81,valid,auroc,0.5494056458263503
82,train,auroc,0.993238504567286
82,valid,auroc,0.545258947072262
83,train,auroc,0.9945915494696415
83,valid,auroc,0.5569906414876582
84,train,auroc,0.9944534449553853
84,valid,auroc,0.5649099209991983
85,train,auroc,0.9934041431868632
85,valid,auroc,0.5613178499322102
86,train,auroc,0.9958871151188566
86,valid,auroc,0.5453723487863504
87,train,auroc,0.9958328827362799
87,valid,auroc,0.5591126172326105
88,train,auroc,0.9959685762080384
88,valid,auroc,0.5523264576964955
89,train,auroc,0.9954479196175147
89,valid,auroc,0.5456334239350826
90,train,auroc,0.9969341826546645
90,valid,auroc,0.5561467676563957
91,train,auroc,0.9961918708905388
91,valid,auroc,0.547875799284708
92,train,auroc,0.9965569670191248
92,valid,auroc,0.5461952289458593
93,train,auroc,0.9976042917327989
93,valid,auroc,0.5464317217609995
94,train,auroc,0.9972276547474583
94,valid,auroc,0.5531807386470888
95,train,auroc,0.9968158165416546
95,valid,auroc,0.5611102458448679
96,train,auroc,0.9972730144936445
96,valid,auroc,0.5584377693739292
97,train,auroc,0.9970987121946929
97,valid,auroc,0.5579026998938474
98,train,auroc,0.9968722992305624
98,valid,auroc,0.5507982260526801
99,train,auroc,0.9974546463617883
99,valid,auroc,0.5332405185759902
100,train,auroc,0.9984636515733691
100,valid,auroc,0.5498671477387482
101,train,auroc,0.9977063109776758
101,valid,auroc,0.5246408287799196
102,train,auroc,0.9971531053134361
102,valid,auroc,0.5447656855025956
103,train,auroc,0.998043840853707
103,valid,auroc,0.549622759867564
104,train,auroc,0.9981827490487954
104,valid,auroc,0.55255774695197
105,train,auroc,0.9974269675939172
105,valid,auroc,0.5413935994062917
106,train,auroc,0.9983314621500404
106,valid,auroc,0.5366152961686729
107,train,auroc,0.9984933556169382
107,valid,auroc,0.5376201214833806
