epoch,subset,metric,score
0,train,auroc,0.4915071992443085
0,valid,auroc,0.4644885762127704
1,train,auroc,0.4872802881266508
1,valid,auroc,0.45489500652059855
2,train,auroc,0.5009098470704676
2,valid,auroc,0.45315324949740793
3,train,auroc,0.487130289136074
3,valid,auroc,0.44628167980954253
4,train,auroc,0.5290955446635013
4,valid,auroc,0.44966219926116635
5,train,auroc,0.5145063425848356
5,valid,auroc,0.4588053918926387
6,train,auroc,0.5089171763824821
6,valid,auroc,0.46182614799497873
7,train,auroc,0.5098332278689766
7,valid,auroc,0.4682119923030381
8,train,auroc,0.5085262820991733
8,valid,auroc,0.4759486089270116
9,train,auroc,0.5113884627951711
9,valid,auroc,0.46834979691762657
10,train,auroc,0.5163918903331854
10,valid,auroc,0.476488702533667
11,train,auroc,0.5317686674804631
11,valid,auroc,0.4763272127509462
12,train,auroc,0.5362928762116774
12,valid,auroc,0.47463749132441
13,train,auroc,0.556934019989664
13,valid,auroc,0.47315214418956175
14,train,auroc,0.5499914070445389
14,valid,auroc,0.47895985507548033
15,train,auroc,0.559198744354785
15,valid,auroc,0.4782439170387511
16,train,auroc,0.5763399706225724
16,valid,auroc,0.4784325012183507
17,train,auroc,0.5863130711036364
17,valid,auroc,0.4829003852069617
18,train,auroc,0.5953104709068181
18,valid,auroc,0.4831811979958041
19,train,auroc,0.6075259694994766
19,valid,auroc,0.4780402604794308
20,train,auroc,0.6131066327586223
20,valid,auroc,0.4734465938933895
21,train,auroc,0.6201527919422058
21,valid,auroc,0.4767234010178881
22,train,auroc,0.6153806155269337
22,valid,auroc,0.47679983951504257
23,train,auroc,0.6172347715019664
23,valid,auroc,0.4737405052979415
24,train,auroc,0.6251304534727306
24,valid,auroc,0.4715115874302095
25,train,auroc,0.6414614890932796
25,valid,auroc,0.4624712099604027
26,train,auroc,0.6404529660901982
26,valid,auroc,0.46558383580580176
27,train,auroc,0.6406226552611711
27,valid,auroc,0.45784470711854136
28,train,auroc,0.6543609200743913
28,valid,auroc,0.4602360119344538
29,train,auroc,0.6448816814648954
29,valid,auroc,0.46518370001083775
30,train,auroc,0.6466190626149666
30,valid,auroc,0.4589182553074514
31,train,auroc,0.6640202957056826
31,valid,auroc,0.46724951319802166
32,train,auroc,0.6591696478939255
32,valid,auroc,0.4648714864309107
33,train,auroc,0.6634245913990207
33,valid,auroc,0.4588829069883448
34,train,auroc,0.673899670928061
34,valid,auroc,0.4551088907661578
35,train,auroc,0.6754923573810498
35,valid,auroc,0.44737550393783865
36,train,auroc,0.6735617070643802
36,valid,auroc,0.452977584500426
37,train,auroc,0.6939412366577731
37,valid,auroc,0.4565994414606715
38,train,auroc,0.6793182478369092
38,valid,auroc,0.448360591612436
39,train,auroc,0.6775468709876235
39,valid,auroc,0.42577355400254224
40,train,auroc,0.6738334476274634
40,valid,auroc,0.45739594495566926
41,train,auroc,0.6868056277975326
41,valid,auroc,0.42996546989579243
42,train,auroc,0.6768048485485973
42,valid,auroc,0.41981458102014174
43,train,auroc,0.6993727849752576
43,valid,auroc,0.39594710886636325
44,train,auroc,0.686139344240161
44,valid,auroc,0.4234398472091335
45,train,auroc,0.6980014322235379
45,valid,auroc,0.4026029999777503
46,train,auroc,0.7088158579472912
46,valid,auroc,0.39963176740877804
47,train,auroc,0.7073798731830223
47,valid,auroc,0.39584196107450276
48,train,auroc,0.7038575811984462
48,valid,auroc,0.3916983126829769
49,train,auroc,0.7225005172489838
49,valid,auroc,0.37009690104695625
50,train,auroc,0.714334846739351
50,valid,auroc,0.3903640482115186
