epoch,subset,metric,score
0,train,auroc,0.4974171305405274
0,valid,auroc,0.48925446985775256
1,train,auroc,0.5080475615744893
1,valid,auroc,0.4892420889744107
2,train,auroc,0.5112301376711695
2,valid,auroc,0.4896653716382313
3,train,auroc,0.517461010871037
3,valid,auroc,0.5002702262364196
4,train,auroc,0.5209634519390504
4,valid,auroc,0.4992921364524068
5,train,auroc,0.5280769274291639
5,valid,auroc,0.48829432338293105
6,train,auroc,0.5364162251458489
6,valid,auroc,0.49004935845492315
7,train,auroc,0.5559949510841269
7,valid,auroc,0.4896739844266431
8,train,auroc,0.5594792771861757
8,valid,auroc,0.49050332417746073
9,train,auroc,0.5755129348250849
9,valid,auroc,0.4870770492873994
10,train,auroc,0.5955047044904156
10,valid,auroc,0.486834814613318
11,train,auroc,0.5856305210462149
11,valid,auroc,0.48422334539362955
12,train,auroc,0.6120990902461565
12,valid,auroc,0.4700926305393688
13,train,auroc,0.6173315025269654
13,valid,auroc,0.4602121473332295
14,train,auroc,0.6044459912978725
14,valid,auroc,0.46387168524277655
15,train,auroc,0.635537316572709
15,valid,auroc,0.4590196350043817
16,train,auroc,0.6237701432956495
16,valid,auroc,0.46633009803506403
17,train,auroc,0.6452272481492516
17,valid,auroc,0.4593977005290406
18,train,auroc,0.6347953423545328
18,valid,auroc,0.4579927394193689
19,train,auroc,0.652587646538341
19,valid,auroc,0.4541128576729538
20,train,auroc,0.6600501766876237
20,valid,auroc,0.4425858964154293
21,train,auroc,0.6644298353843054
21,valid,auroc,0.44896528113217976
22,train,auroc,0.6539682576932508
22,valid,auroc,0.4478470541033836
23,train,auroc,0.6778901069975654
23,valid,auroc,0.4369021737960219
24,train,auroc,0.6907384238777304
24,valid,auroc,0.4380772811149542
25,train,auroc,0.6721415226652783
25,valid,auroc,0.4364625627208373
26,train,auroc,0.6810919232133756
26,valid,auroc,0.42601937733846174
27,train,auroc,0.6941231417774
27,valid,auroc,0.4295881221035013
28,train,auroc,0.6867499327158407
28,valid,auroc,0.4197304269000349
29,train,auroc,0.6971783826829798
29,valid,auroc,0.4273220615857435
30,train,auroc,0.7016107789158899
30,valid,auroc,0.42545308650038716
31,train,auroc,0.6974391128186579
31,valid,auroc,0.4232259629635744
32,train,auroc,0.7094799072719484
32,valid,auroc,0.43081149692415793
33,train,auroc,0.7374417797531323
33,valid,auroc,0.4298140283662187
34,train,auroc,0.7335066047776704
34,valid,auroc,0.42927949718541253
35,train,auroc,0.7243973326026052
35,valid,auroc,0.42226061292908734
36,train,auroc,0.7334443034395354
36,valid,auroc,0.42460293251090775
37,train,auroc,0.7440744451483975
37,valid,auroc,0.4143752462719187
38,train,auroc,0.7503060738082474
38,valid,auroc,0.4091702511417328
39,train,auroc,0.7490516405440393
39,valid,auroc,0.4171232640745523
40,train,auroc,0.7618008957247909
40,valid,auroc,0.4097833740167964
41,train,auroc,0.7678055809911609
41,valid,auroc,0.40747640275408264
42,train,auroc,0.7661082552937813
42,valid,auroc,0.4132620433696961
43,train,auroc,0.7629994088766741
43,valid,auroc,0.3926541527635926
44,train,auroc,0.7747855972422303
44,valid,auroc,0.39384074380040723
45,train,auroc,0.7752648642698805
45,valid,auroc,0.4072097651795013
46,train,auroc,0.7908624125418444
46,valid,auroc,0.40435498468718
47,train,auroc,0.7800068222858509
47,valid,auroc,0.3878557530196795
48,train,auroc,0.7829569899593903
48,valid,auroc,0.3815034626998077
49,train,auroc,0.7946758780920333
49,valid,auroc,0.3957630105140615
50,train,auroc,0.792537106586981
50,valid,auroc,0.4011713033373837
51,train,auroc,0.7965896993320706
51,valid,auroc,0.38910963146596117
52,train,auroc,0.8048595911720611
52,valid,auroc,0.3853490727256676
53,train,auroc,0.8129017520113558
53,valid,auroc,0.3845642323816441
54,train,auroc,0.8098950373544421
54,valid,auroc,0.3850085087172185
55,train,auroc,0.8133409957335478
55,valid,auroc,0.3974658305563072
56,train,auroc,0.8153076027306632
56,valid,auroc,0.402732191803927
57,train,auroc,0.8185036485180961
57,valid,auroc,0.39242591387068043
58,train,auroc,0.8160543347393676
58,valid,auroc,0.39919933365726984
59,train,auroc,0.814063633390894
59,valid,auroc,0.409092197746751
60,train,auroc,0.8269134772646407
60,valid,auroc,0.408296232551029
61,train,auroc,0.8339355742440996
61,valid,auroc,0.3831266144492445
62,train,auroc,0.8263591143000022
62,valid,auroc,0.4050253467185635
63,train,auroc,0.8344348207772456
63,valid,auroc,0.3966892441345117
64,train,auroc,0.8273450377980739
64,valid,auroc,0.3938644289685397
65,train,auroc,0.8407073567914696
65,valid,auroc,0.3906881043755118
66,train,auroc,0.8412484750959884
66,valid,auroc,0.4102253177221759
67,train,auroc,0.8439161489569057
67,valid,auroc,0.4043054611538122
68,train,auroc,0.8479284772922873
68,valid,auroc,0.396002733124856
69,train,auroc,0.8557328450468636
69,valid,auroc,0.39663684967167334
70,train,auroc,0.8421870778666427
70,valid,auroc,0.4006292359667173
71,train,auroc,0.8441305710030156
71,valid,auroc,0.4186949185266103
72,train,auroc,0.8465888377862181
72,valid,auroc,0.4043910507386543
73,train,auroc,0.8606836957848161
73,valid,auroc,0.41011353090591457
74,train,auroc,0.8578251316525646
74,valid,auroc,0.41247235833219087
75,train,auroc,0.8602180431104686
75,valid,auroc,0.42886105921507356
76,train,auroc,0.858326323093325
76,valid,auroc,0.42026854674267927
77,train,auroc,0.8629760024761085
77,valid,auroc,0.4068196776376844
78,train,auroc,0.8633646625267031
78,valid,auroc,0.4243014849164954
79,train,auroc,0.8602744775785264
79,valid,auroc,0.42715267674697854
80,train,auroc,0.8735036266579775
80,valid,auroc,0.42439443125810594
81,train,auroc,0.868620622655904
81,valid,auroc,0.42166597166249065
82,train,auroc,0.8749629663872386
82,valid,auroc,0.42146913356066307
83,train,auroc,0.8781650076336821
83,valid,auroc,0.42620275795839596
84,train,auroc,0.877729718021186
84,valid,auroc,0.4345201995008889
85,train,auroc,0.8819459723310049
85,valid,auroc,0.453240812846261
86,train,auroc,0.8761950894715369
86,valid,auroc,0.4514863160735446
87,train,auroc,0.8826018884056375
87,valid,auroc,0.4443319598328258
88,train,auroc,0.8825653209277589
88,valid,auroc,0.44939717658441214
89,train,auroc,0.8941117070065152
89,valid,auroc,0.432778980776974
90,train,auroc,0.8898773216571153
90,valid,auroc,0.43030764880206873
91,train,auroc,0.8898211443669239
91,valid,auroc,0.44376297749837257
92,train,auroc,0.886286588212844
92,valid,auroc,0.45787198094851195
93,train,auroc,0.8966862342589464
93,valid,auroc,0.45652192636496547
94,train,auroc,0.8959445815131033
94,valid,auroc,0.44661398989576373
95,train,auroc,0.8992712575830502
95,valid,auroc,0.44635470907795083
96,train,auroc,0.8983450636444495
96,valid,auroc,0.4511532882549558
97,train,auroc,0.9022015904136437
97,valid,auroc,0.46998748274750823
98,train,auroc,0.913571906095617
98,valid,auroc,0.4541846309097186
99,train,auroc,0.9041111842925018
99,valid,auroc,0.4604671217568366
100,train,auroc,0.9109096972643604
100,valid,auroc,0.4544989976867486
101,train,auroc,0.9036950383574358
101,valid,auroc,0.46211987996643883
102,train,auroc,0.9108645786224242
102,valid,auroc,0.46537982038029774
103,train,auroc,0.9148086101606603
103,valid,auroc,0.4618094607174309
104,train,auroc,0.9108744960438973
