epoch,subset,metric,score
0,train,auroc,0.47336829966467864
0,valid,auroc,0.5303590025529741
1,train,auroc,0.5077821057955161
1,valid,auroc,0.5111704277038952
2,train,auroc,0.4926758958373062
2,valid,auroc,0.5129844962631264
3,train,auroc,0.4894228208579994
3,valid,auroc,0.5250820547529313
4,train,auroc,0.48579990803319495
4,valid,auroc,0.5108472687053616
5,train,auroc,0.48865868112246313
5,valid,auroc,0.5167032470930045
6,train,auroc,0.48084626048594536
6,valid,auroc,0.5073865426616531
7,train,auroc,0.5027176628086987
7,valid,auroc,0.5151811161743143
8,train,auroc,0.49904281612849843
8,valid,auroc,0.5152519922456195
9,train,auroc,0.5035274676891373
9,valid,auroc,0.513875202131378
10,train,auroc,0.5057935743852903
10,valid,auroc,0.5025004001357949
11,train,auroc,0.46963643986622117
11,valid,auroc,0.5015863679655947
12,train,auroc,0.49525511658579924
12,valid,auroc,0.5107496571033613
13,train,auroc,0.5022068111243314
13,valid,auroc,0.5151016273145972
14,train,auroc,0.5003333346620856
14,valid,auroc,0.5127672027888208
15,train,auroc,0.49088985984963585
15,valid,auroc,0.5081703064071251
16,train,auroc,0.5026262200035774
16,valid,auroc,0.5075754857074365
17,train,auroc,0.4990361455775887
17,valid,auroc,0.49369974527678273
18,train,auroc,0.502014008092616
18,valid,auroc,0.497746499798676
19,train,auroc,0.4946352857805457
19,valid,auroc,0.492049857996651
20,train,auroc,0.481191666434135
20,valid,auroc,0.4949396279418952
21,train,auroc,0.49798673129375004
21,valid,auroc,0.49618543189904096
22,train,auroc,0.5011409053098099
22,valid,auroc,0.4950469289308588
23,train,auroc,0.49053336310595763
23,valid,auroc,0.5039100265058563
24,train,auroc,0.48022676722664154
24,valid,auroc,0.510874721968424
25,train,auroc,0.4955212796039049
25,valid,auroc,0.5078833928931576
26,train,auroc,0.4959273313077147
26,valid,auroc,0.5030157319757665
27,train,auroc,0.4938267667894391
27,valid,auroc,0.5015032904440395
28,train,auroc,0.4937137210435404
28,valid,auroc,0.5030089135182738
29,train,auroc,0.49600848699818
29,valid,auroc,0.5003841662497838
30,train,auroc,0.5197241278744931
30,valid,auroc,0.49777969492067986
31,train,auroc,0.4956683049754016
31,valid,auroc,0.4962265220770887
32,train,auroc,0.4817278019174924
32,valid,auroc,0.4952037534531899
33,train,auroc,0.4796475383770456
33,valid,auroc,0.49861244390024384
34,train,auroc,0.4644773714981858
34,valid,auroc,0.4992514051405428
35,train,auroc,0.5057880450611627
35,valid,auroc,0.49859468002414453
36,train,auroc,0.5011109923092245
36,valid,auroc,0.49843929096654865
37,train,auroc,0.4815721450138548
37,valid,auroc,0.49906820395370055
38,train,auroc,0.4964639489995717
38,valid,auroc,0.4980353870766545
39,train,auroc,0.49007277362085483
39,valid,auroc,0.4970845711226124
40,train,auroc,0.501793124452613
40,valid,auroc,0.4947155160100971
41,train,auroc,0.498600020137027
41,valid,auroc,0.4951667902362559
42,train,auroc,0.48028408574361503
42,valid,auroc,0.4925870806738359
43,train,auroc,0.5082434507406015
43,valid,auroc,0.4798925482872394
44,train,auroc,0.4952120714404108
44,valid,auroc,0.5126407024590228
45,train,auroc,0.4981684596035938
45,valid,auroc,0.5019690987506432
46,train,auroc,0.4980890720109599
46,valid,auroc,0.5151615579672958
47,train,auroc,0.4900733201238209
47,valid,auroc,0.506435726707611
48,train,auroc,0.49971257158706645
48,valid,auroc,0.5125088191364675
49,train,auroc,0.5109083438658386
49,valid,auroc,0.5104779954022065
50,train,auroc,0.49185313562184774
50,valid,auroc,0.5037894474680914
51,train,auroc,0.49932217558587366
51,valid,auroc,0.513822448802356
52,train,auroc,0.5126859733520011
52,valid,auroc,0.506404864215802
53,train,auroc,0.48770885896738714
53,valid,auroc,0.5057583667856427
54,train,auroc,0.49356783689882583
54,valid,auroc,0.5108120998193468
55,train,auroc,0.502610258902244
55,valid,auroc,0.5130594992955457
56,train,auroc,0.47232285556415243
56,valid,auroc,0.507374341211403
57,train,auroc,0.49678588746745256
57,valid,auroc,0.5066476371891591
58,train,auroc,0.48821440635825986
58,valid,auroc,0.5078223856419075
59,train,auroc,0.4926468025911699
59,valid,auroc,0.5066802940118871
60,train,auroc,0.48397007144015364
60,valid,auroc,0.5014528697452122
61,train,auroc,0.5274189378579835
61,valid,auroc,0.49683928608596856
62,train,auroc,0.5018263646918449
62,valid,auroc,0.4949295796887481
63,train,auroc,0.5007436619479243
63,valid,auroc,0.498238505336699
64,train,auroc,0.5088322594657207
64,valid,auroc,0.5030982711980461
65,train,auroc,0.49093099223464287
65,valid,auroc,0.5030419292071857
66,train,auroc,0.4924791708431281
66,valid,auroc,0.504315006994302
67,train,auroc,0.5046647403615843
67,valid,auroc,0.5024593099577471
68,train,auroc,0.49812893458025165
68,valid,auroc,0.5012481365873405
69,train,auroc,0.511142423945111
69,valid,auroc,0.5027731384355013
70,train,auroc,0.5139176945958829
70,valid,auroc,0.5063872797727946
71,train,auroc,0.4986685901856554
71,valid,auroc,0.5030101695499172
72,train,auroc,0.4854060240571892
72,valid,auroc,0.5067639098327181
73,train,auroc,0.5093342063664638
73,valid,auroc,0.507864193552323
74,train,auroc,0.5192401191299312
74,valid,auroc,0.5134908564485023
75,train,auroc,0.4802385170404126
75,valid,auroc,0.5090179483333178
76,train,auroc,0.4935006813284626
76,valid,auroc,0.5040765404151508
77,train,auroc,0.5042401236305439
77,valid,auroc,0.5051443467451197
78,train,auroc,0.5152531388880066
78,valid,auroc,0.5217284502650944
79,train,auroc,0.49683986267216285
79,valid,auroc,0.5222974325995478
80,train,auroc,0.48859093082828375
80,valid,auroc,0.522288640378044
81,train,auroc,0.4884773225058023
81,valid,auroc,0.5249553749900415
82,train,auroc,0.5019715094501935
82,valid,auroc,0.5237384597606937
83,train,auroc,0.5020482609696969
83,valid,auroc,0.5228256836221369
84,train,auroc,0.4958844951193428
84,valid,auroc,0.5246668465782468
85,train,auroc,0.4787613677439033
85,valid,auroc,0.5223623873788198
86,train,auroc,0.4870925643577967
86,valid,auroc,0.5283471987264556
87,train,auroc,0.4835728923727346
87,valid,auroc,0.5250608816480857
88,train,auroc,0.49010469582352145
88,valid,auroc,0.5248389229133905
89,train,auroc,0.48737065399945656
89,valid,auroc,0.5216536266657671
90,train,auroc,0.4968668342009015
90,valid,auroc,0.5234300142756968
91,train,auroc,0.491012019336175
