epoch,subset,metric,score
0,train,auroc,0.48993817315502847
0,valid,auroc,0.5283567086803269
1,train,auroc,0.5003184987139178
1,valid,auroc,0.5281370825758267
2,train,auroc,0.5223337759793043
2,valid,auroc,0.5182804639709117
3,train,auroc,0.5368046119449603
3,valid,auroc,0.5098596689674774
4,train,auroc,0.5601635631941952
4,valid,auroc,0.5032572489174801
5,train,auroc,0.5712557731608922
5,valid,auroc,0.49442949966158917
6,train,auroc,0.5671562454551848
6,valid,auroc,0.49239149860365167
7,train,auroc,0.6030594168311856
7,valid,auroc,0.49393767355665813
8,train,auroc,0.6227807639699982
8,valid,auroc,0.49422153670806307
9,train,auroc,0.6135014007835439
9,valid,auroc,0.49636271179385
10,train,auroc,0.6405501793236967
10,valid,auroc,0.4886300426978985
11,train,auroc,0.6396643140892708
11,valid,auroc,0.49186450361270584
12,train,auroc,0.6482072002344433
12,valid,auroc,0.49662091601311154
13,train,auroc,0.6640621514034389
13,valid,auroc,0.47526532771301033
14,train,auroc,0.6615560816843196
14,valid,auroc,0.4801471638446626
15,train,auroc,0.6722703044818773
15,valid,auroc,0.4887577990593399
16,train,auroc,0.6795350166310496
16,valid,auroc,0.4777472462403384
17,train,auroc,0.7086186668182302
17,valid,auroc,0.469718512542732
18,train,auroc,0.7095520135162399
18,valid,auroc,0.4775733755742756
19,train,auroc,0.7161170893534922
19,valid,auroc,0.4727376537472448
20,train,auroc,0.7297471787266583
20,valid,auroc,0.4645492245978366
21,train,auroc,0.7325257926896934
21,valid,auroc,0.47599454379854117
22,train,auroc,0.7560175763069232
22,valid,auroc,0.48043820431974404
23,train,auroc,0.749100407896955
23,valid,auroc,0.4743096670654866
24,train,auroc,0.7716199466638823
24,valid,auroc,0.4694195770116065
25,train,auroc,0.7782549105863282
25,valid,auroc,0.46857032018758654
26,train,auroc,0.781293306341659
26,valid,auroc,0.483214034251624
27,train,auroc,0.787333578595292
27,valid,auroc,0.4798159303569929
28,train,auroc,0.8032246632545164
28,valid,auroc,0.46871009856618606
29,train,auroc,0.8142013039175005
29,valid,auroc,0.4685651166279211
30,train,auroc,0.8162415602261056
30,valid,auroc,0.47322714722198095
31,train,auroc,0.8251663072820298
31,valid,auroc,0.4729942430686791
32,train,auroc,0.8338218051854516
32,valid,auroc,0.4681127658032107
33,train,auroc,0.8458145716721924
33,valid,auroc,0.4715397584256397
34,train,auroc,0.8514596579868708
34,valid,auroc,0.4527818229971499
35,train,auroc,0.8628647569752745
35,valid,auroc,0.46202083289970336
36,train,auroc,0.8524117465218944
36,valid,auroc,0.455894269409457
37,train,auroc,0.8636737099540308
37,valid,auroc,0.4970000581363218
38,train,auroc,0.880339800113647
38,valid,auroc,0.48197002462539745
39,train,auroc,0.8859451042271169
39,valid,auroc,0.48354060247890407
40,train,auroc,0.8792054689130469
40,valid,auroc,0.4849172131600536
41,train,auroc,0.8950899312422115
41,valid,auroc,0.47830295052599014
42,train,auroc,0.8997792963845035
42,valid,auroc,0.4978986590606175
43,train,auroc,0.908481777469393
43,valid,auroc,0.48250132601054924
44,train,auroc,0.9051160746582203
44,valid,auroc,0.4668395085830025
45,train,auroc,0.9160046961964294
45,valid,auroc,0.47351065150720206
46,train,auroc,0.9201481209492075
46,valid,auroc,0.4825996553449171
47,train,auroc,0.920700876552181
47,valid,auroc,0.47954929278241154
48,train,auroc,0.9360540897774497
48,valid,auroc,0.491905055491478
49,train,auroc,0.9278799806190761
49,valid,auroc,0.4664133549897113
50,train,auroc,0.9356521207722691
50,valid,auroc,0.5033010305919067
51,train,auroc,0.9356335878922718
51,valid,auroc,0.4883368490257142
52,train,auroc,0.9386627091707956
52,valid,auroc,0.4914733394723375
53,train,auroc,0.9451396855151897
53,valid,auroc,0.5034479862941827
54,train,auroc,0.943581702000548
54,valid,auroc,0.5164568854578092
55,train,auroc,0.9528617884997517
55,valid,auroc,0.5034993041584696
56,train,auroc,0.9515537336503994
56,valid,auroc,0.5140070854539335
57,train,auroc,0.9576159303171428
57,valid,auroc,0.5052615165541382
58,train,auroc,0.9618525338256404
58,valid,auroc,0.518198463047908
59,train,auroc,0.9644626480653344
59,valid,auroc,0.5169056476206813
60,train,auroc,0.9643996394880667
60,valid,auroc,0.5128666087217402
61,train,auroc,0.9702853478439943
61,valid,auroc,0.506731432443082
62,train,auroc,0.971285962627684
62,valid,auroc,0.508078436664066
63,train,auroc,0.9704104648759972
63,valid,auroc,0.5120555711462975
64,train,auroc,0.9745328171173473
64,valid,auroc,0.5103523922378679
65,train,auroc,0.9737638713704327
65,valid,auroc,0.5130953859139281
66,train,auroc,0.9761303899497975
66,valid,auroc,0.505635275684591
67,train,auroc,0.9798579259453762
67,valid,auroc,0.5159677508492568
68,train,auroc,0.983229543847476
68,valid,auroc,0.5131707478125311
69,train,auroc,0.9829706139568628
69,valid,auroc,0.5126555954056515
70,train,auroc,0.9846188669026101
70,valid,auroc,0.5164780585626548
71,train,auroc,0.9863871254702657
71,valid,auroc,0.5093800443127964
72,train,auroc,0.987429949571278
72,valid,auroc,0.5189619508539939
73,train,auroc,0.9864769448401054
73,valid,auroc,0.5117514320555065
74,train,auroc,0.985861196733481
74,valid,auroc,0.5185198277155225
75,train,auroc,0.9878284788224958
75,valid,auroc,0.5154687474206493
76,train,auroc,0.9855020156958224
76,valid,auroc,0.5096283797120027
77,train,auroc,0.9902033878297518
77,valid,auroc,0.5053878374508443
78,train,auroc,0.9899660126590661
78,valid,auroc,0.532449039207566
79,train,auroc,0.9904395735528054
79,valid,auroc,0.5117306178168448
80,train,auroc,0.9919796832057324
80,valid,auroc,0.5309143479724419
81,train,auroc,0.9920596976694156
81,valid,auroc,0.5033728038286716
82,train,auroc,0.993048707301884
82,valid,auroc,0.5070043501758803
83,train,auroc,0.9920569973018184
83,valid,auroc,0.5191675811773251
84,train,auroc,0.9931198169819432
84,valid,auroc,0.5188381420205745
85,train,auroc,0.9925597800306273
85,valid,auroc,0.5131745159074612
86,train,auroc,0.9938535132875446
86,valid,auroc,0.5268849984604641
87,train,auroc,0.9956797976113063
87,valid,auroc,0.517530971945995
88,train,auroc,0.9938994838311632
88,valid,auroc,0.5269555156655855
89,train,auroc,0.994650057434247
89,valid,auroc,0.516710244983589
90,train,auroc,0.994653915102243
90,valid,auroc,0.5189628480194535
91,train,auroc,0.9957189529414654
91,valid,auroc,0.5170651636393911
92,train,auroc,0.9958708807660402
92,valid,auroc,0.5167332124193538
93,train,auroc,0.9962569690379709
93,valid,auroc,0.5243356130905771
94,train,auroc,0.9961568947007087
94,valid,auroc,0.5271390757186116
95,train,auroc,0.9961706215693277
95,valid,auroc,0.5269531830353906
96,train,auroc,0.9966690965688744
96,valid,auroc,0.5382711047408376
97,train,auroc,0.9970690081511239
97,valid,auroc,0.5373082667696374
98,train,auroc,0.9974133050197648
98,valid,auroc,0.5205016662156915
99,train,auroc,0.9964059071698489
99,valid,auroc,0.5293213409824464
100,train,auroc,0.9974418839101682
100,valid,auroc,0.5303663593097424
101,train,auroc,0.9980313034327201
101,valid,auroc,0.5439264769317228
102,train,auroc,0.9980811316443349
102,valid,auroc,0.5448320757466032
103,train,auroc,0.9976684576104654
103,valid,auroc,0.5278008249615833
104,train,auroc,0.9975396114993996
104,valid,auroc,0.5154027160428256
105,train,auroc,0.9979873581647993
105,valid,auroc,0.5249108755832473
106,train,auroc,0.9984230817649448
106,valid,auroc,0.5484524972421134
107,train,auroc,0.9987910711445277
107,valid,auroc,0.5346531953086142
108,train,auroc,0.9983136847300257
108,valid,auroc,0.5293809127689613
109,train,auroc,0.9981553435324074
109,valid,auroc,0.5192050826935348
110,train,auroc,0.9979499387852384
110,valid,auroc,0.5219712232384515
111,train,auroc,0.9986612927636964
111,valid,auroc,0.5316240058509543
112,train,auroc,0.9983592373596114
112,valid,auroc,0.5125145609954086
113,train,auroc,0.9983921400528938
113,valid,auroc,0.5234484958841638
114,train,auroc,0.9987558056295978
114,valid,auroc,0.5213717372783733
115,train,auroc,0.9987276768004604
115,valid,auroc,0.5433795648675748
116,train,auroc,0.998584589465043
