epoch,subset,metric,score
0,train,auroc,0.5000910088174717
0,valid,auroc,0.4749527552668995
1,train,auroc,0.516779955659964
1,valid,auroc,0.4861854462536882
2,train,auroc,0.49319417353256556
2,valid,auroc,0.4872295674155247
3,train,auroc,0.4828704592515173
3,valid,auroc,0.4923685311678869
4,train,auroc,0.5023734141609077
4,valid,auroc,0.4909922793529212
5,train,auroc,0.49265160860254814
5,valid,auroc,0.48724912562254313
6,train,auroc,0.4887880415892615
6,valid,auroc,0.4851275087437745
7,train,auroc,0.5002791665739754
7,valid,auroc,0.48617414196889785
8,train,auroc,0.5013643125076268
8,valid,auroc,0.4865380322792955
9,train,auroc,0.5251367414715641
9,valid,auroc,0.4945102445529496
10,train,auroc,0.5284940699284622
10,valid,auroc,0.48712531678912385
11,train,auroc,0.5424963921160068
11,valid,auroc,0.4795984574495954
12,train,auroc,0.5686670529049591
12,valid,auroc,0.47298293878388864
13,train,auroc,0.560903399621357
13,valid,auroc,0.4594630141744965
14,train,auroc,0.5969292609132463
14,valid,auroc,0.4928230351897002
15,train,auroc,0.5848652079366632
15,valid,auroc,0.47461470332173716
16,train,auroc,0.5782563154204234
16,valid,auroc,0.4545142494995611
17,train,auroc,0.5978613056483074
17,valid,auroc,0.4454575436183903
18,train,auroc,0.6026011901677301
18,valid,auroc,0.43822387795104634
19,train,auroc,0.6149815076255165
19,valid,auroc,0.4441963084153402
20,train,auroc,0.6276150166927723
20,valid,auroc,0.4325514596164295
21,train,auroc,0.6144785480869246
21,valid,auroc,0.44949981231298586
22,train,auroc,0.6037197049295467
22,valid,auroc,0.42685069085329047
23,train,auroc,0.6163972235591899
23,valid,auroc,0.43718370431723197
24,train,auroc,0.6346349276603667
24,valid,auroc,0.43644228678145125
25,train,auroc,0.6346924390607401
25,valid,auroc,0.438714448024334
26,train,auroc,0.6352499846014752
26,valid,auroc,0.4594938766663054
27,train,auroc,0.629326021037921
27,valid,auroc,0.4537631425768171
28,train,auroc,0.6332587367500355
28,valid,auroc,0.4427181386041685
29,train,auroc,0.6402116528834332
29,valid,auroc,0.4448487271375326
30,train,auroc,0.6371774041211982
30,valid,auroc,0.4460814324789687
31,train,auroc,0.6364355745655719
31,valid,auroc,0.46104633177752885
32,train,auroc,0.6147853934287711
32,valid,auroc,0.45923549301395206
33,train,auroc,0.6344838035166244
33,valid,auroc,0.44268261085196986
34,train,auroc,0.6329661165589241
