epoch,subset,metric,score
0,train,auroc,0.49466900822827725
0,valid,auroc,0.53077151923128
1,train,auroc,0.5239338080751021
1,valid,auroc,0.4995822797620286
2,train,auroc,0.5234690715969035
2,valid,auroc,0.4991527169399911
3,train,auroc,0.5343104045549286
3,valid,auroc,0.4989399092929834
4,train,auroc,0.5231499460119364
4,valid,auroc,0.49148213169384125
5,train,auroc,0.5482791650309082
5,valid,auroc,0.48366369357995576
6,train,auroc,0.5620596713086843
6,valid,auroc,0.4731905428712309
7,train,auroc,0.5856478644785803
7,valid,auroc,0.47177661010696365
8,train,auroc,0.6028276192054773
8,valid,auroc,0.470500302524193
9,train,auroc,0.6202941111797919
9,valid,auroc,0.4639448939442767
10,train,auroc,0.6193448676749154
10,valid,auroc,0.4586724319715319
11,train,auroc,0.6197262142299342
11,valid,auroc,0.4731438902673338
12,train,auroc,0.6561769815779636
12,valid,auroc,0.47047894998625545
13,train,auroc,0.6555550612025457
13,valid,auroc,0.45361582800835726
14,train,auroc,0.6641992272062293
14,valid,auroc,0.45472615998110927
15,train,auroc,0.6753099379056899
15,valid,auroc,0.44851885159950244
16,train,auroc,0.6804198210067767
16,valid,auroc,0.43552879291052676
17,train,auroc,0.6914400372444985
17,valid,auroc,0.43674319607658785
18,train,auroc,0.698677890380249
18,valid,auroc,0.44903579833730123
19,train,auroc,0.7083370731281405
19,valid,auroc,0.42831486488329307
20,train,auroc,0.7059319457215825
20,valid,auroc,0.4444263416391715
21,train,auroc,0.7296831896587751
21,valid,auroc,0.4591522360593048
22,train,auroc,0.7377197247322425
22,valid,auroc,0.4273392871625671
23,train,auroc,0.7482238171393361
23,valid,auroc,0.44453184829721587
24,train,auroc,0.7622483691387075
24,valid,auroc,0.44190333293379563
25,train,auroc,0.7775548402867585
25,valid,auroc,0.43692567953106237
26,train,auroc,0.7844989159309986
26,valid,auroc,0.43772110642750867
27,train,auroc,0.7816671465177023
27,valid,auroc,0.42008713988675617
28,train,auroc,0.8012737441072513
28,valid,auroc,0.44671267809631543
29,train,auroc,0.8143567679377383
29,valid,auroc,0.4556651333510852
30,train,auroc,0.8159793513176957
30,valid,auroc,0.42391534490270066
31,train,auroc,0.841800250208346
31,valid,auroc,0.4305723126126392
32,train,auroc,0.8336989384597797
32,valid,auroc,0.438010352571671
33,train,auroc,0.8257196415352027
33,valid,auroc,0.4622560696832001
34,train,auroc,0.8485687376643029
34,valid,auroc,0.4357995574462221
35,train,auroc,0.8596968078697457
35,valid,auroc,0.423475733827516
36,train,auroc,0.8646620444945998
36,valid,auroc,0.4779309857264564
37,train,auroc,0.8643376628369882
37,valid,auroc,0.45581298621882077
38,train,auroc,0.8698989252408375
38,valid,auroc,0.4340500848000793
39,train,auroc,0.8780466897415222
39,valid,auroc,0.46184283527252656
40,train,auroc,0.8904993063269999
40,valid,auroc,0.42779630324766715
41,train,auroc,0.8992020124425223
41,valid,auroc,0.4512968347284855
42,train,auroc,0.8954333762091699
42,valid,auroc,0.44253350195259095
43,train,auroc,0.8986233140222759
43,valid,auroc,0.46363501299454457
44,train,auroc,0.9116510928323371
44,valid,auroc,0.44657343801699156
45,train,auroc,0.917606657126225
45,valid,auroc,0.47218051399685773
46,train,auroc,0.9190851887537661
46,valid,auroc,0.47921447063290357
47,train,auroc,0.9274195679437562
47,valid,auroc,0.4806603424875312
48,train,auroc,0.9253053569249448
48,valid,auroc,0.45031443855026676
49,train,auroc,0.932579809685807
49,valid,auroc,0.46414460297557486
50,train,auroc,0.9302615441036253
50,valid,auroc,0.4867420477047995
51,train,auroc,0.9410788791519921
51,valid,auroc,0.47979475725214726
52,train,auroc,0.9401522994465918
52,valid,auroc,0.48076243991682915
53,train,auroc,0.9427082616717924
53,valid,auroc,0.4946159306440859
54,train,auroc,0.9482750051789194
54,valid,auroc,0.5114083559837705
55,train,auroc,0.944779122146499
55,valid,auroc,0.5140539174909224
56,train,auroc,0.9494679568594415
56,valid,auroc,0.493364564261091
57,train,auroc,0.9475162661785773
57,valid,auroc,0.5096979997516646
58,train,auroc,0.9544886153145047
58,valid,auroc,0.5118883395046354
59,train,auroc,0.9565848238826683
59,valid,auroc,0.5150723797206155
60,train,auroc,0.9601539704597788
60,valid,auroc,0.5026294125288797
61,train,auroc,0.9655178649247839
61,valid,auroc,0.5233585999051158
62,train,auroc,0.9645155945585793
62,valid,auroc,0.49680734699560825
63,train,auroc,0.9683678296721279
63,valid,auroc,0.5175865962044877
64,train,auroc,0.9634501709525574
64,valid,auroc,0.5318194084880465
