epoch,subset,metric,score
0,train,auroc,0.4954184245309622
0,valid,auroc,0.4456328497491884
1,train,auroc,0.49948498524892054
1,valid,auroc,0.44502313610287114
2,train,auroc,0.5050583832333405
2,valid,auroc,0.4470284803380806
3,train,auroc,0.4988078680739268
3,valid,auroc,0.44836812780229635
4,train,auroc,0.48451615649221735
4,valid,auroc,0.4512336742801324
5,train,auroc,0.5097570067788227
5,valid,auroc,0.4521796455406929
6,train,auroc,0.5061278413171416
6,valid,auroc,0.44973845832522896
7,train,auroc,0.5150835300851169
7,valid,auroc,0.44969019082350453
8,train,auroc,0.5174608019140206
8,valid,auroc,0.456673906193815
9,train,auroc,0.5426228432581915
9,valid,auroc,0.4588574274892932
10,train,auroc,0.4983089751603471
10,valid,auroc,0.4561542679596376
11,train,auroc,0.5224158960867687
11,valid,auroc,0.45996811832822904
12,train,auroc,0.5402904328933578
12,valid,auroc,0.456375867828149
13,train,auroc,0.5463713392498817
13,valid,auroc,0.46177483013069187
14,train,auroc,0.5444642367816042
14,valid,auroc,0.4649425419353079
15,train,auroc,0.5356179932693981
15,valid,auroc,0.46307482288159496
16,train,auroc,0.5597338672002936
16,valid,auroc,0.4661863721284425
17,train,auroc,0.5491929340638385
17,valid,auroc,0.4661508443762439
18,train,auroc,0.56759225838043
18,valid,auroc,0.467971372526784
19,train,auroc,0.5587136426042911
19,valid,auroc,0.47078811320361996
20,train,auroc,0.6003940093502157
20,valid,auroc,0.4708885957350908
21,train,auroc,0.5730235977408982
21,valid,auroc,0.4753065973241502
22,train,auroc,0.5684085730756119
22,valid,auroc,0.47194168855152274
23,train,auroc,0.5924928462761738
23,valid,auroc,0.4689988064110726
24,train,auroc,0.5847235511531277
24,valid,auroc,0.47497213404082606
25,train,auroc,0.5975868486440103
25,valid,auroc,0.4729942430686791
26,train,auroc,0.603429624369866
26,valid,auroc,0.46949440061093384
27,train,auroc,0.5837438642183163
27,valid,auroc,0.469175548006606
28,train,auroc,0.6152558842617304
28,valid,auroc,0.4730545325875616
29,train,auroc,0.6218885657306121
29,valid,auroc,0.46866595802557565
30,train,auroc,0.6215516145047801
30,valid,auroc,0.46056868088685887
31,train,auroc,0.6303208010987666
31,valid,auroc,0.46248915326959394
32,train,auroc,0.6283007171790571
32,valid,auroc,0.4587942670409401
33,train,auroc,0.6255701151089553
33,valid,auroc,0.45884074021174537
34,train,auroc,0.627421747526174
34,valid,auroc,0.45854790540574486
35,train,auroc,0.6344273208277167
35,valid,auroc,0.4557360094223905
36,train,auroc,0.6348646839367604
36,valid,auroc,0.4542373842387407
