epoch,subset,metric,score
0,train,auroc,0.4939553396490216
0,valid,auroc,0.4889623527841197
1,train,auroc,0.5054032266049473
1,valid,auroc,0.4914367351215875
2,train,auroc,0.4928355550714897
2,valid,auroc,0.4881701556833279
3,train,auroc,0.4903224772555109
3,valid,auroc,0.48455655264531033
4,train,auroc,0.5009633079194452
4,valid,auroc,0.49621898588722846
5,train,auroc,0.48478862036804987
5,valid,auroc,0.5008487185247442
6,train,auroc,0.5070088844665726
6,valid,auroc,0.49483609504786197
7,train,auroc,0.4700106015145976
7,valid,auroc,0.4938330640640734
8,train,auroc,0.4859486211344398
8,valid,auroc,0.5166553384574639
9,train,auroc,0.49171400239612617
9,valid,auroc,0.5173904758350277
10,train,auroc,0.5181458112347894
10,valid,auroc,0.5076897845869845
11,train,auroc,0.5316792178038064
11,valid,auroc,0.4892101498840504
12,train,auroc,0.5007928150676397
12,valid,auroc,0.5068308383760013
13,train,auroc,0.48909358496815947
13,valid,auroc,0.5115235520287782
14,train,auroc,0.49426361554275006
14,valid,auroc,0.49889182122435094
15,train,auroc,0.4980052641737473
15,valid,auroc,0.5014196746232085
16,train,auroc,0.5212102301754763
16,valid,auroc,0.49248426551217017
17,train,auroc,0.5033066161963675
17,valid,auroc,0.4827089300978915
18,train,auroc,0.5120158160530166
18,valid,auroc,0.4841278869887324
19,train,auroc,0.5158864393840127
19,valid,auroc,0.4778924076116954
20,train,auroc,0.5180453350571108
20,valid,auroc,0.4815309518494887
21,train,auroc,0.5211014921588397
21,valid,auroc,0.47934330359289645
22,train,auroc,0.5173144837816565
22,valid,auroc,0.4846609827048032
23,train,auroc,0.5570071388718044
23,valid,auroc,0.4848007610834027
24,train,auroc,0.5430897657482545
24,valid,auroc,0.48691394460685133
25,train,auroc,0.5416493607394068
25,valid,auroc,0.49250848897957833
26,train,auroc,0.5342811184253925
26,valid,auroc,0.48418692047597145
27,train,auroc,0.56430719690399
27,valid,auroc,0.4831584099931313
28,train,auroc,0.579043488648619
28,valid,auroc,0.4949110980802812
29,train,auroc,0.5774566369184743
29,valid,auroc,0.4973343419865541
