epoch,subset,metric,score
0,train,auroc,0.4949069620491624
0,valid,auroc,0.4940250574724193
1,train,auroc,0.5158675046635992
1,valid,auroc,0.49804220553414713
2,train,auroc,0.4899551147469775
2,valid,auroc,0.4993694721150209
3,train,auroc,0.4873915979219514
3,valid,auroc,0.4853440844857124
4,train,auroc,0.498937148172642
4,valid,auroc,0.4904642077634239
5,train,auroc,0.49554479530506373
5,valid,auroc,0.4855199289157863
6,train,auroc,0.48815025655421
6,valid,auroc,0.48251550122481024
7,train,auroc,0.5019423197623574
7,valid,auroc,0.48373851717928307
8,train,auroc,0.4989030078108776
8,valid,auroc,0.4860126521861769
9,train,auroc,0.512507604428037
9,valid,auroc,0.48447401342303076
10,train,auroc,0.487619473585197
10,valid,auroc,0.47918019891234837
11,train,auroc,0.5210883760876535
11,valid,auroc,0.5125924349572984
12,train,auroc,0.5384313101707803
12,valid,auroc,0.4887511600349392
13,train,auroc,0.5662974803384306
13,valid,auroc,0.4914324287273815
14,train,auroc,0.5612676920691104
14,valid,auroc,0.5193552681914652
15,train,auroc,0.5737160169989426
15,valid,auroc,0.5130069253996155
16,train,auroc,0.5602703884504506
16,valid,auroc,0.4877522560122646
17,train,auroc,0.5824935136527372
17,valid,auroc,0.5027575277565051
18,train,auroc,0.5837564820073864
18,valid,auroc,0.5070956816196636
19,train,auroc,0.6106481570184032
19,valid,auroc,0.49032927407830607
20,train,auroc,0.6122227927998942
20,valid,auroc,0.4742111582980269
21,train,auroc,0.590656644530939
21,valid,auroc,0.46823639520353816
22,train,auroc,0.606831171346168
22,valid,auroc,0.4651018785209258
23,train,auroc,0.5995273360140696
23,valid,auroc,0.4760002856574823
24,train,auroc,0.6312558676737581
24,valid,auroc,0.4718564578328645
25,train,auroc,0.6191011916465028
25,valid,auroc,0.5303737160665108
26,train,auroc,0.6091560753320262
26,valid,auroc,0.4522250421129467
27,train,auroc,0.5811148474054418
27,valid,auroc,0.45079352490567204
28,train,auroc,0.6245612063390744
28,valid,auroc,0.45526607415467274
29,train,auroc,0.6243395350918556
29,valid,auroc,0.44435403010313096
30,train,auroc,0.616721267670852
30,valid,auroc,0.4465468819193886
31,train,auroc,0.6364680111239714
31,valid,auroc,0.45445001245265654
32,train,auroc,0.6352829998100742
32,valid,auroc,0.4642535188623655
33,train,auroc,0.6389157657618849
33,valid,auroc,0.4485439722323702
34,train,auroc,0.6232400032713024
34,valid,auroc,0.43954791473626564
35,train,auroc,0.5918915483509177
35,valid,auroc,0.44514748323556624
36,train,auroc,0.6232669748000409
36,valid,auroc,0.44537949022340856
37,train,auroc,0.6076858216170599
37,valid,auroc,0.44025757261477794
38,train,auroc,0.6131576343442523
38,valid,auroc,0.4540832512127883
39,train,auroc,0.6099738527263233
39,valid,auroc,0.4713450735209151
40,train,auroc,0.6184461274735528
40,valid,auroc,0.4664205323133878
41,train,auroc,0.6207192583401818
41,valid,auroc,0.5345708355194265
42,train,auroc,0.608549408818809
42,valid,auroc,0.4556217105428425
43,train,auroc,0.6142580662873378
43,valid,auroc,0.4540208084968029
44,train,auroc,0.6176666213604992
44,valid,auroc,0.4531954162740073
45,train,auroc,0.6179321896547889
45,valid,auroc,0.44107022508804783
46,train,auroc,0.6285177592246807
46,valid,auroc,0.4609738408083963
47,train,auroc,0.5977692359721369
47,valid,auroc,0.5521039606625244
48,train,auroc,0.4891628622559205
48,valid,auroc,0.5228163531013574
49,train,auroc,0.5046809747144008
49,valid,auroc,0.5206832525047065
50,train,auroc,0.49138712932793377
50,valid,auroc,0.5187317381970707
51,train,auroc,0.49809084010879145
51,valid,auroc,0.5180129292308708
52,train,auroc,0.490778791158585
52,valid,auroc,0.5160452659449629
53,train,auroc,0.4990746258158486
53,valid,auroc,0.5147266121525009
54,train,auroc,0.4890329874333893
54,valid,auroc,0.5122482822870112
55,train,auroc,0.4928040829300892
55,valid,auroc,0.514405965217254
56,train,auroc,0.5051419178190699
56,valid,auroc,0.5145789387178572
57,train,auroc,0.47386624423487594
57,valid,auroc,0.512481186440313
58,train,auroc,0.48719686605623785
58,valid,auroc,0.5137596472201866
59,train,auroc,0.5088184843762518
59,valid,auroc,0.5167272911273207
60,train,auroc,0.47171340831525477
60,valid,auroc,0.5128030894072032
61,train,auroc,0.49999746036856935
61,valid,auroc,0.5173965765601527
62,train,auroc,0.5250130389178264
62,valid,auroc,0.5129539926375013
63,train,auroc,0.5154428397117088
63,valid,auroc,0.519447496800708
64,train,auroc,0.49904328226338124
64,valid,auroc,0.5208257223796847
65,train,auroc,0.5079995979024059
65,valid,auroc,0.5207496427487139
66,train,auroc,0.5015813706268673
66,valid,auroc,0.5223387022106875
67,train,auroc,0.501927467740573
67,valid,auroc,0.5169700641006778
68,train,auroc,0.49666480491322884
68,valid,auroc,0.51076455004999
69,train,auroc,0.476809677063039
69,valid,auroc,0.5206547226430925
70,train,auroc,0.5048230172647359
70,valid,auroc,0.5207871442649237
71,train,auroc,0.5169085767403966
71,valid,auroc,0.5194613131487852
72,train,auroc,0.4717031854950655
72,valid,auroc,0.5164929515092834
73,train,auroc,0.4793521374502538
73,valid,auroc,0.514869082027479
74,train,auroc,0.4777785143066118
74,valid,auroc,0.5194031768270058
75,train,auroc,0.4913971431911066
75,valid,auroc,0.512330283210015
76,train,auroc,0.5048254604544667
76,valid,auroc,0.5120047915812863
77,train,auroc,0.5004801992974158
77,valid,auroc,0.510670885976012
78,train,auroc,0.4991364288718674
78,valid,auroc,0.5062308141166473
79,train,auroc,0.5070596770951863
79,valid,auroc,0.5037562523460878
80,train,auroc,0.4755064925195317
80,valid,auroc,0.506055866852033
81,train,auroc,0.5026625945980561
81,valid,auroc,0.5007921971007919
82,train,auroc,0.49903931208006874
82,valid,auroc,0.5052369342205463
83,train,auroc,0.5134518008172855
83,valid,auroc,0.5071093185346489
84,train,auroc,0.4756389551943435
84,valid,auroc,0.5071197256539798
85,train,auroc,0.4825303736704386
85,valid,auroc,0.510362619924107
86,train,auroc,0.49447077231413405
86,valid,auroc,0.5151908055612775
87,train,auroc,0.4766885623615821
87,valid,auroc,0.5097001529487676
88,train,auroc,0.47743198320525665
88,valid,auroc,0.5147933612626922
89,train,auroc,0.5089752342858216
89,valid,auroc,0.5186163627189712
90,train,auroc,0.4981053706582429
90,valid,auroc,0.5262715167192167
91,train,auroc,0.4999936509214232
91,valid,auroc,0.5175645259341826
92,train,auroc,0.48931130210568236
92,valid,auroc,0.519782139517124
93,train,auroc,0.5028775631471318
93,valid,auroc,0.5279039989894329
94,train,auroc,0.5008180667193968
94,valid,auroc,0.5162704544753125
95,train,auroc,0.5114251106411329
95,valid,auroc,0.5205097407048275
96,train,auroc,0.46902236341572845
96,valid,auroc,0.5164087973891768
97,train,auroc,0.49259012701886234
97,valid,auroc,0.5159261223719331
98,train,auroc,0.507584368163489
98,valid,auroc,0.5151990594835055
99,train,auroc,0.50761530987554
99,valid,auroc,0.5206927624585779
100,train,auroc,0.4836667783675866
100,valid,auroc,0.5217429843455393
101,train,auroc,0.4964785277698731
101,valid,auroc,0.520655619808552
102,train,auroc,0.5100489840252682
102,valid,auroc,0.5200983006250731
103,train,auroc,0.4972029817459008
103,valid,auroc,0.5222444998374336
104,train,auroc,0.5205070898151264
104,valid,auroc,0.5195501325292817
105,train,auroc,0.4949201906356653
105,valid,auroc,0.5323995156741983
106,train,auroc,0.4966245083562875
106,valid,auroc,0.5283757285880697
107,train,auroc,0.5038273853022077
107,valid,auroc,0.5304113970158124
108,train,auroc,0.5113969175175289
108,valid,auroc,0.5325473685419339
109,train,auroc,0.4963030038760562
109,valid,auroc,0.5352937714467403
110,train,auroc,0.4753454348806997
110,valid,auroc,0.5452429775270818
111,train,auroc,0.4999371521588989
111,valid,auroc,0.5359750788967306
112,train,auroc,0.5057089628672451
112,valid,auroc,0.5401020400107086
113,train,auroc,0.48640737822724467
113,valid,auroc,0.5249589636518797
114,train,auroc,0.5084626145036228
114,valid,auroc,0.5427547788415369
115,train,auroc,0.48663735953427145
115,valid,auroc,0.5283567086803271
116,train,auroc,0.49630419332368836
116,valid,auroc,0.5441927556401204
117,train,auroc,0.5024513229808099
117,valid,auroc,0.5385041883272313
118,train,auroc,0.5019677160766642
118,valid,auroc,0.5394015332198838
119,train,auroc,0.49992324848049674
119,valid,auroc,0.5322172116528155
120,train,auroc,0.5060034154506547
120,valid,auroc,0.5229473392584534
121,train,auroc,0.5026628839231557
121,valid,auroc,0.5627658749839408
122,train,auroc,0.4799715985623243
122,valid,auroc,0.5293837836984318
123,train,auroc,0.49017144955346853
123,valid,auroc,0.5311422279991703
124,train,auroc,0.4875823596043524
124,valid,auroc,0.5678127895601521
125,train,auroc,0.5073167263726515
125,valid,auroc,0.5361792737553265
126,train,auroc,0.4920410040532518
126,valid,auroc,0.5257798700473775
127,train,auroc,0.48557028034573446
127,valid,auroc,0.5429078352689378
128,train,auroc,0.502122858624569
128,valid,auroc,0.5096969231531131
129,train,auroc,0.5025622470093107
129,valid,auroc,0.5053040421969214
130,train,auroc,0.5121085608210867
130,valid,auroc,0.5258857355716056
131,train,auroc,0.5147158139570172
131,valid,auroc,0.5191239789359905
132,train,auroc,0.4801188811116873
132,valid,auroc,0.5095898015972415
133,train,auroc,0.48706218522232836
133,valid,auroc,0.5294446115165901
134,train,auroc,0.4725492363810497
134,valid,auroc,0.5332419540407256
135,train,auroc,0.4963519641123718
135,valid,auroc,0.5225608403784746
136,train,auroc,0.477784429397539
136,valid,auroc,0.5253255454586561
137,train,auroc,0.5185012149725352
137,valid,auroc,0.5271234650396153
138,train,auroc,0.47764261187783696
138,valid,auroc,0.543930245026653
139,train,auroc,0.4930686385865299
139,valid,auroc,0.5231814994433985
140,train,auroc,0.4916215951740059
140,valid,auroc,0.520304648680772
141,train,auroc,0.49999561190265457
141,valid,auroc,0.5155207830173039
142,train,auroc,0.5040772496730305
142,valid,auroc,0.5341979735544332
143,train,auroc,0.5049833194435854
143,valid,auroc,0.5470120083802431
144,train,auroc,0.4939254266484362
144,valid,auroc,0.527740356009609
145,train,auroc,0.48876637435401743
145,valid,auroc,0.5402384091605618
146,train,auroc,0.5082496230093951
146,valid,auroc,0.5404897949223305
147,train,auroc,0.5069416163808929
147,valid,auroc,0.5267961790799676
148,train,auroc,0.5079646860070424
148,valid,auroc,0.5425516605814924
149,train,auroc,0.48996059585025514
149,valid,auroc,0.5229692300956665
150,train,auroc,0.4890015313656055
150,valid,auroc,0.5342622106013377
151,train,auroc,0.506934351106167
151,valid,auroc,0.5170960261312001
152,train,auroc,0.48644389748427325
152,valid,auroc,0.5138633595473118
153,train,auroc,0.5016693576044087
153,valid,auroc,0.5039828763411727
154,train,auroc,0.5075896081625169
154,valid,auroc,0.4963984189791406
155,train,auroc,0.47180223112086217
155,valid,auroc,0.507553774303315
156,train,auroc,0.5160712699018699
156,valid,auroc,0.46960546969482736
157,train,auroc,0.4986057744917876
157,valid,auroc,0.516685842083089
158,train,auroc,0.4951905649413332
158,valid,auroc,0.5061297932859007
159,train,auroc,0.5069667876645665
159,valid,auroc,0.5111856795167078
160,train,auroc,0.4864592960090239
160,valid,auroc,0.5190986788700309
161,train,auroc,0.49959740412376996
161,valid,auroc,0.5163583766903493
162,train,auroc,0.4856594406972915
162,valid,auroc,0.515187934631807
163,train,auroc,0.5047081712737724
163,valid,auroc,0.5153230477500167
164,train,auroc,0.5047546240258907
164,valid,auroc,0.5013188332255538
165,train,auroc,0.4928986761640738
165,valid,auroc,0.5177493420188519
166,train,auroc,0.5224690354634133
166,valid,auroc,0.5052717442403771
167,train,auroc,0.5045312650489236
167,valid,auroc,0.5120062270460217
168,train,auroc,0.49390072149964526
168,valid,auroc,0.512462884264938
169,train,auroc,0.46487850467530073
169,valid,auroc,0.51045861662828
170,train,auroc,0.48737735669759963
170,valid,auroc,0.5129468153138249
171,train,auroc,0.5057363844572499
171,valid,auroc,0.5056955652034736
172,train,auroc,0.5071132183122471
172,valid,auroc,0.5139471548012349
173,train,auroc,0.4879796833343213
173,valid,auroc,0.5123618634341914
174,train,auroc,0.5080794516299226
174,valid,auroc,0.5127106813648686
175,train,auroc,0.47379609897181574
175,valid,auroc,0.5151192117576046
176,train,auroc,0.5069262178561421
176,valid,auroc,0.501343056692962
177,train,auroc,0.48814665606408053
177,valid,auroc,0.5242986498736433
178,train,auroc,0.4719752957513316
178,valid,auroc,0.5154359111648295
179,train,auroc,0.494767410909408
179,valid,auroc,0.5169702435337696
180,train,auroc,0.48967673578021786
180,valid,auroc,0.5232466336557627
181,train,auroc,0.5089761504819705
181,valid,auroc,0.5140953665351542
182,train,auroc,0.48540472209424057
182,valid,auroc,0.5170524238898654
183,train,auroc,0.49503828349719203
