epoch,subset,metric,score
0,train,auroc,0.49455967548782465
0,valid,auroc,0.47454472441589146
1,train,auroc,0.5034958508851869
1,valid,auroc,0.4552951423155625
2,train,auroc,0.5256658688580621
2,valid,auroc,0.47134184372526067
3,train,auroc,0.5052538223381866
3,valid,auroc,0.4661287741059387
4,train,auroc,0.5490550224329823
4,valid,auroc,0.4744846143301009
5,train,auroc,0.5339410328443139
5,valid,auroc,0.4797222662830148
6,train,auroc,0.54805053390768
6,valid,auroc,0.4830349600258958
7,train,auroc,0.5743295308728527
7,valid,auroc,0.4839210006337577
8,train,auroc,0.5975675442304138
8,valid,auroc,0.48206117663608883
9,train,auroc,0.6091668446551817
9,valid,auroc,0.49250095278971806
10,train,auroc,0.6033012443936833
10,valid,auroc,0.48256251269489125
11,train,auroc,0.6185217859871239
11,valid,auroc,0.48047875619851615
12,train,auroc,0.6256112314203457
12,valid,auroc,0.46965571096056286
13,train,auroc,0.6557864087669877
13,valid,auroc,0.4695825022590626
14,train,auroc,0.6525153634842663
14,valid,auroc,0.4676991725263533
15,train,auroc,0.6629469478066522
15,valid,auroc,0.46477297766345105
16,train,auroc,0.6582417822991933
16,valid,auroc,0.4602510843141744
17,train,auroc,0.6662063718645357
17,valid,auroc,0.46603869869379877
18,train,auroc,0.6726268815936387
18,valid,auroc,0.4538474761300158
19,train,auroc,0.6819978643949973
19,valid,auroc,0.44072661071703617
20,train,auroc,0.6931056818434613
20,valid,auroc,0.4442817185670904
21,train,auroc,0.7080965153813582
21,valid,auroc,0.44541753003889395
22,train,auroc,0.6829458380841587
22,valid,auroc,0.455298372111217
23,train,auroc,0.7151376756701637
23,valid,auroc,0.44014955389344684
24,train,auroc,0.7174611491041402
24,valid,auroc,0.4491310773091065
25,train,auroc,0.730718957442078
25,valid,auroc,0.43598867992509743
26,train,auroc,0.730798345034712
26,valid,auroc,0.4132597107395012
27,train,auroc,0.7450082258340568
27,valid,auroc,0.41072306511914003
28,train,auroc,0.7512670992741284
28,valid,auroc,0.39854063477686064
29,train,auroc,0.7493423961956193
29,valid,auroc,0.4127522739555738
30,train,auroc,0.7529217495193024
30,valid,auroc,0.4067870208149564
31,train,auroc,0.7643115785718888
31,valid,auroc,0.4119665364460907
32,train,auroc,0.7622969596818401
32,valid,auroc,0.40088187776012957
33,train,auroc,0.7779170431643473
33,valid,auroc,0.4098409720393001
34,train,auroc,0.7874437310901936
34,valid,auroc,0.4146732846375847
35,train,auroc,0.7903837884588603
35,valid,auroc,0.4064091347233895
36,train,auroc,0.787579617445352
36,valid,auroc,0.419767031250785
37,train,auroc,0.8003648132329327
37,valid,auroc,0.39154471795630014
38,train,auroc,0.798816393520198
38,valid,auroc,0.41833533461041844
39,train,auroc,0.8015270803792705
39,valid,auroc,0.42726284866541253
40,train,auroc,0.8050676480659773
40,valid,auroc,0.405848765177348
41,train,auroc,0.7980788395466005
41,valid,auroc,0.4193195251195563
42,train,auroc,0.7963384365565991
42,valid,auroc,0.4188718395552356
43,train,auroc,0.8138272226372072
43,valid,auroc,0.408702289638026
44,train,auroc,0.8101820157061095
44,valid,auroc,0.41817617745789243
45,train,auroc,0.811229469008717
45,valid,auroc,0.4291314648845851
46,train,auroc,0.8299337902012405
46,valid,auroc,0.4145823120599852
47,train,auroc,0.8353683121378053
47,valid,auroc,0.4235331524169278
48,train,auroc,0.825482266364517
48,valid,auroc,0.41840746671336715
49,train,auroc,0.8395721415419537
49,valid,auroc,0.41918853896246044
50,train,auroc,0.834792635557489
50,valid,auroc,0.4205102431174849
51,train,auroc,0.8473621877040947
51,valid,auroc,0.42947705301960776
52,train,auroc,0.8439931094334256
52,valid,auroc,0.4076059534464432
53,train,auroc,0.8445000713025634
53,valid,auroc,0.43990211565970005
54,train,auroc,0.8571773970488068
54,valid,auroc,0.41664202452204413
55,train,auroc,0.8582090017653975
55,valid,auroc,0.43485143298855866
56,train,auroc,0.8510860910623106
56,valid,auroc,0.4287401213111247
57,train,auroc,0.8657828577835975
57,valid,auroc,0.42197459658057956
58,train,auroc,0.8648707282595657
58,valid,auroc,0.43541305856624346
59,train,auroc,0.8686602280473295
59,valid,auroc,0.45673563117743277
60,train,auroc,0.8760709529301496
60,valid,auroc,0.4328746186149631
61,train,auroc,0.883886234670431
61,valid,auroc,0.4363227843422377
62,train,auroc,0.8849525262517521
62,valid,auroc,0.44542201586619173
63,train,auroc,0.8891315379917932
63,valid,auroc,0.4341534382610206
64,train,auroc,0.886602000792365
64,valid,auroc,0.43947111737292727
65,train,auroc,0.8885868995652279
65,valid,auroc,0.44273500531480814
66,train,auroc,0.8906337782038929
66,valid,auroc,0.45694251753240744
67,train,auroc,0.8900774221107899
67,valid,auroc,0.45350242629426885
68,train,auroc,0.8911111967656282
