epoch,subset,metric,score
0,train,auroc,0.4891082119593108
0,valid,auroc,0.4882234473116257
1,train,auroc,0.49542906526518443
1,valid,auroc,0.4940720689425003
2,train,auroc,0.5073690942156969
2,valid,auroc,0.4933286776427085
3,train,auroc,0.4851869085150177
3,valid,auroc,0.49292154395716
4,train,auroc,0.4996006509943332
4,valid,auroc,0.49679981080574787
5,train,auroc,0.4830179829051301
5,valid,auroc,0.4943230958380853
6,train,auroc,0.5085462776782856
6,valid,auroc,0.4916059405272606
7,train,auroc,0.4711422484212172
7,valid,auroc,0.5014465895869953
8,train,auroc,0.47595566973681314
8,valid,auroc,0.5054902937463261
9,train,auroc,0.48464670640664786
9,valid,auroc,0.509293019263219
10,train,auroc,0.5058123322959207
10,valid,auroc,0.5099926288885842
11,train,auroc,0.5254586960130616
11,valid,auroc,0.5003676584053278
12,train,auroc,0.5154299325975389
12,valid,auroc,0.5013563347417636
13,train,auroc,0.4919875914251242
13,valid,auroc,0.5028325307889242
14,train,auroc,0.49756831897873643
14,valid,auroc,0.49916168859458676
15,train,auroc,0.5054451787444036
15,valid,auroc,0.4976720350655326
16,train,auroc,0.536613769894476
16,valid,auroc,0.4925070535148431
17,train,auroc,0.5253894669461504
17,valid,auroc,0.490057971243335
18,train,auroc,0.5233212264709578
18,valid,auroc,0.4863926914748467
19,train,auroc,0.5208420479124938
19,valid,auroc,0.48300445640027073
20,train,auroc,0.5340874634919945
20,valid,auroc,0.4877318006397866
21,train,auroc,0.5259849944430293
21,valid,auroc,0.4843606117089423
22,train,auroc,0.5489036089641404
22,valid,auroc,0.48980604718229037
23,train,auroc,0.5656727149328655
23,valid,auroc,0.4835267861308268
24,train,auroc,0.563272168507053
24,valid,auroc,0.4855845248288747
25,train,auroc,0.557446302225913
25,valid,auroc,0.4827738848771637
26,train,auroc,0.5350065528920358
26,valid,auroc,0.48252339628085444
27,train,auroc,0.5704044501286467
27,valid,auroc,0.48294039878645817
28,train,auroc,0.5770227457106267
28,valid,auroc,0.48753406537249955
29,train,auroc,0.588072649918301
29,valid,auroc,0.4836008919977865
30,train,auroc,0.5930340128015427
30,valid,auroc,0.48132083569885953
31,train,auroc,0.6004444644328797
31,valid,auroc,0.4775708635109889
32,train,auroc,0.5936314691324195
32,valid,auroc,0.4713610430660953
33,train,auroc,0.6116723678713349
33,valid,auroc,0.47106713166154324
34,train,auroc,0.6062352580824895
34,valid,auroc,0.4726606769508145
35,train,auroc,0.6064670235609645
35,valid,auroc,0.4688084279005539
36,train,auroc,0.6057639957159311
36,valid,auroc,0.46759833112869875
37,train,auroc,0.6162374196624566
37,valid,auroc,0.46862038202022993
38,train,auroc,0.602153282766164
38,valid,auroc,0.46730118992849234
39,train,auroc,0.6273143436197193
39,valid,auroc,0.46497681365586313
40,train,auroc,0.6202346066509541
40,valid,auroc,0.4669597287545836
41,train,auroc,0.6304951355449516
41,valid,auroc,0.4655136774668642
42,train,auroc,0.6304533923625117
42,valid,auroc,0.4707055739813404
43,train,auroc,0.6229449720376936
43,valid,auroc,0.46994495710472506
44,train,auroc,0.6450651617989541
44,valid,auroc,0.4716239125457464
45,train,auroc,0.6346307645936545
45,valid,auroc,0.4711667170275544
46,train,auroc,0.6403174333546062
46,valid,auroc,0.4734492853897681
47,train,auroc,0.6240680034857888
47,valid,auroc,0.4726779025276381
48,train,auroc,0.6419574726822456
48,valid,auroc,0.4749453985101312
49,train,auroc,0.6429628452564635
49,valid,auroc,0.47161027563076113
50,train,auroc,0.6342482607382367
50,valid,auroc,0.47514169831268294
51,train,auroc,0.6380841007628024
51,valid,auroc,0.4717396468900298
52,train,auroc,0.6562398937135314
52,valid,auroc,0.4733690787976834
53,train,auroc,0.6463036982562955
53,valid,auroc,0.4707305151811162
54,train,auroc,0.6431258638765268
54,valid,auroc,0.46495994694522336
55,train,auroc,0.6417602815531845
55,valid,auroc,0.4613181729117756
56,train,auroc,0.6540804033166172
56,valid,auroc,0.4697604998862394
57,train,auroc,0.6398524557721579
57,valid,auroc,0.47153186336959557
58,train,auroc,0.6626534114193916
58,valid,auroc,0.47018252651841663
59,train,auroc,0.6438486140491897
59,valid,auroc,0.45932538899299996
60,train,auroc,0.6426083094940167
60,valid,auroc,0.45183782550060037
61,train,auroc,0.6440048656766433
61,valid,auroc,0.4676288347543238
62,train,auroc,0.6541403096858713
62,valid,auroc,0.4520820339386927
63,train,auroc,0.6561804856263933
63,valid,auroc,0.4392692551445262
64,train,auroc,0.6730437990623037
64,valid,auroc,0.4381214216555645
