epoch,subset,metric,score
0,train,auroc,0.5106377284559208
0,valid,auroc,0.5113274316593183
1,train,auroc,0.5065330893401189
1,valid,auroc,0.5092650277008808
2,train,auroc,0.5086825819474768
2,valid,auroc,0.5033196916334656
3,train,auroc,0.48921158138798637
3,valid,auroc,0.5073504766101787
4,train,auroc,0.4954783630474497
4,valid,auroc,0.5121086833415036
5,train,auroc,0.4918468990585876
5,valid,auroc,0.5002788390248314
6,train,auroc,0.5145747036764476
6,valid,auroc,0.49541099867434835
7,train,auroc,0.5075338166391251
7,valid,auroc,0.49010121461848577
8,train,auroc,0.5443213584032032
8,valid,auroc,0.4893581821848778
9,train,auroc,0.5591442869415753
9,valid,auroc,0.4674707542003492
10,train,auroc,0.6041463630099018
10,valid,auroc,0.4860953708415484
11,train,auroc,0.5819756860187439
11,valid,auroc,0.4674813407527721
12,train,auroc,0.6211002352020177
12,valid,auroc,0.4713994417477645
13,train,auroc,0.6371428619190175
13,valid,auroc,0.45800386427106743
14,train,auroc,0.6428176683508816
14,valid,auroc,0.44938946096145993
15,train,auroc,0.63082567339774
15,valid,auroc,0.46519949012292605
16,train,auroc,0.6500759832006274
16,valid,auroc,0.45074759003414255
17,train,auroc,0.6410288355539142
17,valid,auroc,0.4455140650423426
18,train,auroc,0.625042145022856
18,valid,auroc,0.45487724264449925
19,train,auroc,0.6411409811772806
19,valid,auroc,0.46483003738667905
20,train,auroc,0.6405454054595517
20,valid,auroc,0.4551616440951799
21,train,auroc,0.644273102191297
21,valid,auroc,0.45567554047041614
22,train,auroc,0.6516601506367916
22,valid,auroc,0.4462258761179579
23,train,auroc,0.653168193424502
23,valid,auroc,0.4408012548832716
24,train,auroc,0.6527774920245929
24,valid,auroc,0.432379024415102
25,train,auroc,0.6559370828494638
25,valid,auroc,0.4453249425634672
26,train,auroc,0.6594570441596257
26,valid,auroc,0.440159602146594
27,train,auroc,0.6601116261240763
27,valid,auroc,0.42374578063084367
28,train,auroc,0.6428132963271529
28,valid,auroc,0.4396139461140893
29,train,auroc,0.6399046628790369
29,valid,auroc,0.4359727103799173
30,train,auroc,0.6392815530559868
30,valid,auroc,0.465368874961691
31,train,auroc,0.6488747857547636
31,valid,auroc,0.44215202719918584
32,train,auroc,0.6383957199687941
32,valid,auroc,0.44990568996689095
33,train,auroc,0.6412468420165368
33,valid,auroc,0.44533086385550036
34,train,auroc,0.6468332435568265
34,valid,auroc,0.4288535230252132
35,train,auroc,0.6484801784660086
35,valid,auroc,0.43795329284844287
36,train,auroc,0.6546981606253228
36,valid,auroc,0.4345555478199956
37,train,auroc,0.6502462670954164
37,valid,auroc,0.44459375271392554
38,train,auroc,0.6670352400543211
38,valid,auroc,0.44170254730394604
39,train,auroc,0.6472515915773733
39,valid,auroc,0.4416009881739238
40,train,auroc,0.6690196405450679
40,valid,auroc,0.4424665734093077
41,train,auroc,0.6639465178052595
41,valid,auroc,0.43518158987767686
42,train,auroc,0.6625055984406791
42,valid,auroc,0.4355497865822805
43,train,auroc,0.6711135345124338
43,valid,auroc,0.44694271132014673
44,train,auroc,0.6622927837562345
44,valid,auroc,0.442351556797392
45,train,auroc,0.640222454353822
45,valid,auroc,0.44270575772082654
46,train,auroc,0.6466885327861274
46,valid,auroc,0.43236143997209453
47,train,auroc,0.6576798647347293
47,valid,auroc,0.43491602890164693
48,train,auroc,0.6630706985812396
48,valid,auroc,0.4306964803122423
49,train,auroc,0.653394493873316
49,valid,auroc,0.4376992155902954
50,train,auroc,0.6716237914729849
50,valid,auroc,0.4277135845922957
51,train,auroc,0.6645123573321859
51,valid,auroc,0.4318296002876671
52,train,auroc,0.6569388227863191
52,valid,auroc,0.4279452327139543
53,train,auroc,0.6717651107105709
53,valid,auroc,0.4290447987011915
54,train,auroc,0.6520588727714092
54,valid,auroc,0.43377878196510816
55,train,auroc,0.6310854873372691
55,valid,auroc,0.43473354544717235
56,train,auroc,0.6544401147836253
56,valid,auroc,0.4329684621220332
57,train,auroc,0.6487668514189595
57,valid,auroc,0.4306702830808231
58,train,auroc,0.6501475268683361
58,valid,auroc,0.4244947343564847
59,train,auroc,0.6544008790853828
59,valid,auroc,0.4339348887550717
60,train,auroc,0.6263115267505487
60,valid,auroc,0.4586945022418371
61,train,auroc,0.6262953245449656
61,valid,auroc,0.44804801916632514
62,train,auroc,0.5844530482585265
62,valid,auroc,0.4359929863193034
63,train,auroc,0.6338789051012388
