epoch,subset,metric,score
0,train,auroc,0.4969173857252653
0,valid,auroc,0.4818611087386069
1,train,auroc,0.5078079200238558
1,valid,auroc,0.4765419941619649
2,train,auroc,0.5199048113992546
2,valid,auroc,0.48406903293458514
3,train,auroc,0.5153770021779107
3,valid,auroc,0.47857784202279946
4,train,auroc,0.5376097394029539
4,valid,auroc,0.4823193808553504
5,train,auroc,0.5485327263335604
5,valid,auroc,0.47721127959479703
6,train,auroc,0.5409322363325716
6,valid,auroc,0.485714434387419
7,train,auroc,0.5744192698746091
7,valid,auroc,0.4850874951642781
8,train,auroc,0.5812349012481999
8,valid,auroc,0.48197594591743065
9,train,auroc,0.6014395820396752
9,valid,auroc,0.49133553485774906
10,train,auroc,0.6081004727057773
10,valid,auroc,0.4817739042559376
11,train,auroc,0.6217356734890382
11,valid,auroc,0.48211410939820293
12,train,auroc,0.6268749391613611
12,valid,auroc,0.47008132625457827
13,train,auroc,0.6471160588417815
13,valid,auroc,0.46823854840064105
14,train,auroc,0.6524899189491096
14,valid,auroc,0.4708484027225024
15,train,auroc,0.656779099257669
15,valid,auroc,0.4667383083191641
16,train,auroc,0.6633638170544673
16,valid,auroc,0.4659120189309089
17,train,auroc,0.6714010915143006
17,valid,auroc,0.46800995064154505
18,train,auroc,0.6807910411833062
18,valid,auroc,0.45457579505008694
19,train,auroc,0.6793226520078712
19,valid,auroc,0.4479152386783102
20,train,auroc,0.7018167462396416
20,valid,auroc,0.4445994945728667
21,train,auroc,0.7209843090640153
21,valid,auroc,0.4653238372556211
22,train,auroc,0.6991644709034748
22,valid,auroc,0.4696348967219009
23,train,auroc,0.7228908328820933
23,valid,auroc,0.46802968828165536
24,train,auroc,0.7359035024925036
24,valid,auroc,0.46355157660680535
25,train,auroc,0.7260379184332107
25,valid,auroc,0.47496908367826357
26,train,auroc,0.7386465616155091
26,valid,auroc,0.4450992157338418
27,train,auroc,0.7488796367722687
27,valid,auroc,0.468720505685517
28,train,auroc,0.7660020890558088
28,valid,auroc,0.4266599534765879
29,train,auroc,0.7714483768797612
29,valid,auroc,0.43825474044285523
30,train,auroc,0.7668848520822213
30,valid,auroc,0.42991558749624087
31,train,auroc,0.7750319093437734
31,valid,auroc,0.4082747005799995
