,real,permuted
0,ABL1,CA5A
1,ADA,FOXM1
2,ADH1C,ADORA2A
3,ADORA2A,S100B
4,ADRA2B,ICAM1
5,AGER,P2RY12
6,AKR1B1,PDE7A
7,AKT1,MMP2
8,ALDH2,PDE4D
9,ANXA1,PLA2G1B
10,ASIC1,CHEK2
11,ATM,ADH1C
12,ATP5F1D,ADRA2B
13,AURKB,CATSPER4
14,AVPR1A,SCNN1G
15,BAX,RGS4
16,BRAF,MAPK8
17,BRD4,IMPDH1
18,BTK,CASP3
19,CA14,KCNN1
20,CA5A,PTGIS
21,CACNA2D3,PTGIR
22,CACNB4,ABL1
23,CACNG1,COMT
24,CASP3,RPL23A
25,CATSPER4,ERBB2
26,CCND1,HBB
27,CCR1,LPAR1
28,CDC25A,KCTD16
29,CDK2,PRKCB
30,CDK4,KRAS
31,CDK7,DNMT3A
32,CDK9,AURKB
33,CHEK2,HSP90AB1
34,CHRM2,CDC25A
35,CHRM3,AGER
36,CLK1,S1PR2
37,COMT,SLC29A1
38,CSF1R,FGF1
39,CSK,IGF1R
40,CTSG,ATP5F1D
41,CYP1A2,HSD11B1
42,CYP3A4,RNASE1
43,DCK,FFAR2
44,DDR2,KCNN4
45,DHH,VEGFA
46,DNMT3A,DHH
47,DYRK1B,JAK1
48,EDNRB,HIF1A
49,ELANE,AKT1
50,ERBB2,BTK
51,F10,F10
52,FFAR2,KCNMA1
53,FFAR4,TNNC1
54,FGF1,KCNK1
55,FLT3,CSF1R
56,FOXM1,ALDH2
57,FPR1,MET
58,GAA,PTK2B
59,GABRB2,CCR1
60,GHSR,PDE3A
61,GJB4,PRKCE
62,GLRA3,TGM2
63,GPR119,CACNA2D3
64,GPR55,HDAC3
65,GRIN2A,GABRB2
66,HBB,GRIN2A
67,HCK,HPGDS
68,HDAC3,PAK4
69,HDAC6,KCNQ2
70,HIF1A,CCND1
71,HPGDS,HRH4
72,HRH4,S1PR4
73,HSD11B1,TBXAS1
74,HSP90AA1,ASIC1
75,HSP90AB1,USP1
76,HTR2C,CDK2
77,HTR3A,GPR119
78,ICAM1,FLT3
79,IGF1R,KDR
80,IL1B,CYP3A4
81,IMPDH1,BRD4
82,JAK1,CSK
83,KCNH7,SLC7A11
84,KCNJ1,FFAR4
85,KCNK1,HTR2C
86,KCNMA1,PAK1
87,KCNN1,CTSG
88,KCNN4,IL1B
89,KCNQ2,HDAC6
90,KCTD16,PORCN
91,KDR,ADA
92,KRAS,LCK
93,LCK,OPRL1
94,LPAR1,PPARD
95,MAPK8,ATM
96,MET,TUBB
97,MME,KCNJ1
98,MMP2,KCNH7
99,NAMPT,DCK
100,OPRL1,RET
101,P2RY12,CDK9
102,P3H1,GJB4
103,PAK1,FPR1
104,PAK4,PARP3
105,PARP3,CACNG1
106,PDE3A,TUBB4B
107,PDE4D,PPAT
108,PDE7A,BAX
109,PDPK1,EDNRB
110,PIK3CG,GHSR
111,PLA2G1B,PDPK1
112,PLK1,ANXA1
113,PNLIP,GLRA3
114,PORCN,CDK7
115,PPARD,PTPN2
116,PPAT,BRAF
117,PRKCB,DDR2
118,PRKCE,PLK1
119,PTGIR,SSTR2
120,PTGIS,NAMPT
121,PTK2B,TNF
122,PTPN2,HCK
123,RET,CHRM2
124,RGS4,CDK4
125,RNASE1,GAA
126,RPL23A,HSP90AA1
127,S100B,CHRM3
128,S1PR2,HTR3A
129,S1PR4,ELANE
130,SCNN1G,AKR1B1
131,SLC29A1,P3H1
132,SLC7A11,SLCO2B1
133,SLCO2B1,CYP1A2
134,SSTR2,PIK3CG
135,TBXAS1,CACNB4
136,TGFBR1,CA14
137,TGM2,GPR55
138,TNF,DYRK1B
139,TNNC1,PNLIP
140,TUBB,AVPR1A
141,TUBB3,TUBB3
142,TUBB4B,CLK1
143,USP1,MME
144,VEGFA,TGFBR1
145,AKR1C1,MAPK14
146,ALK,SIRT2
147,CYP2A6,LYN
148,EZH2,PLD1
149,GUCY1B1,UGT1A9
150,ITGB2,GUCY1B1
151,LYN,S1PR1
152,MAPK14,ITGB2
153,NTRK1,RPL3
154,OPRM1,NTRK1
155,PLD1,AKR1C1
156,RPL3,OPRM1
157,S1PR1,EZH2
158,SIRT2,ALK
159,UGT1A9,CYP2A6
