,real,permuted
0,ccsbBroad304_00900,ccsbBroad304_00396
1,ccsbBroad304_07795,ccsbBroad304_00407
2,ccsbBroad304_02826,ccsbBroad304_07795
3,ccsbBroad304_01492,ccsbBroad304_00055
4,ccsbBroad304_00691,ccsbBroad304_00607
5,ccsbBroad304_00902,ccsbBroad304_00843
6,ccsbBroad304_02705,ccsbBroad304_14540
7,ccsbBroad304_01122,ccsbBroad304_14720
8,ccsbBroad304_00305,ccsbBroad304_00037
9,ccsbBroad304_06365,ccsbBroad304_00155
10,ccsbBroad304_06071,ccsbBroad304_00954
11,ccsbBroad304_05926,ccsbBroad304_06018
12,ccsbBroad304_06272,ccsbBroad304_06701
13,ccsbBroad304_00202,ccsbBroad304_14525
14,ccsbBroad304_14724,ccsbBroad304_00902
15,ccsbBroad304_14684,ccsbBroad304_00023
16,ccsbBroad304_04505,ccsbBroad304_02826
17,ccsbBroad304_01121,ccsbBroad304_14827
18,ccsbBroad304_06088,ccsbBroad304_00371
19,ccsbBroad304_08873,ccsbBroad304_14579
20,ccsbBroad304_05921,ccsbBroad304_01334
21,ccsbBroad304_00304,ccsbBroad304_00272
22,ccsbBroad304_00376,ccsbBroad304_14671
23,ccsbBroad304_00477,ccsbBroad304_06754
24,ccsbBroad304_02129,ccsbBroad304_10895
25,ccsbBroad304_07061,ccsbBroad304_02128
26,ccsbBroad304_01768,ccsbBroad304_01666
27,ccsbBroad304_06018,ccsbBroad304_00504
28,ccsbBroad304_00155,ccsbBroad304_06353
29,ccsbBroad304_06464,ccsbBroad304_06343
30,ccsbBroad304_00681,ccsbBroad304_10934
31,ccsbBroad304_00799,ccsbBroad304_01760
32,ccsbBroad304_11023,ccsbBroad304_06755
33,ccsbBroad304_14688,ccsbBroad304_01121
34,ccsbBroad304_00277,ccsbBroad304_16173
35,ccsbBroad304_14525,ccsbBroad304_05921
36,ccsbBroad304_06403,ccsbBroad304_01649
37,ccsbBroad304_14696,ccsbBroad304_05206
38,ccsbBroad304_10688,ccsbBroad304_05777
39,ccsbBroad304_16175,ccsbBroad304_01287
40,ccsbBroad304_00607,ccsbBroad304_00331
41,ccsbBroad304_06811,ccsbBroad304_01602
42,ccsbBroad304_06188,ccsbBroad304_06188
43,ccsbBroad304_06353,ccsbBroad304_00691
44,ccsbBroad304_01684,ccsbBroad304_14931
45,ccsbBroad304_06412,ccsbBroad304_00008
46,ccsbBroad304_05439,ccsbBroad304_01690
47,ccsbBroad304_00954,ccsbBroad304_00476
48,ccsbBroad304_00129,ccsbBroad304_05785
49,ccsbBroad304_06483,ccsbBroad304_00805
50,ccsbBroad304_14720,ccsbBroad304_06874
51,ccsbBroad304_01602,ccsbBroad304_14762
52,ccsbBroad304_00526,ccsbBroad304_01216
53,ccsbBroad304_06085,ccsbBroad304_00681
54,ccsbBroad304_14741,ccsbBroad304_06138
55,ccsbBroad304_00142,ccsbBroad304_01492
56,ccsbBroad304_00326,ccsbBroad304_02129
57,ccsbBroad304_01396,ccsbBroad304_00277
58,ccsbBroad304_01216,ccsbBroad304_06088
59,ccsbBroad304_07557,ccsbBroad304_06085
60,ccsbBroad304_14597,ccsbBroad304_00555
61,ccsbBroad304_16173,ccsbBroad304_14688
62,ccsbBroad304_14679,ccsbBroad304_00376
63,ccsbBroad304_00494,ccsbBroad304_14538
64,ccsbBroad304_06221,ccsbBroad304_14696
65,ccsbBroad304_03976,ccsbBroad304_00280
66,ccsbBroad304_05821,ccsbBroad304_01213
67,ccsbBroad304_05555,ccsbBroad304_14631
68,ccsbBroad304_14827,ccsbBroad304_00304
69,ccsbBroad304_02416,ccsbBroad304_00326
70,ccsbBroad304_07194,ccsbBroad304_07061
71,ccsbBroad304_01213,ccsbBroad304_14741
72,ccsbBroad304_03155,ccsbBroad304_01768
73,ccsbBroad304_01760,ccsbBroad304_01020
74,ccsbBroad304_14644,ccsbBroad304_14597
75,ccsbBroad304_00843,ccsbBroad304_00411
76,ccsbBroad304_05206,ccsbBroad304_00142
77,ccsbBroad304_11445,ccsbBroad304_00904
78,ccsbBroad304_14631,ccsbBroad304_14554
79,ccsbBroad304_00894,ccsbBroad304_05439
80,ccsbBroad304_03441,ccsbBroad304_06071
81,ccsbBroad304_00555,ccsbBroad304_06483
82,ccsbBroad304_00454,ccsbBroad304_03155
83,ccsbBroad304_06343,ccsbBroad304_03441
84,ccsbBroad304_06588,ccsbBroad304_04505
85,ccsbBroad304_14989,ccsbBroad304_00799
86,ccsbBroad304_06755,ccsbBroad304_16175
87,ccsbBroad304_00008,ccsbBroad304_14989
88,ccsbBroad304_02128,ccsbBroad304_07311
89,ccsbBroad304_11738,ccsbBroad304_06451
90,ccsbBroad304_14538,ccsbBroad304_06588
91,ccsbBroad304_01334,ccsbBroad304_07557
92,ccsbBroad304_00396,ccsbBroad304_00129
93,ccsbBroad304_01161,ccsbBroad304_00150
94,ccsbBroad304_00407,ccsbBroad304_06403
95,ccsbBroad304_03934,ccsbBroad304_04829
96,ccsbBroad304_00331,ccsbBroad304_00477
97,ccsbBroad304_10934,ccsbBroad304_01144
98,ccsbBroad304_02415,ccsbBroad304_02415
99,ccsbBroad304_01690,ccsbBroad304_01230
100,ccsbBroad304_06874,ccsbBroad304_01122
101,ccsbBroad304_02392,ccsbBroad304_07535
102,ccsbBroad304_00150,ccsbBroad304_01396
103,ccsbBroad304_14931,ccsbBroad304_14679
104,ccsbBroad304_00371,ccsbBroad304_06464
105,ccsbBroad304_06884,ccsbBroad304_06412
106,ccsbBroad304_01404,ccsbBroad304_06237
107,ccsbBroad304_14762,ccsbBroad304_06272
108,ccsbBroad304_00805,ccsbBroad304_14572
109,ccsbBroad304_14671,ccsbBroad304_14684
110,ccsbBroad304_00037,ccsbBroad304_08873
111,ccsbBroad304_14932,ccsbBroad304_05555
112,ccsbBroad304_14579,ccsbBroad304_14932
113,ccsbBroad304_14540,ccsbBroad304_02705
114,ccsbBroad304_07535,ccsbBroad304_05926
115,ccsbBroad304_04829,ccsbBroad304_01283
116,ccsbBroad304_10895,ccsbBroad304_04933
117,ccsbBroad304_01340,ccsbBroad304_00733
118,ccsbBroad304_00811,ccsbBroad304_14644
119,ccsbBroad304_06908,ccsbBroad304_00305
120,ccsbBroad304_01020,ccsbBroad304_00894
121,ccsbBroad304_06754,ccsbBroad304_01340
122,ccsbBroad304_01287,ccsbBroad304_10688
123,ccsbBroad304_00272,ccsbBroad304_03827
124,ccsbBroad304_01666,ccsbBroad304_02813
125,ccsbBroad304_00576,ccsbBroad304_00049
126,ccsbBroad304_05785,ccsbBroad304_00811
127,ccsbBroad304_14572,ccsbBroad304_01282
128,ccsbBroad304_01230,ccsbBroad304_07194
129,ccsbBroad304_00221,ccsbBroad304_06884
130,ccsbBroad304_02813,ccsbBroad304_00900
131,ccsbBroad304_14635,ccsbBroad304_01684
132,ccsbBroad304_01283,ccsbBroad304_14770
133,ccsbBroad304_01649,ccsbBroad304_00202
134,ccsbBroad304_00904,ccsbBroad304_11445
135,ccsbBroad304_00280,ccsbBroad304_00454
136,ccsbBroad304_00411,ccsbBroad304_01404
137,ccsbBroad304_06138,ccsbBroad304_06365
138,ccsbBroad304_01282,ccsbBroad304_14724
139,ccsbBroad304_01991,ccsbBroad304_00494
140,ccsbBroad304_03827,ccsbBroad304_03976
141,ccsbBroad304_00476,ccsbBroad304_00526
142,ccsbBroad304_08590,ccsbBroad304_06811
143,ccsbBroad304_01144,ccsbBroad304_06221
144,ccsbBroad304_00055,ccsbBroad304_01161
145,ccsbBroad304_14770,ccsbBroad304_05821
146,ccsbBroad304_06451,ccsbBroad304_11738
147,ccsbBroad304_00504,ccsbBroad304_03934
148,ccsbBroad304_05777,ccsbBroad304_05782
149,ccsbBroad304_14554,ccsbBroad304_00221
150,ccsbBroad304_04933,ccsbBroad304_08590
151,ccsbBroad304_06237,ccsbBroad304_14635
152,ccsbBroad304_07311,ccsbBroad304_02392
153,ccsbBroad304_00733,ccsbBroad304_03026
154,ccsbBroad304_03876,ccsbBroad304_01991
155,ccsbBroad304_05782,ccsbBroad304_06908
156,ccsbBroad304_06701,ccsbBroad304_02416
157,ccsbBroad304_03026,ccsbBroad304_03876
158,ccsbBroad304_00023,ccsbBroad304_00576
159,ccsbBroad304_00049,ccsbBroad304_11023
