gene,compound
HIF1A,NNC-55-0396
CATSPER4,NNC-55-0396
DDR2,NNC-55-0396
OPRL1,NNC-55-0396
SLC7A11,NNC-55-0396
FFAR2,NNC-55-0396
KCNMA1,NNC-55-0396
HRH4,NNC-55-0396
GHSR,NNC-55-0396
ALDH2,NNC-55-0396
COMT,NNC-55-0396
PTPN2,NNC-55-0396
KCNQ2,NNC-55-0396
ITGB2,NNC-55-0396
S1PR1,NNC-55-0396
FOXM1,NNC-55-0396
MAPK14,NNC-55-0396
SLCO2B1,NNC-55-0396
KCNN4,NNC-55-0396
GRIN2A,NNC-55-0396
CACNB4,NNC-55-0396
HSP90AB1,NNC-55-0396
CSK,NNC-55-0396
AKR1C1,NNC-55-0396
CHRM2,NNC-55-0396
TGFBR1,NNC-55-0396
TGM2,NNC-55-0396
CDK4,NNC-55-0396
LPAR1,NNC-55-0396
CHRM3,NNC-55-0396
UGT1A9,NNC-55-0396
HPGDS,NNC-55-0396
ADORA2A,NNC-55-0396
CCND1,NNC-55-0396
KCNN1,NNC-55-0396
ABL1,NNC-55-0396
SSTR2,NNC-55-0396
HSP90AA1,NNC-55-0396
TUBB4B,NNC-55-0396
EZH2,NNC-55-0396
PNLIP,NNC-55-0396
CYP2A6,NNC-55-0396
CSF1R,NNC-55-0396
S100B,NNC-55-0396
PDE7A,NNC-55-0396
AURKB,NNC-55-0396
CDC25A,NNC-55-0396
KCNK1,NNC-55-0396
CA14,NNC-55-0396
ICAM1,NNC-55-0396
GPR55,NNC-55-0396
OPRM1,NNC-55-0396
VEGFA,NNC-55-0396
ADH1C,NNC-55-0396
KCTD16,NNC-55-0396
CYP3A4,NNC-55-0396
AVPR1A,NNC-55-0396
MAPK8,NNC-55-0396
TNNC1,NNC-55-0396
GABRB2,NNC-55-0396
MMP2,NNC-55-0396
RET,NNC-55-0396
NAMPT,NNC-55-0396
CASP3,NNC-55-0396
KRAS,NNC-55-0396
BTK,NNC-55-0396
SLC29A1,NNC-55-0396
FFAR4,NNC-55-0396
PPARD,NNC-55-0396
BAX,NNC-55-0396
RGS4,NNC-55-0396
CDK7,NNC-55-0396
PPAT,NNC-55-0396
KCNJ1,NNC-55-0396
ATP5F1D,NNC-55-0396
PDPK1,NNC-55-0396
IGF1R,NNC-55-0396
MET,NNC-55-0396
GLRA3,NNC-55-0396
PIK3CG,NNC-55-0396
TBXAS1,NNC-55-0396
PLD1,NNC-55-0396
DHH,NNC-55-0396
AKT1,NNC-55-0396
CDK2,NNC-55-0396
PARP3,NNC-55-0396
PLK1,NNC-55-0396
ATM,NNC-55-0396
IMPDH1,NNC-55-0396
TUBB3,NNC-55-0396
BRAF,NNC-55-0396
HBB,NNC-55-0396
LYN,NNC-55-0396
ANXA1,NNC-55-0396
CCR1,NNC-55-0396
ALK,NNC-55-0396
HDAC3,NNC-55-0396
PTGIR,NNC-55-0396
RPL23A,NNC-55-0396
FLT3,NNC-55-0396
MME,NNC-55-0396
CTSG,NNC-55-0396
PAK4,NNC-55-0396
GPR119,NNC-55-0396
SCNN1G,NNC-55-0396
GJB4,NNC-55-0396
S1PR4,NNC-55-0396
IL1B,NNC-55-0396
F10,NNC-55-0396
ELANE,NNC-55-0396
RPL3,NNC-55-0396
ERBB2,NNC-55-0396
AKR1B1,NNC-55-0396
GUCY1B1,NNC-55-0396
ADRA2B,NNC-55-0396
HCK,NNC-55-0396
P3H1,NNC-55-0396
CA5A,NNC-55-0396
DCK,NNC-55-0396
TNF,NNC-55-0396
RNASE1,NNC-55-0396
PTGIS,NNC-55-0396
PRKCE,NNC-55-0396
FPR1,NNC-55-0396
FGF1,NNC-55-0396
CDK9,NNC-55-0396
KDR,NNC-55-0396
EDNRB,NNC-55-0396
ASIC1,NNC-55-0396
JAK1,NNC-55-0396
PLA2G1B,NNC-55-0396
BRD4,NNC-55-0396
TUBB,NNC-55-0396
AGER,NNC-55-0396
S1PR2,NNC-55-0396
PDE4D,NNC-55-0396
CHEK2,NNC-55-0396
PAK1,NNC-55-0396
HDAC6,NNC-55-0396
DYRK1B,NNC-55-0396
USP1,NNC-55-0396
CYP1A2,NNC-55-0396
CACNG1,NNC-55-0396
HTR2C,NNC-55-0396
DNMT3A,NNC-55-0396
PORCN,NNC-55-0396
GAA,NNC-55-0396
PRKCB,NNC-55-0396
PTK2B,NNC-55-0396
CLK1,NNC-55-0396
CACNA2D3,NNC-55-0396
HSD11B1,NNC-55-0396
HTR3A,NNC-55-0396
ADA,NNC-55-0396
PDE3A,NNC-55-0396
NTRK1,NNC-55-0396
LCK,NNC-55-0396
KCNH7,NNC-55-0396
SIRT2,NNC-55-0396
P2RY12,NNC-55-0396
HIF1A,ZK811752
CATSPER4,ZK811752
DDR2,ZK811752
OPRL1,ZK811752
SLC7A11,ZK811752
FFAR2,ZK811752
KCNMA1,ZK811752
HRH4,ZK811752
GHSR,ZK811752
ALDH2,ZK811752
COMT,ZK811752
PTPN2,ZK811752
KCNQ2,ZK811752
ITGB2,ZK811752
S1PR1,ZK811752
FOXM1,ZK811752
MAPK14,ZK811752
SLCO2B1,ZK811752
KCNN4,ZK811752
GRIN2A,ZK811752
CACNB4,ZK811752
HSP90AB1,ZK811752
CSK,ZK811752
AKR1C1,ZK811752
CHRM2,ZK811752
TGFBR1,ZK811752
TGM2,ZK811752
CDK4,ZK811752
LPAR1,ZK811752
CHRM3,ZK811752
UGT1A9,ZK811752
HPGDS,ZK811752
ADORA2A,ZK811752
CCND1,ZK811752
KCNN1,ZK811752
ABL1,ZK811752
SSTR2,ZK811752
HSP90AA1,ZK811752
TUBB4B,ZK811752
EZH2,ZK811752
PNLIP,ZK811752
CYP2A6,ZK811752
CSF1R,ZK811752
S100B,ZK811752
PDE7A,ZK811752
AURKB,ZK811752
CDC25A,ZK811752
KCNK1,ZK811752
CA14,ZK811752
ICAM1,ZK811752
GPR55,ZK811752
OPRM1,ZK811752
VEGFA,ZK811752
ADH1C,ZK811752
KCTD16,ZK811752
CYP3A4,ZK811752
AVPR1A,ZK811752
MAPK8,ZK811752
TNNC1,ZK811752
GABRB2,ZK811752
MMP2,ZK811752
RET,ZK811752
NAMPT,ZK811752
CASP3,ZK811752
KRAS,ZK811752
BTK,ZK811752
SLC29A1,ZK811752
FFAR4,ZK811752
PPARD,ZK811752
BAX,ZK811752
RGS4,ZK811752
CDK7,ZK811752
PPAT,ZK811752
KCNJ1,ZK811752
ATP5F1D,ZK811752
PDPK1,ZK811752
IGF1R,ZK811752
MET,ZK811752
GLRA3,ZK811752
PIK3CG,ZK811752
TBXAS1,ZK811752
PLD1,ZK811752
DHH,ZK811752
AKT1,ZK811752
CDK2,ZK811752
PARP3,ZK811752
PLK1,ZK811752
ATM,ZK811752
IMPDH1,ZK811752
TUBB3,ZK811752
BRAF,ZK811752
HBB,ZK811752
LYN,ZK811752
ANXA1,ZK811752
CCR1,ZK811752
ALK,ZK811752
HDAC3,ZK811752
PTGIR,ZK811752
RPL23A,ZK811752
FLT3,ZK811752
MME,ZK811752
CTSG,ZK811752
PAK4,ZK811752
GPR119,ZK811752
SCNN1G,ZK811752
GJB4,ZK811752
S1PR4,ZK811752
IL1B,ZK811752
F10,ZK811752
ELANE,ZK811752
RPL3,ZK811752
ERBB2,ZK811752
AKR1B1,ZK811752
GUCY1B1,ZK811752
ADRA2B,ZK811752
HCK,ZK811752
P3H1,ZK811752
CA5A,ZK811752
DCK,ZK811752
TNF,ZK811752
RNASE1,ZK811752
PTGIS,ZK811752
PRKCE,ZK811752
FPR1,ZK811752
FGF1,ZK811752
CDK9,ZK811752
KDR,ZK811752
EDNRB,ZK811752
ASIC1,ZK811752
JAK1,ZK811752
PLA2G1B,ZK811752
BRD4,ZK811752
TUBB,ZK811752
AGER,ZK811752
S1PR2,ZK811752
PDE4D,ZK811752
CHEK2,ZK811752
PAK1,ZK811752
HDAC6,ZK811752
DYRK1B,ZK811752
USP1,ZK811752
CYP1A2,ZK811752
CACNG1,ZK811752
HTR2C,ZK811752
DNMT3A,ZK811752
PORCN,ZK811752
GAA,ZK811752
PRKCB,ZK811752
PTK2B,ZK811752
CLK1,ZK811752
CACNA2D3,ZK811752
HSD11B1,ZK811752
HTR3A,ZK811752
ADA,ZK811752
PDE3A,ZK811752
NTRK1,ZK811752
LCK,ZK811752
KCNH7,ZK811752
SIRT2,ZK811752
P2RY12,ZK811752
HIF1A,dexamethasone
CATSPER4,dexamethasone
DDR2,dexamethasone
OPRL1,dexamethasone
SLC7A11,dexamethasone
FFAR2,dexamethasone
KCNMA1,dexamethasone
HRH4,dexamethasone
GHSR,dexamethasone
ALDH2,dexamethasone
COMT,dexamethasone
PTPN2,dexamethasone
KCNQ2,dexamethasone
ITGB2,dexamethasone
S1PR1,dexamethasone
FOXM1,dexamethasone
MAPK14,dexamethasone
SLCO2B1,dexamethasone
KCNN4,dexamethasone
GRIN2A,dexamethasone
CACNB4,dexamethasone
HSP90AB1,dexamethasone
CSK,dexamethasone
AKR1C1,dexamethasone
CHRM2,dexamethasone
TGFBR1,dexamethasone
TGM2,dexamethasone
CDK4,dexamethasone
LPAR1,dexamethasone
CHRM3,dexamethasone
UGT1A9,dexamethasone
HPGDS,dexamethasone
ADORA2A,dexamethasone
CCND1,dexamethasone
KCNN1,dexamethasone
ABL1,dexamethasone
SSTR2,dexamethasone
HSP90AA1,dexamethasone
TUBB4B,dexamethasone
EZH2,dexamethasone
PNLIP,dexamethasone
CYP2A6,dexamethasone
CSF1R,dexamethasone
S100B,dexamethasone
PDE7A,dexamethasone
AURKB,dexamethasone
CDC25A,dexamethasone
KCNK1,dexamethasone
CA14,dexamethasone
ICAM1,dexamethasone
GPR55,dexamethasone
OPRM1,dexamethasone
VEGFA,dexamethasone
ADH1C,dexamethasone
KCTD16,dexamethasone
CYP3A4,dexamethasone
AVPR1A,dexamethasone
MAPK8,dexamethasone
TNNC1,dexamethasone
GABRB2,dexamethasone
MMP2,dexamethasone
RET,dexamethasone
NAMPT,dexamethasone
CASP3,dexamethasone
KRAS,dexamethasone
BTK,dexamethasone
SLC29A1,dexamethasone
FFAR4,dexamethasone
PPARD,dexamethasone
BAX,dexamethasone
RGS4,dexamethasone
CDK7,dexamethasone
PPAT,dexamethasone
KCNJ1,dexamethasone
ATP5F1D,dexamethasone
PDPK1,dexamethasone
IGF1R,dexamethasone
MET,dexamethasone
GLRA3,dexamethasone
PIK3CG,dexamethasone
TBXAS1,dexamethasone
PLD1,dexamethasone
DHH,dexamethasone
AKT1,dexamethasone
CDK2,dexamethasone
PARP3,dexamethasone
PLK1,dexamethasone
ATM,dexamethasone
IMPDH1,dexamethasone
TUBB3,dexamethasone
BRAF,dexamethasone
HBB,dexamethasone
LYN,dexamethasone
ANXA1,dexamethasone
CCR1,dexamethasone
ALK,dexamethasone
HDAC3,dexamethasone
PTGIR,dexamethasone
RPL23A,dexamethasone
FLT3,dexamethasone
MME,dexamethasone
CTSG,dexamethasone
PAK4,dexamethasone
GPR119,dexamethasone
SCNN1G,dexamethasone
GJB4,dexamethasone
S1PR4,dexamethasone
IL1B,dexamethasone
F10,dexamethasone
ELANE,dexamethasone
RPL3,dexamethasone
ERBB2,dexamethasone
AKR1B1,dexamethasone
GUCY1B1,dexamethasone
ADRA2B,dexamethasone
HCK,dexamethasone
P3H1,dexamethasone
CA5A,dexamethasone
DCK,dexamethasone
TNF,dexamethasone
RNASE1,dexamethasone
PTGIS,dexamethasone
PRKCE,dexamethasone
FPR1,dexamethasone
FGF1,dexamethasone
CDK9,dexamethasone
KDR,dexamethasone
EDNRB,dexamethasone
ASIC1,dexamethasone
JAK1,dexamethasone
PLA2G1B,dexamethasone
BRD4,dexamethasone
TUBB,dexamethasone
AGER,dexamethasone
S1PR2,dexamethasone
PDE4D,dexamethasone
CHEK2,dexamethasone
PAK1,dexamethasone
HDAC6,dexamethasone
DYRK1B,dexamethasone
USP1,dexamethasone
CYP1A2,dexamethasone
CACNG1,dexamethasone
HTR2C,dexamethasone
DNMT3A,dexamethasone
PORCN,dexamethasone
GAA,dexamethasone
PRKCB,dexamethasone
PTK2B,dexamethasone
CLK1,dexamethasone
CACNA2D3,dexamethasone
HSD11B1,dexamethasone
HTR3A,dexamethasone
ADA,dexamethasone
PDE3A,dexamethasone
NTRK1,dexamethasone
LCK,dexamethasone
KCNH7,dexamethasone
SIRT2,dexamethasone
P2RY12,dexamethasone
HIF1A,PP-1
CATSPER4,PP-1
DDR2,PP-1
OPRL1,PP-1
SLC7A11,PP-1
FFAR2,PP-1
KCNMA1,PP-1
HRH4,PP-1
GHSR,PP-1
ALDH2,PP-1
COMT,PP-1
PTPN2,PP-1
KCNQ2,PP-1
ITGB2,PP-1
S1PR1,PP-1
FOXM1,PP-1
MAPK14,PP-1
SLCO2B1,PP-1
KCNN4,PP-1
GRIN2A,PP-1
CACNB4,PP-1
HSP90AB1,PP-1
CSK,PP-1
AKR1C1,PP-1
CHRM2,PP-1
TGFBR1,PP-1
TGM2,PP-1
CDK4,PP-1
LPAR1,PP-1
CHRM3,PP-1
UGT1A9,PP-1
HPGDS,PP-1
ADORA2A,PP-1
CCND1,PP-1
