gene,compound
HIF1A,GNF-5837
CATSPER4,GNF-5837
DDR2,GNF-5837
OPRL1,GNF-5837
SLC7A11,GNF-5837
FFAR2,GNF-5837
KCNMA1,GNF-5837
HRH4,GNF-5837
GHSR,GNF-5837
ALDH2,GNF-5837
COMT,GNF-5837
PTPN2,GNF-5837
KCNQ2,GNF-5837
ITGB2,GNF-5837
S1PR1,GNF-5837
FOXM1,GNF-5837
MAPK14,GNF-5837
SLCO2B1,GNF-5837
KCNN4,GNF-5837
GRIN2A,GNF-5837
CACNB4,GNF-5837
HSP90AB1,GNF-5837
CSK,GNF-5837
AKR1C1,GNF-5837
CHRM2,GNF-5837
TGFBR1,GNF-5837
TGM2,GNF-5837
CDK4,GNF-5837
LPAR1,GNF-5837
CHRM3,GNF-5837
UGT1A9,GNF-5837
HPGDS,GNF-5837
ADORA2A,GNF-5837
CCND1,GNF-5837
KCNN1,GNF-5837
ABL1,GNF-5837
SSTR2,GNF-5837
HSP90AA1,GNF-5837
TUBB4B,GNF-5837
EZH2,GNF-5837
PNLIP,GNF-5837
CYP2A6,GNF-5837
CSF1R,GNF-5837
S100B,GNF-5837
PDE7A,GNF-5837
AURKB,GNF-5837
CDC25A,GNF-5837
KCNK1,GNF-5837
CA14,GNF-5837
ICAM1,GNF-5837
GPR55,GNF-5837
OPRM1,GNF-5837
VEGFA,GNF-5837
ADH1C,GNF-5837
KCTD16,GNF-5837
CYP3A4,GNF-5837
AVPR1A,GNF-5837
MAPK8,GNF-5837
TNNC1,GNF-5837
GABRB2,GNF-5837
MMP2,GNF-5837
RET,GNF-5837
NAMPT,GNF-5837
CASP3,GNF-5837
KRAS,GNF-5837
BTK,GNF-5837
SLC29A1,GNF-5837
FFAR4,GNF-5837
PPARD,GNF-5837
BAX,GNF-5837
RGS4,GNF-5837
CDK7,GNF-5837
PPAT,GNF-5837
KCNJ1,GNF-5837
ATP5F1D,GNF-5837
PDPK1,GNF-5837
IGF1R,GNF-5837
MET,GNF-5837
GLRA3,GNF-5837
PIK3CG,GNF-5837
TBXAS1,GNF-5837
PLD1,GNF-5837
DHH,GNF-5837
AKT1,GNF-5837
CDK2,GNF-5837
PARP3,GNF-5837
PLK1,GNF-5837
ATM,GNF-5837
IMPDH1,GNF-5837
TUBB3,GNF-5837
BRAF,GNF-5837
HBB,GNF-5837
LYN,GNF-5837
ANXA1,GNF-5837
CCR1,GNF-5837
ALK,GNF-5837
HDAC3,GNF-5837
PTGIR,GNF-5837
RPL23A,GNF-5837
FLT3,GNF-5837
MME,GNF-5837
CTSG,GNF-5837
PAK4,GNF-5837
GPR119,GNF-5837
SCNN1G,GNF-5837
GJB4,GNF-5837
S1PR4,GNF-5837
IL1B,GNF-5837
F10,GNF-5837
ELANE,GNF-5837
RPL3,GNF-5837
ERBB2,GNF-5837
AKR1B1,GNF-5837
GUCY1B1,GNF-5837
ADRA2B,GNF-5837
HCK,GNF-5837
P3H1,GNF-5837
CA5A,GNF-5837
DCK,GNF-5837
TNF,GNF-5837
RNASE1,GNF-5837
PTGIS,GNF-5837
PRKCE,GNF-5837
FPR1,GNF-5837
FGF1,GNF-5837
CDK9,GNF-5837
KDR,GNF-5837
EDNRB,GNF-5837
ASIC1,GNF-5837
JAK1,GNF-5837
PLA2G1B,GNF-5837
BRD4,GNF-5837
TUBB,GNF-5837
AGER,GNF-5837
S1PR2,GNF-5837
PDE4D,GNF-5837
CHEK2,GNF-5837
PAK1,GNF-5837
HDAC6,GNF-5837
DYRK1B,GNF-5837
USP1,GNF-5837
CYP1A2,GNF-5837
CACNG1,GNF-5837
HTR2C,GNF-5837
DNMT3A,GNF-5837
PORCN,GNF-5837
GAA,GNF-5837
PRKCB,GNF-5837
PTK2B,GNF-5837
CLK1,GNF-5837
CACNA2D3,GNF-5837
HSD11B1,GNF-5837
HTR3A,GNF-5837
ADA,GNF-5837
PDE3A,GNF-5837
NTRK1,GNF-5837
LCK,GNF-5837
KCNH7,GNF-5837
SIRT2,GNF-5837
P2RY12,GNF-5837
HIF1A,NNC-55-0396
CATSPER4,NNC-55-0396
DDR2,NNC-55-0396
OPRL1,NNC-55-0396
SLC7A11,NNC-55-0396
FFAR2,NNC-55-0396
KCNMA1,NNC-55-0396
HRH4,NNC-55-0396
GHSR,NNC-55-0396
ALDH2,NNC-55-0396
COMT,NNC-55-0396
PTPN2,NNC-55-0396
KCNQ2,NNC-55-0396
ITGB2,NNC-55-0396
S1PR1,NNC-55-0396
FOXM1,NNC-55-0396
MAPK14,NNC-55-0396
SLCO2B1,NNC-55-0396
KCNN4,NNC-55-0396
GRIN2A,NNC-55-0396
CACNB4,NNC-55-0396
HSP90AB1,NNC-55-0396
CSK,NNC-55-0396
AKR1C1,NNC-55-0396
CHRM2,NNC-55-0396
TGFBR1,NNC-55-0396
TGM2,NNC-55-0396
CDK4,NNC-55-0396
LPAR1,NNC-55-0396
CHRM3,NNC-55-0396
UGT1A9,NNC-55-0396
HPGDS,NNC-55-0396
ADORA2A,NNC-55-0396
CCND1,NNC-55-0396
KCNN1,NNC-55-0396
ABL1,NNC-55-0396
SSTR2,NNC-55-0396
HSP90AA1,NNC-55-0396
TUBB4B,NNC-55-0396
EZH2,NNC-55-0396
PNLIP,NNC-55-0396
CYP2A6,NNC-55-0396
CSF1R,NNC-55-0396
