gene,compound
HIF1A,GNF-5837
CATSPER4,GNF-5837
SLC7A11,GNF-5837
FFAR2,GNF-5837
KCNMA1,GNF-5837
GHSR,GNF-5837
COMT,GNF-5837
PTPN2,GNF-5837
KCNQ2,GNF-5837
ITGB2,GNF-5837
S1PR1,GNF-5837
FOXM1,GNF-5837
MAPK14,GNF-5837
GRIN2A,GNF-5837
HSP90AB1,GNF-5837
CSK,GNF-5837
AKR1C1,GNF-5837
TGM2,GNF-5837
LPAR1,GNF-5837
ADORA2A,GNF-5837
CCND1,GNF-5837
KCNN1,GNF-5837
SSTR2,GNF-5837
HSP90AA1,GNF-5837
TUBB4B,GNF-5837
PNLIP,GNF-5837
CYP2A6,GNF-5837
CSF1R,GNF-5837
S100B,GNF-5837
PDE7A,GNF-5837
AURKB,GNF-5837
CDC25A,GNF-5837
ICAM1,GNF-5837
VEGFA,GNF-5837
CYP3A4,GNF-5837
AVPR1A,GNF-5837
GABRB2,GNF-5837
MMP2,GNF-5837
RET,GNF-5837
KRAS,GNF-5837
SLC29A1,GNF-5837
CDK7,GNF-5837
PPAT,GNF-5837
KCNJ1,GNF-5837
IGF1R,GNF-5837
AKT1,GNF-5837
CDK2,GNF-5837
PARP3,GNF-5837
IMPDH1,GNF-5837
TUBB3,GNF-5837
BRAF,GNF-5837
LYN,GNF-5837
ANXA1,GNF-5837
CCR1,GNF-5837
HDAC3,GNF-5837
PTGIR,GNF-5837
RPL23A,GNF-5837
MME,GNF-5837
PAK4,GNF-5837
GJB4,GNF-5837
S1PR4,GNF-5837
IL1B,GNF-5837
F10,GNF-5837
RPL3,GNF-5837
ERBB2,GNF-5837
ADRA2B,GNF-5837
P3H1,GNF-5837
TNF,GNF-5837
PRKCE,GNF-5837
FPR1,GNF-5837
FGF1,GNF-5837
CDK9,GNF-5837
KDR,GNF-5837
JAK1,GNF-5837
TUBB,GNF-5837
S1PR2,GNF-5837
PDE4D,GNF-5837
CHEK2,GNF-5837
PAK1,GNF-5837
USP1,GNF-5837
CYP1A2,GNF-5837
CACNG1,GNF-5837
HTR2C,GNF-5837
DNMT3A,GNF-5837
PORCN,GNF-5837
GAA,GNF-5837
PRKCB,GNF-5837
PTK2B,GNF-5837
CLK1,GNF-5837
CACNA2D3,GNF-5837
HSD11B1,GNF-5837
PDE3A,GNF-5837
LCK,GNF-5837
KCNH7,GNF-5837
SIRT2,GNF-5837
P2RY12,GNF-5837
HIF1A,BAN-ORL-24
CATSPER4,BAN-ORL-24
SLC7A11,BAN-ORL-24
FFAR2,BAN-ORL-24
KCNMA1,BAN-ORL-24
GHSR,BAN-ORL-24
COMT,BAN-ORL-24
PTPN2,BAN-ORL-24
KCNQ2,BAN-ORL-24
ITGB2,BAN-ORL-24
S1PR1,BAN-ORL-24
FOXM1,BAN-ORL-24
MAPK14,BAN-ORL-24
GRIN2A,BAN-ORL-24
HSP90AB1,BAN-ORL-24
CSK,BAN-ORL-24
AKR1C1,BAN-ORL-24
TGM2,BAN-ORL-24
LPAR1,BAN-ORL-24
ADORA2A,BAN-ORL-24
CCND1,BAN-ORL-24
KCNN1,BAN-ORL-24
SSTR2,BAN-ORL-24
HSP90AA1,BAN-ORL-24
TUBB4B,BAN-ORL-24
PNLIP,BAN-ORL-24
CYP2A6,BAN-ORL-24
CSF1R,BAN-ORL-24
S100B,BAN-ORL-24
PDE7A,BAN-ORL-24
AURKB,BAN-ORL-24
CDC25A,BAN-ORL-24
ICAM1,BAN-ORL-24
VEGFA,BAN-ORL-24
CYP3A4,BAN-ORL-24
AVPR1A,BAN-ORL-24
GABRB2,BAN-ORL-24
MMP2,BAN-ORL-24
RET,BAN-ORL-24
KRAS,BAN-ORL-24
SLC29A1,BAN-ORL-24
CDK7,BAN-ORL-24
PPAT,BAN-ORL-24
KCNJ1,BAN-ORL-24
IGF1R,BAN-ORL-24
AKT1,BAN-ORL-24
CDK2,BAN-ORL-24
PARP3,BAN-ORL-24
IMPDH1,BAN-ORL-24
TUBB3,BAN-ORL-24
BRAF,BAN-ORL-24
LYN,BAN-ORL-24
ANXA1,BAN-ORL-24
CCR1,BAN-ORL-24
HDAC3,BAN-ORL-24
PTGIR,BAN-ORL-24
RPL23A,BAN-ORL-24
MME,BAN-ORL-24
PAK4,BAN-ORL-24
GJB4,BAN-ORL-24
S1PR4,BAN-ORL-24
IL1B,BAN-ORL-24
F10,BAN-ORL-24
RPL3,BAN-ORL-24
ERBB2,BAN-ORL-24
ADRA2B,BAN-ORL-24
P3H1,BAN-ORL-24
TNF,BAN-ORL-24
PRKCE,BAN-ORL-24
FPR1,BAN-ORL-24
FGF1,BAN-ORL-24
CDK9,BAN-ORL-24
KDR,BAN-ORL-24
JAK1,BAN-ORL-24
TUBB,BAN-ORL-24
S1PR2,BAN-ORL-24
PDE4D,BAN-ORL-24
CHEK2,BAN-ORL-24
PAK1,BAN-ORL-24
USP1,BAN-ORL-24
CYP1A2,BAN-ORL-24
CACNG1,BAN-ORL-24
HTR2C,BAN-ORL-24
DNMT3A,BAN-ORL-24
PORCN,BAN-ORL-24
GAA,BAN-ORL-24
PRKCB,BAN-ORL-24
PTK2B,BAN-ORL-24
CLK1,BAN-ORL-24
CACNA2D3,BAN-ORL-24
HSD11B1,BAN-ORL-24
PDE3A,BAN-ORL-24
