gene,compound
DDR2,GNF-5837
OPRL1,GNF-5837
FFAR2,GNF-5837
GHSR,GNF-5837
ALDH2,GNF-5837
COMT,GNF-5837
KCNQ2,GNF-5837
S1PR1,GNF-5837
FOXM1,GNF-5837
MAPK14,GNF-5837
KCNN4,GNF-5837
GRIN2A,GNF-5837
CACNB4,GNF-5837
HSP90AB1,GNF-5837
CSK,GNF-5837
CHRM2,GNF-5837
TGFBR1,GNF-5837
TGM2,GNF-5837
CDK4,GNF-5837
LPAR1,GNF-5837
CHRM3,GNF-5837
HPGDS,GNF-5837
ADORA2A,GNF-5837
ABL1,GNF-5837
SSTR2,GNF-5837
HSP90AA1,GNF-5837
EZH2,GNF-5837
CYP2A6,GNF-5837
CSF1R,GNF-5837
PDE7A,GNF-5837
AURKB,GNF-5837
CA14,GNF-5837
GPR55,GNF-5837
OPRM1,GNF-5837
KCTD16,GNF-5837
CYP3A4,GNF-5837
AVPR1A,GNF-5837
MAPK8,GNF-5837
TNNC1,GNF-5837
GABRB2,GNF-5837
MMP2,GNF-5837
CASP3,GNF-5837
KRAS,GNF-5837
BTK,GNF-5837
SLC29A1,GNF-5837
FFAR4,GNF-5837
PPARD,GNF-5837
PPAT,GNF-5837
KCNJ1,GNF-5837
ATP5F1D,GNF-5837
IGF1R,GNF-5837
MET,GNF-5837
GLRA3,GNF-5837
PIK3CG,GNF-5837
DHH,GNF-5837
CDK2,GNF-5837
ATM,GNF-5837
HBB,GNF-5837
ANXA1,GNF-5837
CCR1,GNF-5837
ALK,GNF-5837
PTGIR,GNF-5837
MME,GNF-5837
CTSG,GNF-5837
PAK4,GNF-5837
GJB4,GNF-5837
S1PR4,GNF-5837
ERBB2,GNF-5837
AKR1B1,GNF-5837
ADRA2B,GNF-5837
HCK,GNF-5837
CA5A,GNF-5837
DCK,GNF-5837
FPR1,GNF-5837
FGF1,GNF-5837
CDK9,GNF-5837
KDR,GNF-5837
JAK1,GNF-5837
BRD4,GNF-5837
TUBB,GNF-5837
PDE4D,GNF-5837
CHEK2,GNF-5837
HDAC6,GNF-5837
CYP1A2,GNF-5837
CACNG1,GNF-5837
HTR2C,GNF-5837
PORCN,GNF-5837
GAA,GNF-5837
PTK2B,GNF-5837
CLK1,GNF-5837
HSD11B1,GNF-5837
ADA,GNF-5837
PDE3A,GNF-5837
NTRK1,GNF-5837
LCK,GNF-5837
P2RY12,GNF-5837
HIF1A,BAN-ORL-24
CATSPER4,BAN-ORL-24
DDR2,BAN-ORL-24
OPRL1,BAN-ORL-24
SLC7A11,BAN-ORL-24
KCNMA1,BAN-ORL-24
GHSR,BAN-ORL-24
ALDH2,BAN-ORL-24
COMT,BAN-ORL-24
S1PR1,BAN-ORL-24
FOXM1,BAN-ORL-24
KCNN4,BAN-ORL-24
GRIN2A,BAN-ORL-24
AKR1C1,BAN-ORL-24
CHRM2,BAN-ORL-24
TGFBR1,BAN-ORL-24
LPAR1,BAN-ORL-24
CHRM3,BAN-ORL-24
UGT1A9,BAN-ORL-24
HPGDS,BAN-ORL-24
ADORA2A,BAN-ORL-24
CCND1,BAN-ORL-24
HSP90AA1,BAN-ORL-24
CYP2A6,BAN-ORL-24
CSF1R,BAN-ORL-24
S100B,BAN-ORL-24
AURKB,BAN-ORL-24
CDC25A,BAN-ORL-24
KCNK1,BAN-ORL-24
CA14,BAN-ORL-24
ICAM1,BAN-ORL-24
OPRM1,BAN-ORL-24
CYP3A4,BAN-ORL-24
TNNC1,BAN-ORL-24
MMP2,BAN-ORL-24
RET,BAN-ORL-24
KRAS,BAN-ORL-24
BTK,BAN-ORL-24
FFAR4,BAN-ORL-24
PPARD,BAN-ORL-24
BAX,BAN-ORL-24
RGS4,BAN-ORL-24
PPAT,BAN-ORL-24
ATP5F1D,BAN-ORL-24
PDPK1,BAN-ORL-24
IGF1R,BAN-ORL-24
MET,BAN-ORL-24
GLRA3,BAN-ORL-24
TBXAS1,BAN-ORL-24
CDK2,BAN-ORL-24
PARP3,BAN-ORL-24
PLK1,BAN-ORL-24
ATM,BAN-ORL-24
TUBB3,BAN-ORL-24
ANXA1,BAN-ORL-24
CCR1,BAN-ORL-24
ALK,BAN-ORL-24
HDAC3,BAN-ORL-24
PTGIR,BAN-ORL-24
RPL23A,BAN-ORL-24
FLT3,BAN-ORL-24
MME,BAN-ORL-24
GJB4,BAN-ORL-24
ERBB2,BAN-ORL-24
HCK,BAN-ORL-24
P3H1,BAN-ORL-24
PTGIS,BAN-ORL-24
PRKCE,BAN-ORL-24
FGF1,BAN-ORL-24
CDK9,BAN-ORL-24
EDNRB,BAN-ORL-24
ASIC1,BAN-ORL-24
PLA2G1B,BAN-ORL-24
BRD4,BAN-ORL-24
AGER,BAN-ORL-24
S1PR2,BAN-ORL-24
PDE4D,BAN-ORL-24
CHEK2,BAN-ORL-24
DYRK1B,BAN-ORL-24
USP1,BAN-ORL-24
CYP1A2,BAN-ORL-24
CACNG1,BAN-ORL-24
HTR2C,BAN-ORL-24
PORCN,BAN-ORL-24
GAA,BAN-ORL-24
PRKCB,BAN-ORL-24
NTRK1,BAN-ORL-24
SIRT2,BAN-ORL-24
P2RY12,BAN-ORL-24
HIF1A,NNC-55-0396
FFAR2,NNC-55-0396
